corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,rktc.0,285,312,_stage,285,297,Michel Stich,michel_stich
qd,rktc.0,285,312,_stage,299,311,Martin Krumm,martin_krumm
qd,rktc.0,315,353,martin_krumm,340,352,Michel Stich,michel_stich
qd,rktc.0,358,396,michel_stich,383,395,Martin Krumm,martin_krumm
qd,rktc.0,553,871,michel_stich,760,763,ich,michel_stich
qd,rktc.0,1005,1414,michel_stich,1212,1215,Ich,michel_stich
qd,rktc.0,1419,1582,martin_krumm,1444,1447,ich,martin_krumm
qd,rktc.0,1419,1582,martin_krumm,1462,1466,Mein,martin_krumm
qd,rktc.0,1419,1582,martin_krumm,1477,1481,mein,martin_krumm
qd,rktc.0,1419,1582,martin_krumm,1546,1549,Ich,martin_krumm
qd,rktc.0,1419,1582,martin_krumm,1557,1561,mich,martin_krumm
qd,rktc.0,1419,1582,martin_krumm,1562,1568,meiner,martin_krumm
qd,rktc.0,1759,2101,martin_krumm,1941,1944,ich,martin_krumm
qd,rktc.0,1759,2101,martin_krumm,1945,1949,mich,martin_krumm
qd,rktc.0,1759,2101,martin_krumm,2067,2070,ich,martin_krumm
qd,rktc.0,1759,2101,martin_krumm,2076,2080,mein,martin_krumm
qd,rktc.0,2195,2222,_stage,2195,2207,Martin Krumm,martin_krumm
qd,rktc.0,2195,2222,_stage,2209,2221,Der Reisende,der_reisende
qd,rktc.0,2225,2402,martin_krumm,2240,2243,Ich,martin_krumm
qd,rktc.0,2225,2402,martin_krumm,2249,2253,mich,martin_krumm
qd,rktc.0,2225,2402,martin_krumm,2298,2302,mein,martin_krumm
qd,rktc.0,2225,2402,martin_krumm,2313,2316,ich,martin_krumm
qd,rktc.0,2225,2402,martin_krumm,2323,2335,Martin Krumm,martin_krumm
qd,rktc.0,2407,2501,der_reisende,2433,2436,ich,der_reisende
qd,rktc.0,2407,2501,der_reisende,2443,2447,mein,der_reisende
qd,rktc.0,2407,2501,der_reisende,2476,2482,meinen,der_reisende
qd,rktc.0,2506,2946,martin_krumm,2549,2552,ich,martin_krumm
qd,rktc.0,2506,2946,martin_krumm,2651,2655,mich,martin_krumm
qd,rktc.0,2506,2946,martin_krumm,2666,2669,ich,martin_krumm
qd,rktc.0,2506,2946,martin_krumm,2851,2854,ich,martin_krumm
qd,rktc.0,2506,2946,martin_krumm,2882,2886,mich,martin_krumm
qd,rktc.0,2506,2946,martin_krumm,2898,2904,meines,martin_krumm
qd,rktc.0,2506,2946,martin_krumm,2934,2937,ich,martin_krumm
qd,rktc.0,2506,2946,martin_krumm,2938,2942,mich,martin_krumm
qd,rktc.0,2951,3067,der_reisende,2966,2969,Ich,der_reisende
qd,rktc.0,2951,3067,der_reisende,3012,3015,mir,der_reisende
qd,rktc.0,2951,3067,der_reisende,3030,3033,ich,der_reisende
qd,rktc.0,3166,3252,martin_krumm,3189,3192,ich,martin_krumm
qd,rktc.0,3257,3909,der_reisende,3279,3282,mir,der_reisende
qd,rktc.0,3257,3909,der_reisende,3312,3315,ich,der_reisende
qd,rktc.0,3257,3909,der_reisende,3316,3319,mir,der_reisende
qd,rktc.0,3257,3909,der_reisende,3475,3478,ich,der_reisende
qd,rktc.0,3257,3909,der_reisende,3528,3532,mich,der_reisende
qd,rktc.0,3257,3909,der_reisende,3547,3552,meine,der_reisende
qd,rktc.0,3257,3909,der_reisende,3571,3574,ich,der_reisende
qd,rktc.0,3257,3909,der_reisende,3724,3727,mir,der_reisende
qd,rktc.0,3257,3909,der_reisende,3746,3749,mir,der_reisende
qd,rktc.0,3257,3909,der_reisende,3818,3821,ich,der_reisende
qd,rktc.0,3257,3909,der_reisende,3822,3826,mich,der_reisende
qd,rktc.0,3257,3909,der_reisende,3868,3871,ich,der_reisende
qd,rktc.0,3257,3909,der_reisende,3897,3901,mein,der_reisende
qd,rktc.0,3914,4316,martin_krumm,3948,3952,mein,martin_krumm
qd,rktc.0,3914,4316,martin_krumm,3964,3967,ich,martin_krumm
qd,rktc.0,3914,4316,martin_krumm,3990,3993,Ich,martin_krumm
qd,rktc.0,3914,4316,martin_krumm,3999,4005,meinen,martin_krumm
qd,rktc.0,3914,4316,martin_krumm,4018,4022,mich,martin_krumm
qd,rktc.0,3914,4316,martin_krumm,4076,4079,ich,martin_krumm
qd,rktc.0,4321,4633,der_reisende,4336,4339,Ich,der_reisende
qd,rktc.0,4321,4633,der_reisende,4503,4506,Ich,der_reisende
qd,rktc.0,4321,4633,der_reisende,4577,4581,mich,der_reisende
qd,rktc.0,4321,4633,der_reisende,4587,4590,ich,der_reisende
qd,rktc.0,4321,4633,der_reisende,4597,4603,meinem,der_reisende
qd,rktc.0,4665,4718,der_reisende,4680,4683,Ich,der_reisende
qd,rktc.0,4915,5042,der_reisende,5032,5035,ich,der_reisende
qd,rktc.0,5152,5234,der_reisende,5176,5179,ich,der_reisende
