corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,s6kj.0,548,557,_stage,552,556,Graf,graf
qd,s6kj.0,560,611,_stage,560,568,Gesellen,gesellen
qd,s6kj.0,560,611,_stage,605,610,Georg,georg
qd,s6kj.0,953,1138,graf,1002,1006,mich,graf
qd,s6kj.0,953,1138,graf,1048,1052,mich,graf
qd,s6kj.0,953,1138,graf,1080,1085,meine,graf
qd,s6kj.0,953,1138,graf,1106,1109,ich,graf
qd,s6kj.0,1263,1419,georg,1348,1351,ich,georg
qd,s6kj.0,1263,1419,georg,1395,1398,ich,georg
qd,s6kj.0,1601,1704,graf,1679,1685,meinem,graf
qd,s6kj.0,1601,1704,graf,1699,1702,ich,graf
qd,s6kj.0,1773,1877,graf,1784,1790,meines,graf
qd,s6kj.0,1773,1877,graf,1858,1861,ich,graf
qd,s6kj.0,1773,1877,graf,1869,1872,ich,graf
qd,s6kj.0,2617,2697,_stage,2630,2639,Stadinger,stadinger
qd,s6kj.0,2700,3685,stadinger,2740,2743,mir,stadinger
qd,s6kj.0,2700,3685,stadinger,2746,2749,ich,stadinger
qd,s6kj.0,2700,3685,stadinger,2782,2787,Georg,georg
qd,s6kj.0,2700,3685,stadinger,2796,2799,ich,stadinger
qd,s6kj.0,2700,3685,stadinger,2812,2815,mir,stadinger
qd,s6kj.0,2700,3685,stadinger,3056,3059,ich,stadinger
qd,s6kj.0,2700,3685,stadinger,3088,3091,ich,stadinger
qd,s6kj.0,2700,3685,stadinger,3173,3176,Ich,stadinger
qd,s6kj.0,2700,3685,stadinger,3259,3262,ich,stadinger
qd,s6kj.0,2700,3685,stadinger,3292,3298,meiner,stadinger
qd,s6kj.0,2700,3685,stadinger,3317,3320,ich,stadinger
qd,s6kj.0,2700,3685,stadinger,3332,3335,ich,stadinger
qd,s6kj.0,2700,3685,stadinger,3373,3376,mir,stadinger
qd,s6kj.0,2700,3685,stadinger,3397,3400,ich,stadinger
qd,s6kj.0,2700,3685,stadinger,3425,3430,meine,stadinger
qd,s6kj.0,2700,3685,stadinger,3454,3457,Ich,stadinger
qd,s6kj.0,2700,3685,stadinger,3539,3543,mich,stadinger
qd,s6kj.0,2700,3685,stadinger,3568,3572,mich,stadinger
qd,s6kj.0,3802,4093,stadinger,3950,3953,ich,stadinger
qd,s6kj.0,3802,4093,stadinger,3981,3985,mich,stadinger
qd,s6kj.0,3802,4093,stadinger,4031,4034,ich,stadinger
qd,s6kj.0,4168,4624,stadinger,4356,4359,mir,stadinger
qd,s6kj.0,4168,4624,stadinger,4399,4402,mir,stadinger
qd,s6kj.0,4168,4624,stadinger,4549,4552,ich,stadinger
qd,s6kj.0,4734,4756,_stage,4747,4755,Gesellen,gesellen
qd,s6kj.0,5178,5239,_stage,5178,5187,Stadinger,stadinger
qd,s6kj.0,5178,5239,_stage,5202,5214,Die Gesellen,gesellen
qd,s6kj.0,5178,5239,_stage,5206,5214,Gesellen,gesellen
qd,s6kj.0,5289,5305,_stage,5293,5297,Graf,graf
qd,s6kj.0,5289,5305,_stage,5299,5304,Georg,georg
qd,s6kj.0,5483,5577,graf,5531,5534,mir,graf
qd,s6kj.0,5483,5577,graf,5552,5556,mich,graf
qd,s6kj.0,5839,5946,georg,5860,5863,ich,georg
qd,s6kj.0,5839,5946,georg,5880,5887,Brenner,brenner
qd,s6kj.0,6040,6144,georg,6062,6066,mich,georg
qd,s6kj.0,6169,6599,georg,6186,6190,mich,georg
qd,s6kj.0,6169,6599,georg,6316,6320,mich,georg
qd,s6kj.0,6169,6599,georg,6334,6340,meinen,georg
qd,s6kj.0,6169,6599,georg,6401,6405,mich,georg
qd,s6kj.0,6169,6599,georg,6437,6442,meine,georg
qd,s6kj.0,6633,6675,georg,6657,6660,ich,georg
qd,s6kj.0,6680,6693,graf,6687,6692,Georg,georg
qd,s6kj.0,6784,6813,graf,6805,6808,ich,graf
qd,s6kj.0,7386,7495,graf,7405,7408,ich,graf
qd,s6kj.0,7386,7495,graf,7427,7431,Graf,graf
qd,s6kj.0,7791,8008,graf,7798,7801,Ich,graf
qd,s6kj.0,7791,8008,graf,7808,7812,mein,graf
qd,s6kj.0,7791,8008,graf,7846,7849,ich,graf
qd,s6kj.0,7791,8008,graf,7871,7877,meines,graf
qd,s6kj.0,8101,8201,graf,8118,8122,mich,graf
qd,s6kj.0,8282,8313,georg,8301,8304,mir,georg
qd,s6kj.0,8318,8457,graf,8325,8328,Ich,graf
qd,s6kj.0,8318,8457,graf,8335,8339,mich,graf
qd,s6kj.0,8318,8457,graf,8387,8391,mich,graf
qd,s6kj.0,8318,8457,graf,8441,8444,ich,graf
qd,s6kj.0,8511,8570,graf,8536,8539,ich,graf
qd,s6kj.0,8511,8570,graf,8554,8560,meiner,graf
qd,s6kj.0,8608,8682,graf,8630,8634,mich,graf
qd,s6kj.0,8733,8746,_stage,8733,8738,Georg,georg
qd,s6kj.0,8749,10770,georg,8766,8769,ich,georg
qd,s6kj.0,8749,10770,georg,8795,8798,ich,georg
qd,s6kj.0,8749,10770,georg,8799,8805,meiner,georg
qd,s6kj.0,8749,10770,georg,8861,8864,ich,georg
qd,s6kj.0,8749,10770,georg,8931,8934,ich,georg
qd,s6kj.0,8749,10770,georg,9032,9035,Ich,georg
qd,s6kj.0,8749,10770,georg,9041,9044,mir,georg
qd,s6kj.0,8749,10770,georg,9294,9297,Ich,georg
qd,s6kj.0,8749,10770,georg,9317,9320,mir,georg
qd,s6kj.0,8749,10770,georg,9405,9408,ich,georg
qd,s6kj.0,8749,10770,georg,9629,9632,ich,georg
qd,s6kj.0,8749,10770,georg,9951,9954,Ich,georg
qd,s6kj.0,8749,10770,georg,9974,9977,mir,georg
qd,s6kj.0,8749,10770,georg,10368,10371,ich,georg
qd,s6kj.0,8749,10770,georg,10418,10421,ich,georg
qd,s6kj.0,8749,10770,georg,10422,10426,mich,georg
qd,s6kj.0,8749,10770,georg,10683,10686,Ich,georg
qd,s6kj.0,8749,10770,georg,10706,10709,mir,georg
qd,s6kj.0,10820,10862,_stage,10820,10827,Brenner,brenner
qd,s6kj.0,10820,10862,_stage,10840,10847,Adelhof,adelhof
qd,s6kj.0,10991,11173,brenner,11006,11015,Stadinger,stadinger
qd,s6kj.0,10991,11173,brenner,11169,11172,ich,brenner
qd,s6kj.0,11178,11296,adelhof,11230,11233,ich,adelhof
qd,s6kj.0,11521,11598,adelhof,11555,11563,Gesellen,gesellen
qd,s6kj.0,11722,11785,brenner,11741,11744,ich,brenner
qd,s6kj.0,11845,11898,brenner,11860,11863,ich,brenner
qd,s6kj.0,11903,11966,adelhof,11913,11916,Ich,adelhof
qd,s6kj.0,12004,12069,adelhof,12014,12017,Ich,adelhof
qd,s6kj.0,12074,12154,brenner,12144,12147,ich,brenner
qd,s6kj.0,12159,12277,adelhof,12169,12172,Ich,adelhof
qd,s6kj.0,12159,12277,adelhof,12178,12182,mich,adelhof
qd,s6kj.0,12159,12277,adelhof,12237,12240,Ich,adelhof
qd,s6kj.0,12159,12277,adelhof,12256,12263,Adelhof,adelhof
qd,s6kj.0,12282,12348,brenner,12344,12347,ich,brenner
qd,s6kj.0,12353,12442,adelhof,12377,12380,ich,adelhof
qd,s6kj.0,12353,12442,adelhof,12425,12430,meine,adelhof
qd,s6kj.0,12486,12552,adelhof,12506,12511,meine,adelhof
qd,s6kj.0,12667,12831,adelhof,12719,12722,mir,adelhof
qd,s6kj.0,12914,12975,adelhof,12960,12964,mein,adelhof
qd,s6kj.0,12980,13017,brenner,12998,13001,ich,brenner
qd,s6kj.0,12980,13017,brenner,13011,13015,mich,brenner
qd,s6kj.0,13369,13448,brenner,13379,13382,Ich,brenner
qd,s6kj.0,13369,13448,brenner,13389,13393,mein,brenner
qd,s6kj.0,13369,13448,brenner,13421,13424,mir,brenner
qd,s6kj.0,13637,13773,adelhof,13647,13651,Mein,adelhof
qd,s6kj.0,13637,13773,adelhof,13757,13764,Geselle,ein_geselle
qd,s6kj.0,13912,14060,brenner,13922,13925,Ich,brenner
qd,s6kj.0,13912,14060,brenner,14004,14011,Geselle,ein_geselle
qd,s6kj.0,14252,14396,adelhof,14275,14278,ich,adelhof
qd,s6kj.0,14252,14396,adelhof,14300,14305,meine,adelhof
qd,s6kj.0,14402,14560,brenner,14540,14543,ich,brenner
qd,s6kj.0,14687,15016,brenner,14732,14735,ich,brenner
qd,s6kj.0,14687,15016,brenner,14958,14961,mir,brenner
qd,s6kj.0,15069,15093,_stage,15082,15092,Irmentraut,irmentraut
qd,s6kj.0,15108,15146,_stage,15108,15115,Brenner,brenner
qd,s6kj.0,15096,15523,irmentraut,15190,15197,Brenner,brenner
qd,s6kj.0,15096,15523,irmentraut,15220,15229,Stadinger,stadinger
qd,s6kj.0,15096,15523,irmentraut,15341,15344,ich,irmentraut
qd,s6kj.0,15096,15523,irmentraut,15497,15500,mir,irmentraut
qd,s6kj.0,15537,15554,_stage,15546,15553,Brenner,brenner
qd,s6kj.0,15620,15861,irmentraut,15744,15751,Brenner,brenner
qd,s6kj.0,15866,15977,brenner,15895,15905,Irmentraut,irmentraut
qd,s6kj.0,15866,15977,brenner,15907,15910,ich,brenner
qd,s6kj.0,15866,15977,brenner,15946,15950,mein,brenner
qd,s6kj.0,16157,16168,_stage,16160,16167,Adelhof,adelhof
qd,s6kj.0,16246,16318,adelhof,16274,16277,Ich,adelhof
qd,s6kj.0,16546,16642,brenner,16593,16603,Irmentraut,irmentraut
qd,s6kj.0,17131,17160,_stage,17131,17138,Adelhof,adelhof
qd,s6kj.0,17131,17160,_stage,17143,17150,Brenner,brenner
qd,s6kj.0,17212,17230,_stage,17212,17222,Irmentraut,irmentraut
qd,s6kj.0,17233,18911,irmentraut,17359,17362,mir,irmentraut
qd,s6kj.0,17233,18911,irmentraut,17486,17492,meiner,irmentraut
qd,s6kj.0,17233,18911,irmentraut,17530,17533,ich,irmentraut
qd,s6kj.0,17233,18911,irmentraut,17633,17636,mir,irmentraut
qd,s6kj.0,17233,18911,irmentraut,17746,17749,Ich,irmentraut
qd,s6kj.0,17233,18911,irmentraut,17843,17847,mich,irmentraut
qd,s6kj.0,17233,18911,irmentraut,17866,17869,ich,irmentraut
qd,s6kj.0,17233,18911,irmentraut,17892,17895,Ich,irmentraut
qd,s6kj.0,17233,18911,irmentraut,17968,17971,mir,irmentraut
qd,s6kj.0,17233,18911,irmentraut,18086,18089,mir,irmentraut
qd,s6kj.0,17233,18911,irmentraut,18185,18188,mir,irmentraut
qd,s6kj.0,17233,18911,irmentraut,18800,18803,mir,irmentraut
qd,s6kj.0,18962,18980,_stage,18962,18972,Irmentraut,irmentraut
