corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,s6m6.0,613,45093,0,627,10077,0
qd,s6m6.0,613,45093,0,10090,13302,0
qd,s6m6.0,613,45093,0,13316,14249,0
qd,s6m6.0,613,45093,0,14262,23250,0
qd,s6m6.0,613,45093,0,23264,25977,0
qd,s6m6.0,613,45093,0,25990,27571,0
qd,s6m6.0,613,45093,0,27584,30705,0
qd,s6m6.0,613,45093,0,30718,31963,0
qd,s6m6.0,613,45093,0,31976,38998,0
qd,s6m6.0,613,45093,0,39011,45093,0
qd,s6m6.0,45108,73974,0,45122,46039,0
qd,s6m6.0,45108,73974,0,46053,49223,0
qd,s6m6.0,45108,73974,0,49237,50412,0
qd,s6m6.0,45108,73974,0,50425,53942,0
qd,s6m6.0,45108,73974,0,53956,57467,0
qd,s6m6.0,45108,73974,0,57480,59709,0
qd,s6m6.0,45108,73974,0,59722,60918,0
qd,s6m6.0,45108,73974,0,60931,65832,0
qd,s6m6.0,45108,73974,0,65845,66345,0
qd,s6m6.0,45108,73974,0,66358,73974,0
qd,s6m6.0,73989,97980,0,74003,76409,0
qd,s6m6.0,73989,97980,0,76423,78479,0
qd,s6m6.0,73989,97980,0,78492,82703,0
qd,s6m6.0,73989,97980,0,82716,84943,0
qd,s6m6.0,73989,97980,0,84956,86631,0
qd,s6m6.0,73989,97980,0,86644,89611,0
qd,s6m6.0,73989,97980,0,89624,91880,0
qd,s6m6.0,73989,97980,0,91893,96060,0
qd,s6m6.0,73989,97980,0,96073,97980,0
qd,s6m6.0,97995,135266,0,98009,100430,0
qd,s6m6.0,97995,135266,0,100443,102510,0
qd,s6m6.0,97995,135266,0,102523,106535,0
qd,s6m6.0,97995,135266,0,106548,112491,0
qd,s6m6.0,97995,135266,0,112504,123289,0
qd,s6m6.0,97995,135266,0,123302,130332,0
qd,s6m6.0,97995,135266,0,130345,135266,0
qd,s6m6.0,135281,160185,0,135295,136085,0
qd,s6m6.0,135281,160185,0,136098,137097,0
qd,s6m6.0,135281,160185,0,137111,137646,0
qd,s6m6.0,135281,160185,0,137659,144969,0
qd,s6m6.0,135281,160185,0,144983,146049,0
qd,s6m6.0,135281,160185,0,146062,150167,0
qd,s6m6.0,135281,160185,0,150180,152663,0
qd,s6m6.0,135281,160185,0,152677,160185,0
