corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,s8br.0,388,456,_Stage,_Stage,Beim,APPRART,bei,12314,,
qd,s8br.0,388,456,_Stage,_Stage,Aufgehen,NN,aufgehen,12314,,
qd,s8br.0,388,456,_Stage,_Stage,des,ART,der,12314,,
qd,s8br.0,388,456,_Stage,_Stage,Vorhangs,NN,vorhang,12314,,
qd,s8br.0,388,456,_Stage,_Stage,hört,VVFIN,hören,12314,,
qd,s8br.0,388,456,_Stage,_Stage,man,PIS,man,12314,,
qd,s8br.0,388,456,_Stage,_Stage,auf,APPR,auf,12314,,
qd,s8br.0,388,456,_Stage,_Stage,dem,ART,der,12314,,
qd,s8br.0,388,456,_Stage,_Stage,Gang,NN,gang,12314,,
qd,s8br.0,388,456,_Stage,_Stage,außerhalb,APPR,außerhalb,12314,,
qd,s8br.0,388,456,_Stage,_Stage,klingeln,VVINF,klingeln,12314,,
qd,s8br.0,388,456,_Stage,_Stage,.,$.,--,12314,,
qd,s8br.0,459,487,_Stage,_Stage,Madame,ADJA,--,12314,,(0
qd,s8br.0,459,487,_Stage,_Stage,Hammel,NN,hammel,12314,,0)|(2)
qd,s8br.0,459,487,_Stage,_Stage,.,$.,--,12314,,
qd,s8br.0,459,487,_Stage,_Stage,Kohlenträger,NN,kohlenträger,12314,,
qd,s8br.0,459,487,_Stage,_Stage,.,$.,--,12314,,
qd,s8br.0,505,522,MADAME HAMMEL,madame_hammel,in,APPR,in,12314,,
qd,s8br.0,505,522,MADAME HAMMEL,madame_hammel,der,ART,der,12314,,
qd,s8br.0,505,522,MADAME HAMMEL,madame_hammel,Coullisse,NN,coullisse,12314,,
qd,s8br.0,505,522,MADAME HAMMEL,madame_hammel,.,$.,--,12314,,
qd,s8br.0,743,753,KOHLENTRÄGER,kohlenträger,außerhalb,ADV,außerhalb,12314,,
qd,s8br.0,743,753,KOHLENTRÄGER,kohlenträger,.,$.,--,12314,,
qd,s8br.0,1433,1454,_Stage,_Stage,Madame,ADJA,--,12314,,(0
qd,s8br.0,1433,1454,_Stage,_Stage,Hammel,NN,hammel,12314,,0)|(2)
qd,s8br.0,1433,1454,_Stage,_Stage,allein,ADV,allein,12314,,
qd,s8br.0,1433,1454,_Stage,_Stage,.,$.,--,12314,,
qd,s8br.0,2220,2230,HERR HAMMEL,herr_hammel,von,APPR,von,12314,,
qd,s8br.0,2220,2230,HERR HAMMEL,herr_hammel,innen,ADV,innen,12314,,
qd,s8br.0,2220,2230,HERR HAMMEL,herr_hammel,.,$.,--,12314,,
qd,s8br.0,2594,2842,_Stage,_Stage,Madame,ADJA,--,12314,,(0
qd,s8br.0,2594,2842,_Stage,_Stage,Hammel,NN,hammel,12314,,0)|(2)
qd,s8br.0,2594,2842,_Stage,_Stage,.,$.,--,12314,,
qd,s8br.0,2594,2842,_Stage,_Stage,Herr,NN,herr,12314,,(2
qd,s8br.0,2594,2842,_Stage,_Stage,Hammel,NN,hammel,12314,,2)|(2)
qd,s8br.0,2594,2842,_Stage,_Stage,in,APPR,in,12314,,
qd,s8br.0,2594,2842,_Stage,_Stage,weißem,ADJA,weiß,12314,,
qd,s8br.0,2594,2842,_Stage,_Stage,Kamisölchen,NN,kamisölchen,12314,,
qd,s8br.0,2594,2842,_Stage,_Stage,und,KON,und,12314,,
qd,s8br.0,2594,2842,_Stage,_Stage,Nachtkappe,NN,nachtkappe,12314,,
qd,s8br.0,2594,2842,_Stage,_Stage,.,$.,--,12314,,
qd,s8br.0,2594,2842,_Stage,_Stage,Er,PPER,er,12314,,
qd,s8br.0,2594,2842,_Stage,_Stage,bemerkt,VVPP,bemerken,12314,,
qd,s8br.0,2594,2842,_Stage,_Stage,Madame,NN,--,12314,,(0
qd,s8br.0,2594,2842,_Stage,_Stage,Hammel,NN,hammel,12314,,0)|(2)
qd,s8br.0,2594,2842,_Stage,_Stage,beim,APPRART,bei,12314,,
