corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,s9j7.0,16693,16828,_stage,16693,16703,Der Scheik,stimme_des_scheik
qd,s9j7.0,16693,16828,_stage,16697,16703,Scheik,stimme_des_scheik
qd,s9j7.0,16693,16828,_stage,16705,16710,Babel,babel
qd,s9j7.0,16831,16919,_stage,16831,16841,Der Scheik,stimme_des_scheik
qd,s9j7.0,16831,16919,_stage,16835,16841,Scheik,stimme_des_scheik
qd,s9j7.0,16922,17019,stimme_des_scheik,16931,16934,Ich,stimme_des_scheik
qd,s9j7.0,16922,17019,stimme_des_scheik,16939,16949,der Scheik,stimme_des_scheik
qd,s9j7.0,16922,17019,stimme_des_scheik,16943,16949,Scheik,stimme_des_scheik
qd,s9j7.0,16922,17019,stimme_des_scheik,16982,16988,Scheik,stimme_des_scheik
qd,s9j7.0,17095,17585,stimme_des_scheik,17104,17109,Meine,stimme_des_scheik
qd,s9j7.0,18238,18450,stimme_des_scheik,18247,18250,Ich,stimme_des_scheik
qd,s9j7.0,18238,18450,stimme_des_scheik,18316,18319,ich,stimme_des_scheik
qd,s9j7.0,18238,18450,stimme_des_scheik,18340,18343,ich,stimme_des_scheik
qd,s9j7.0,18238,18450,stimme_des_scheik,18360,18363,ich,stimme_des_scheik
qd,s9j7.0,18456,18536,imām,18474,18477,Ich,imām
qd,s9j7.0,18456,18536,imām,18489,18492,ich,imām
qd,s9j7.0,18541,18620,schatten_des_kādi,18563,18566,ich,schatten_des_kādi
qd,s9j7.0,18625,18705,babel,18644,18647,Ich,babel
qd,s9j7.0,18625,18705,babel,18649,18654,Babel,babel
qd,s9j7.0,18710,18900,hākawāti,18777,18780,ich,hākawāti
qd,s9j7.0,18710,18900,hākawāti,18782,18785,ich,hākawāti
qd,s9j7.0,18905,19055,stimme_des_scheik,18918,18921,ich,stimme_des_scheik
qd,s9j7.0,18905,19055,stimme_des_scheik,18923,18933,der Scheik,stimme_des_scheik
