corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,s9j7.0,13551,95321,0,16657,20215,0
qd,s9j7.0,13551,95321,0,20229,23709,0
qd,s9j7.0,13551,95321,0,23723,40963,0
qd,s9j7.0,13551,95321,0,40975,44254,0
qd,s9j7.0,13551,95321,0,44269,47382,0
qd,s9j7.0,13551,95321,0,47396,49985,0
qd,s9j7.0,13551,95321,0,50000,51226,0
qd,s9j7.0,13551,95321,0,51240,52276,0
qd,s9j7.0,13551,95321,0,52290,55992,0
qd,s9j7.0,13551,95321,0,56006,57040,0
qd,s9j7.0,13551,95321,0,57054,57436,0
qd,s9j7.0,13551,95321,0,57450,61488,0
qd,s9j7.0,13551,95321,0,61502,64038,0
qd,s9j7.0,13551,95321,0,64050,74244,0
qd,s9j7.0,13551,95321,0,74258,74795,0
qd,s9j7.0,13551,95321,0,74809,75070,0
qd,s9j7.0,13551,95321,0,75084,76443,0
qd,s9j7.0,13551,95321,0,76457,77292,0
qd,s9j7.0,13551,95321,0,77307,82745,0
qd,s9j7.0,13551,95321,0,82759,83153,0
qd,s9j7.0,13551,95321,0,83167,85855,0
qd,s9j7.0,13551,95321,0,85869,93036,0
qd,s9j7.0,13551,95321,0,93050,95321,0
qd,s9j7.0,95336,184186,0,97040,101790,0
qd,s9j7.0,95336,184186,0,101802,104642,0
qd,s9j7.0,95336,184186,0,104657,107071,0
qd,s9j7.0,95336,184186,0,107085,110372,0
qd,s9j7.0,95336,184186,0,110386,110992,0
qd,s9j7.0,95336,184186,0,111006,111517,0
qd,s9j7.0,95336,184186,0,111531,116733,0
qd,s9j7.0,95336,184186,0,116747,116951,0
qd,s9j7.0,95336,184186,0,116965,118091,0
qd,s9j7.0,95336,184186,0,118105,136136,0
qd,s9j7.0,95336,184186,0,136148,146945,0
qd,s9j7.0,95336,184186,0,146959,147877,0
qd,s9j7.0,95336,184186,0,147891,150731,0
qd,s9j7.0,95336,184186,0,150745,151091,0
qd,s9j7.0,95336,184186,0,151105,151621,0
qd,s9j7.0,95336,184186,0,151635,154967,0
qd,s9j7.0,95336,184186,0,154981,155803,0
qd,s9j7.0,95336,184186,0,155817,157078,0
qd,s9j7.0,95336,184186,0,157092,158366,0
qd,s9j7.0,95336,184186,0,158380,159436,0
qd,s9j7.0,95336,184186,0,159451,164102,0
qd,s9j7.0,95336,184186,0,164116,165063,0
qd,s9j7.0,95336,184186,0,165077,165964,0
qd,s9j7.0,95336,184186,0,165978,166889,0
qd,s9j7.0,95336,184186,0,166903,184186,0
