corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,sj68.0,505,555,_Stage,_Stage,Baal-Haanan,NE,baal-haanan,9061,,
qd,sj68.0,505,555,_Stage,_Stage,.,$.,--,9061,,
qd,sj68.0,505,555,_Stage,_Stage,Leibwache,NN,leibwache,9061,,
qd,sj68.0,505,555,_Stage,_Stage,.,$.,--,9061,,
qd,sj68.0,505,555,_Stage,_Stage,Frauen,NN,frau,9061,,
qd,sj68.0,505,555,_Stage,_Stage,.,$.,--,9061,,
qd,sj68.0,505,555,_Stage,_Stage,Mägde,NE,mägde,9061,,
qd,sj68.0,505,555,_Stage,_Stage,.,$.,--,9061,,
qd,sj68.0,505,555,_Stage,_Stage,Sklavinnen,NN,sklavin,9061,,
qd,sj68.0,505,555,_Stage,_Stage,.,$.,--,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,Die,ART,der,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,Vorigen,NN,vorige,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,.,$.,--,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,Hohepriester,NN,hohepriester,9061,,(1)
qd,sj68.0,937,1035,_Stage,_Stage,im,APPRART,in,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,weißen,ADJA,weiß,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,Ornat,NN,ornat,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,und,KON,und,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,Sulamith,NE,sulamith,9061,,(2)
qd,sj68.0,937,1035,_Stage,_Stage,von,APPR,von,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,rechts,ADV,rechts,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,eintretend,ADJD,eintretend,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,.,$.,--,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,Alle,PIDAT,aller,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,verneigen,ADJA,verneigen,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,sich,PRF,sich,9061,,
qd,sj68.0,937,1035,_Stage,_Stage,.,$.,--,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,Er,PPER,er,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,geht,VVFIN,gehen,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,nach,APPR,nach,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,links,ADV,links,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,ab,PTKVZ,ab,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,.,$.,--,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,Alle,PIDAT,aller,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,verneigen,ADJA,verneigen,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,sich,PRF,sich,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,.,$.,--,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,Baal-Haanan,NE,baal-haanan,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,begleitet,VVFIN,begleiten,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,ihn,PPER,ihn,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,",","$,",--,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,die,ART,der,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,Wachen,NN,wache,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,desgleichen,ADV,desgleichen,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,.,$.,--,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,Am,APPRART,an,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,Ausgange,NN,ausgange,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,verabschiedet,VVFIN,verabschieden,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,er,PPER,er,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,sich,PRF,sich,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,nochmals,ADV,nochmals,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,von,APPR,von,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,Sulamith,NE,sulamith,9061,,(2)
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,",","$,",--,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,indem,KOUS,indem,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,er,PPER,er,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,",","$,",--,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,ihr,PPOSAT,ihr,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,die,ART,der,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,Hand,NN,hand,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,aufs,APPRART,auf,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,Haupt,NN,haupt,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,legend,ADJD,legend,9061,,
qd,sj68.0,1508,1701,HOHEPRIESTER,hohepriester,",","$,",--,9061,,
qd,sj68.0,1705,1729,HOHEPRIESTER,hohepriester,sie,PPER,sie,9061,,
qd,sj68.0,1705,1729,HOHEPRIESTER,hohepriester,zärtlich,ADJD,zärtlich,9061,,
qd,sj68.0,1705,1729,HOHEPRIESTER,hohepriester,betrachtet,VVPP,betrachten,9061,,
qd,sj68.0,1705,1729,HOHEPRIESTER,hohepriester,.,$.,--,9061,,
qd,sj68.0,1780,1801,_Stage,_Stage,Sulamith,NE,sulamith,9061,,(2)
qd,sj68.0,1780,1801,_Stage,_Stage,.,$.,--,9061,,
qd,sj68.0,1780,1801,_Stage,_Stage,Die,ART,der,9061,,
qd,sj68.0,1780,1801,_Stage,_Stage,Frauen,NN,frau,9061,,
qd,sj68.0,1780,1801,_Stage,_Stage,.,$.,--,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Ein,ART,ein,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Teil,NN,teil,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,der,ART,der,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Frauen,NN,frau,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,spielt,VVFIN,spielen,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Harfe,NN,harfe,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,zu,APPR,zu,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,dem,ART,der,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Chor,NN,chor,9061,,(0)
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,.,$.,--,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Mädchen,NN,mädchen,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,mit,APPR,mit,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Blumenkörben,NN,blumenkörbe,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,",","$,",--,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,andere,ADJA,anderer,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Tamburin,NN,tamburin,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,und,KON,und,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Triangel,NN,triangel,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,spielend,ADJD,spielend,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,",","$,",--,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,begleiten,VVFIN,begleiten,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,mit,APPR,mit,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,anmutig,ADJD,anmutig,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,ruhiger,ADJD,ruhig,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Tanzbewegung,NN,tanzbewegung,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,den,ART,der,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Gesang,NN,gesang,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,.,$.,--,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Bei,APPR,bei,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,der,ART,der,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Schlußfermate,NN,schlußfermate,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,bilden,VVFIN,bilden,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,die,ART,der,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Tanzenden,NN,tanzend,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,eine,ART,ein,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,enge,ADJA,eng,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,Gruppe,NN,gruppe,9061,,
qd,sj68.0,2075,2326,GANZER CHOR,ganzer_chor,im,APPRART,in,9061,,
