corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,sjhr.0,trambahnschaffnerin,27,
qd,sjhr.0,klara,15,
qd,sjhr.0,rund,11,
qd,sjhr.0,flora,12,
qd,sjhr.0,dietrich,4,
qd,sjhr.0,ein_arbeiter,28,
qd,sjhr.0,frau_schenk,24,
qd,sjhr.0,dr_bossenius,17,
qd,sjhr.0,tiedtken,13,
qd,sjhr.0,dr_karfunkelstein,18,
qd,sjhr.0,trambahnführer,26,
qd,sjhr.0,rufe,34,
qd,sjhr.0,unteroffizier,32,
qd,sjhr.0,damen,19,
qd,sjhr.0,fischer,7,
qd,sjhr.0,seebald,22,
qd,sjhr.0,werra,14,
qd,sjhr.0,tessendorff,25,
qd,sjhr.0,marie,0,
qd,sjhr.0,präzold,16,
qd,sjhr.0,frau_lassmann,8,
qd,sjhr.0,lassmann,6,
qd,sjhr.0,viele_stimmen,29,
qd,sjhr.0,klagenfurter,1,
qd,sjhr.0,lecharjow,23,
qd,sjhr.0,schenk,2,
qd,sjhr.0,strauss,20,
qd,sjhr.0,färber,9,
qd,sjhr.0,trotz,10,
qd,sjhr.0,soldaten,33,
qd,sjhr.0,kellnerin,21,
qd,sjhr.0,arbeiter,30,
qd,sjhr.0,braun,3,
qd,sjhr.0,leutnant,31,
qd,sjhr.0,rosa,5,
