corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,spd6.0,928,54269,0,942,3678,0
qd,spd6.0,928,54269,0,3692,9722,0
qd,spd6.0,928,54269,0,9735,15106,0
qd,spd6.0,928,54269,0,15119,29836,0
qd,spd6.0,928,54269,0,29849,38141,0
qd,spd6.0,928,54269,0,38155,50971,0
qd,spd6.0,928,54269,0,50985,54269,0
qd,spd6.0,54284,105682,0,54298,66550,0
qd,spd6.0,54284,105682,0,66564,72374,0
qd,spd6.0,54284,105682,0,72388,78242,0
qd,spd6.0,54284,105682,0,78256,93999,0
qd,spd6.0,54284,105682,0,94012,96577,0
qd,spd6.0,54284,105682,0,96591,105682,0
qd,spd6.0,105697,156843,0,105711,111431,0
qd,spd6.0,105697,156843,0,111445,114259,0
qd,spd6.0,105697,156843,0,114272,116963,0
qd,spd6.0,105697,156843,0,116977,127018,0
qd,spd6.0,105697,156843,0,127032,131483,0
qd,spd6.0,105697,156843,0,131497,133261,0
qd,spd6.0,105697,156843,0,133274,139012,0
qd,spd6.0,105697,156843,0,139026,143464,0
qd,spd6.0,105697,156843,0,143478,151925,0
qd,spd6.0,105697,156843,0,151939,155374,0
qd,spd6.0,105697,156843,0,155388,156843,0
qd,spd6.0,156858,236556,0,156872,165120,0
qd,spd6.0,156858,236556,0,165134,171031,0
qd,spd6.0,156858,236556,0,171045,174034,0
qd,spd6.0,156858,236556,0,174048,178237,0
qd,spd6.0,156858,236556,0,178251,180599,0
qd,spd6.0,156858,236556,0,180613,187673,0
qd,spd6.0,156858,236556,0,187686,196936,0
qd,spd6.0,156858,236556,0,196950,199516,0
qd,spd6.0,156858,236556,0,199529,200650,0
qd,spd6.0,156858,236556,0,200663,207260,0
qd,spd6.0,156858,236556,0,207274,209098,0
qd,spd6.0,156858,236556,0,209112,215209,0
qd,spd6.0,156858,236556,0,215223,220905,0
qd,spd6.0,156858,236556,0,220919,228567,0
qd,spd6.0,156858,236556,0,228581,231318,0
qd,spd6.0,156858,236556,0,231332,236556,0
qd,spd6.0,236572,299423,0,236586,239759,0
qd,spd6.0,236572,299423,0,239773,241814,0
qd,spd6.0,236572,299423,0,241827,259103,0
qd,spd6.0,236572,299423,0,259116,266748,0
qd,spd6.0,236572,299423,0,266762,269100,0
qd,spd6.0,236572,299423,0,269113,273428,0
qd,spd6.0,236572,299423,0,273441,279981,0
qd,spd6.0,236572,299423,0,279995,282378,0
qd,spd6.0,236572,299423,0,282392,284675,0
qd,spd6.0,236572,299423,0,284689,287862,0
qd,spd6.0,236572,299423,0,287876,297131,0
qd,spd6.0,236572,299423,0,297144,299423,0
