corpus,drama,figure_surface,figure_id,Gender,Age
qd,stqx.0,CHRISTIAN,christian,,
qd,stqx.0,ANTON,anton,,
qd,stqx.0,WIXER,wixer,,
qd,stqx.0,ZWEITER KNECHT,zweiter_knecht,,
qd,stqx.0,STIFTER,stifter,,
qd,stqx.0,VIERTER KNECHT,vierter_knecht,,
qd,stqx.0,SPORNER,sporner,,
qd,stqx.0,DIE HERREN,die_herren,,
qd,stqx.0,ERSTER KNECHT,erster_knecht,,
qd,stqx.0,KRAUTKOPF,krautkopf,,
qd,stqx.0,GLUTHAMMER,gluthammer,,
qd,stqx.0,LIPS,lips,,
qd,stqx.0,JOSEPH,joseph,,
qd,stqx.0,MADAME SCHLEIER,madame_schleier,,
qd,stqx.0,JUSTITIÄR,justitiär,,
qd,stqx.0,KATHI,kathi,,
qd,stqx.0,DRITTER KNECHT,dritter_knecht,,
