corpus,drama,figure_surface,figure_id,Gender,Age
qd,str5.0,NANETT,nanett,,
qd,str5.0,SCHNOFERL,schnoferl,,
qd,str5.0,KRÄMER,ein_krämer,,
qd,str5.0,MADAM STORCH,madam_storch,,
qd,str5.0,PEPPI,peppi,,
qd,str5.0,DOMINIK,dominik,,
qd,str5.0,KNÖPFEL,knöpfel,,
qd,str5.0,FRAU VON ERBSENSTEIN,frau_von_erbsenstein,,
qd,str5.0,THEKLA,thekla,,
qd,str5.0,CHOR DER GESELLSCHAFT,chor_der_gesellschaft,,
qd,str5.0,GIGL,gigl,,
qd,str5.0,SABINE,sabine,,
qd,str5.0,KAUZ,kauz,,
qd,str5.0,ROSALIE,rosalie,,
