corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,str8.0,786,841,ZANGLER,zangler,Ich,PPER,ich,27518,zangler,(0)
qd,str8.0,786,841,ZANGLER,zangler,habe,VAFIN,haben,27518,,
qd,str8.0,786,841,ZANGLER,zangler,Ihnen,PPER,ihnen,27518,,
qd,str8.0,786,841,ZANGLER,zangler,jetzt,ADV,jetzt,27518,,
qd,str8.0,786,841,ZANGLER,zangler,ein,ART,ein,27518,,
qd,str8.0,786,841,ZANGLER,zangler,für,APPR,für,27518,,
qd,str8.0,786,841,ZANGLER,zangler,allemal,ADV,allemal,27518,,
qd,str8.0,786,841,ZANGLER,zangler,g,ADJD,g,27518,,
qd,str8.0,786,841,ZANGLER,zangler,',$[,--,27518,,
qd,str8.0,786,841,ZANGLER,zangler,sagt,VVFIN,sagen,27518,,
qd,str8.0,786,841,ZANGLER,zangler,–,XY,–,27518,,
qd,str8.0,846,895,SONDERS,sonders,Und,KON,und,27518,,
qd,str8.0,846,895,SONDERS,sonders,ich,PPER,ich,27518,sonders,(1)
qd,str8.0,846,895,SONDERS,sonders,Ihnen,PPER,ihnen,27518,,
qd,str8.0,846,895,SONDERS,sonders,ein,ART,ein,27518,,
qd,str8.0,846,895,SONDERS,sonders,für,APPR,für,27518,,
qd,str8.0,846,895,SONDERS,sonders,allemal,ADV,allemal,27518,,
qd,str8.0,846,895,SONDERS,sonders,erklärt,VVFIN,erklären,27518,,
qd,str8.0,846,895,SONDERS,sonders,–,XY,–,27518,,
qd,str8.0,900,956,ZANGLER,zangler,Daß,KOUS,daß,27518,,
qd,str8.0,900,956,ZANGLER,zangler,Sie,PPER,sie,27518,,
qd,str8.0,900,956,ZANGLER,zangler,meine,PPOSAT,mein,27518,zangler,(0)
qd,str8.0,900,956,ZANGLER,zangler,Nichte,NN,nichte,27518,,
qd,str8.0,900,956,ZANGLER,zangler,und,KON,und,27518,,
qd,str8.0,900,956,ZANGLER,zangler,Mündel,NE,mündel,27518,,
qd,str8.0,900,956,ZANGLER,zangler,nicht,PTKNEG,nicht,27518,,
qd,str8.0,900,956,ZANGLER,zangler,kriegen,VVFIN,kriegen,27518,,
qd,str8.0,900,956,ZANGLER,zangler,.,$.,--,27518,,
qd,str8.0,961,1002,SONDERS,sonders,Daß,KOUS,daß,27518,,
qd,str8.0,961,1002,SONDERS,sonders,Marie,NE,marie,27518,marie,(8)
qd,str8.0,961,1002,SONDERS,sonders,die,ART,der,27518,,
qd,str8.0,961,1002,SONDERS,sonders,Meine,PPOSAT,mein,27518,sonders,(1)
qd,str8.0,961,1002,SONDERS,sonders,werden,VAINF,werden,27518,,
qd,str8.0,961,1002,SONDERS,sonders,muß,VMFIN,müssen,27518,,
qd,str8.0,961,1002,SONDERS,sonders,.,$.,--,27518,,
qd,str8.0,1007,1052,ZANGLER,zangler,Das,ART,der,27518,,
qd,str8.0,1007,1052,ZANGLER,zangler,werd,FM,werden,27518,,
qd,str8.0,1007,1052,ZANGLER,zangler,',$[,--,27518,,
qd,str8.0,1007,1052,ZANGLER,zangler,ich,PPER,ich,27518,zangler,(0)
qd,str8.0,1007,1052,ZANGLER,zangler,zu,PTKZU,zu,27518,,
qd,str8.0,1007,1052,ZANGLER,zangler,verhindern,VVINF,verhindern,27518,,
qd,str8.0,1007,1052,ZANGLER,zangler,wissen,VVINF,wissen,27518,,
qd,str8.0,1007,1052,ZANGLER,zangler,.,$.,--,27518,,
qd,str8.0,1057,1119,SONDERS,sonders,Schwerlich,ADJD,schwerlich,27518,,
qd,str8.0,1057,1119,SONDERS,sonders,so,ADV,so,27518,,
qd,str8.0,1057,1119,SONDERS,sonders,sicher,ADJD,sicher,27518,,
qd,str8.0,1057,1119,SONDERS,sonders,",","$,",--,27518,,
qd,str8.0,1057,1119,SONDERS,sonders,als,KOUS,als,27518,,
qd,str8.0,1057,1119,SONDERS,sonders,ich,PPER,ich,27518,sonders,(1)
qd,str8.0,1057,1119,SONDERS,sonders,es,PPER,es,27518,,
qd,str8.0,1057,1119,SONDERS,sonders,durchzusetzen,VVIZU,durchsetzen,27518,,
qd,str8.0,1057,1119,SONDERS,sonders,weiß,VVFIN,weiß,27518,,
qd,str8.0,1057,1119,SONDERS,sonders,.,$.,--,27518,,
qd,str8.0,1124,1150,ZANGLER,zangler,Kecker,NE,kecker,27518,,
