corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,strq.0,hilaris,7,
qd,strq.0,die_väter,5,
qd,strq.0,alle_gesellen,45,
qd,strq.0,wirtin,43,
qd,strq.0,fremder,25,
qd,strq.0,erster_gesell,31,
qd,strq.0,chor_der_alten_zauberer,0,
qd,strq.0,handwerksbursch,17,
qd,strq.0,stellaris,1,
qd,strq.0,hannerl,16,
qd,strq.0,alle_weiber,23,
qd,strq.0,stimmen,20,
qd,strq.0,camilla,39,
qd,strq.0,lumpazi,3,
qd,strq.0,fludribus,4,
qd,strq.0,fassel,15,
qd,strq.0,hackauf,35,
qd,strq.0,fortuna,8,
qd,strq.0,zwirn,14,
qd,strq.0,maler,34,
qd,strq.0,windwachel,36,
qd,strq.0,hobelmann,27,
qd,strq.0,mystifax,2,
qd,strq.0,hausierer,22,
qd,strq.0,zweiter_gesell,32,
qd,strq.0,brillantine,9,
qd,strq.0,peppi,28,
qd,strq.0,die_söhne,6,
qd,strq.0,leim,12,
qd,strq.0,erster_bedienter,30,
qd,strq.0,gertraud,26,
qd,strq.0,amorosa,10,
qd,strq.0,chor_der_gesellschaft,41,
qd,strq.0,pantsch,19,
qd,strq.0,kniereim,18,
qd,strq.0,zweiter_bedienter,33,
qd,strq.0,chor,11,
qd,strq.0,knieriem,13,
qd,strq.0,sepherl,21,
qd,strq.0,ein_zimmermann,24,
qd,strq.0,palpiti,38,
qd,strq.0,reserl,42,
qd,strq.0,laura,40,
qd,strq.0,lüftig,37,
qd,strq.0,alle_bauern,44,
qd,strq.0,strudl,29,
