corpus,drama,figure_surface,figure_id,Gender,Age
qd,swzc.0,ERSTES MÄDCHEN,erstes_mädchen,,
qd,swzc.0,ZENTURJO,zenturjo,,
qd,swzc.0,BEWAFNETER,bewafneter,,
qd,swzc.0,DIE TRUPEN,die_truppen,,
qd,swzc.0,ERSTER BOTE,erster_bote,,
qd,swzc.0,ALLE MÄDCHEN,die_andern,,
qd,swzc.0,DORYPHOROS,doryphoros,,
qd,swzc.0,DRITTES MÄDCHEN,drittes_mädchen,,
qd,swzc.0,EINER VOM DRITTEN TRANSPORT,einer_vom_dritten_transport,,
qd,swzc.0,ERSTE CHRISTJANA,erste_christjana,,
qd,swzc.0,PHAON,phaon,,
qd,swzc.0,MONTANUS,montanus,,
qd,swzc.0,FLAVUS,flavus,,
qd,swzc.0,SPORUS,sporus,,
qd,swzc.0,BURRUS,burrus,,
qd,swzc.0,ERSTER CHRISTJANUS,erster_christjanus,,
qd,swzc.0,ANDERE MÄDCHEN,andere_mädchen,,
qd,swzc.0,ZWEITES MÄDCHEN,zweites_mädchen,,
qd,swzc.0,AKTE,akte,,
qd,swzc.0,ERSTER JUDE,erster_jude,,
qd,swzc.0,TERPNUS,terpnus,,
qd,swzc.0,EPAPHRODITUS,epaphroditus,,
qd,swzc.0,ZWEITER CHRISTJANUS,zweiter_christjanus,,
qd,swzc.0,STIMME,die_stimme,,
qd,swzc.0,AUGUSTJANI,augustjani,,
qd,swzc.0,KURIO,kurio,,
qd,swzc.0,LUKANUS,lukanus,,
qd,swzc.0,ZWEITER BOTE,zweiter_bote,,
qd,swzc.0,KOSROËS,kosroës,,
qd,swzc.0,ZWEITE CHRISTJANA,zweite_christjana,,
qd,swzc.0,DRITTER LEICHENTRÄGER,dritter_leichenträger,,
qd,swzc.0,ZWEITER JUDE,zweiter_jude,,
qd,swzc.0,ZWEITER RÖMER,zweiter_römer,,
qd,swzc.0,ERSTER MANN,erster_mann,,
qd,swzc.0,NYMPHIDIUS,nymphidius,,
qd,swzc.0,TIGELLINUS,tigellinus,,
qd,swzc.0,SENEKA,seneka,,
qd,swzc.0,ZWEITER LEICHENTRÄGER,zweiter_leichenträger,,
qd,swzc.0,SPÄHER,späher,,
qd,swzc.0,EUELPIUS,euelpius,,
qd,swzc.0,DRITTER RÖMER,dritter_römer,,
qd,swzc.0,EIN MÄDCHEN,ein_mädchen,,
qd,swzc.0,CHARMIS,charmis,,
qd,swzc.0,SOLDAT,soldat,,
qd,swzc.0,HASTA,hasta,,
qd,swzc.0,NERO,nero,,
qd,swzc.0,ERSTER LEICHENTRÄGER,erster_leichenträger,,
qd,swzc.0,ERSTER BEGLEITER,erster_begleiter,,
qd,swzc.0,ZWEITER BEGLEITER,zweiter_begleiter,,
qd,swzc.0,DRITTE CHRISTJANA,dritte_christjana,,
qd,swzc.0,PRÄTOR,prätor,,
qd,swzc.0,ERSTER RÖMER,erster_römer,,
