corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,swzz.0,2587,2875,_Stage,_Stage,Der,ART,der,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Himmel,NN,himmel,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,;,$.,--,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,ein,ART,ein,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Thronsaal,NN,thronsaal,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,;,$.,--,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,drei,CARD,drei,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Engel,NN,engel,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,in,APPR,in,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,schwanenweißen,ADJA,schwanenweißen,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,",","$,",--,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,federdaunartigen,ADJA,federdaunartig,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Anzügen,NN,anzug,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,mit,APPR,mit,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,enganliegenden,ADJA,enganliegend,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,",","$,",--,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,gamaschenähnlichen,ADJA,gamaschenähnlich,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Kniehosen,NN,kniehose,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,",","$,",--,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Wadenstrümpfen,NN,wadenstrümpfen,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,",","$,",--,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,kurzen,ADJA,kurz,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Amoretten-Flügeln,NN,amoretten-flügeln,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,",","$,",--,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,weißgepuderten,VVFIN,weißgepuderen,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,",","$,",--,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,kurz,ADJD,kurz,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,geschnittenen,ADJA,geschnitten,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Haaren,NN,haar,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,",","$,",--,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,weißen,ADJA,weiß,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Atlas-Schuhen,NN,atlas-schuhen,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,;,$.,--,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,sie,PPER,sie,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,haben,VAFIN,haben,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Flederwische,NN,flederwisch,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,in,APPR,in,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,der,ART,der,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Hand,NN,hand,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,zum,APPRART,zu,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,Abstauben,NN,abstauben,20399,,
qd,swzz.0,2587,2875,_Stage,_Stage,.,$.,--,20399,,
qd,swzz.0,3404,3415,DRITTER ENGEL,dritter_engel,verwundert,VVPP,verwundern,20399,,
qd,swzz.0,3404,3415,DRITTER ENGEL,dritter_engel,.,$.,--,20399,,
qd,swzz.0,3597,3613,,,laut,APPR,laut,20399,,
qd,swzz.0,3597,3613,,,auflachend,ADJD,auflachend,20399,,
qd,swzz.0,3597,3613,,,.,$.,--,20399,,
qd,swzz.0,3597,3613,ZWEITER ENGEL,zweiter_engel,laut,APPR,laut,20399,,
qd,swzz.0,3597,3613,ZWEITER ENGEL,zweiter_engel,auflachend,ADJD,auflachend,20399,,
qd,swzz.0,3597,3613,ZWEITER ENGEL,zweiter_engel,.,$.,--,20399,,
qd,swzz.0,3653,3682,DRITTER ENGEL,dritter_engel,immer,ADV,immer,20399,,
qd,swzz.0,3653,3682,DRITTER ENGEL,dritter_engel,ernster,ADJD,ernst,20399,,
qd,swzz.0,3653,3682,DRITTER ENGEL,dritter_engel,und,KON,und,20399,,
qd,swzz.0,3653,3682,DRITTER ENGEL,dritter_engel,erstaunter,ADJD,erstaunter,20399,,
qd,swzz.0,3653,3682,DRITTER ENGEL,dritter_engel,.,$.,--,20399,,
qd,swzz.0,3740,3750,ERSTER ENGEL,erster_engel,energisch,ADJD,energisch,20399,,
qd,swzz.0,3740,3750,ERSTER ENGEL,erster_engel,.,$.,--,20399,,
qd,swzz.0,3892,3911,DRITTER ENGEL,dritter_engel,innerlich,ADJD,innerlich,20399,,
qd,swzz.0,3892,3911,DRITTER ENGEL,dritter_engel,erbebend,ADJD,erbebend,20399,,
qd,swzz.0,3892,3911,DRITTER ENGEL,dritter_engel,.,$.,--,20399,,
qd,swzz.0,3968,3995,ZWEITER ENGEL,zweiter_engel,stirnrunzelnd,ADJD,stirnrunzelnd,20399,,
qd,swzz.0,3968,3995,ZWEITER ENGEL,zweiter_engel,und,KON,und,20399,,
qd,swzz.0,3968,3995,ZWEITER ENGEL,zweiter_engel,höhnisch,ADJD,höhnisch,20399,,
