corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,t8tr.0,461,476,_Stage,_Stage,Doctor,NE,doctor,23382,,(1)
qd,t8tr.0,461,476,_Stage,_Stage,.,$.,--,23382,,
qd,t8tr.0,461,476,_Stage,_Stage,Kilian,NE,kilian,23382,,(0)
qd,t8tr.0,461,476,_Stage,_Stage,.,$.,--,23382,,
qd,t8tr.0,487,510,KILIAN,kilian,auf,APPR,auf,23382,,
qd,t8tr.0,487,510,KILIAN,kilian,die,ART,der,23382,,
qd,t8tr.0,487,510,KILIAN,kilian,Bühne,NN,bühne,23382,,
qd,t8tr.0,487,510,KILIAN,kilian,stürzend,ADJD,stürzend,23382,,
qd,t8tr.0,487,510,KILIAN,kilian,.,$.,--,23382,,
qd,t8tr.0,545,561,DOCTOR,doctor,ihm,PPER,ihm,23382,,
qd,t8tr.0,545,561,DOCTOR,doctor,nachsetzend,ADJD,nachsetzend,23382,,
qd,t8tr.0,545,561,DOCTOR,doctor,.,$.,--,23382,,
qd,t8tr.0,9831,9837,KILIAN,kilian,singt,VVFIN,singen,23382,,
qd,t8tr.0,9831,9837,KILIAN,kilian,.,$.,--,23382,,
qd,t8tr.0,13087,13090,KILIAN,kilian,Ab,APPR,ab,23382,,
qd,t8tr.0,13087,13090,KILIAN,kilian,.,$.,--,23382,,
qd,t8tr.0,13103,13110,DOCTOR,doctor,allein,ADV,allein,23382,,
qd,t8tr.0,13103,13110,DOCTOR,doctor,.,$.,--,23382,,
qd,t8tr.0,13808,13826,DOCTOR,doctor,Setzt,VVFIN,setzen,23382,,
qd,t8tr.0,13808,13826,DOCTOR,doctor,sich,PRF,sich,23382,,
qd,t8tr.0,13808,13826,DOCTOR,doctor,essend,ADJD,essend,23382,,
qd,t8tr.0,13808,13826,DOCTOR,doctor,.,$.,--,23382,,
qd,t8tr.0,18164,18205,SCHLAUKOPF,schlaukopf,als,APPR,als,23382,,
