corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,t96n.0,flottwell,11,
qd,t96n.0,azur,14,
qd,t96n.0,helm,8,
qd,t96n.0,kellermeister,26,
qd,t96n.0,max,31,
qd,t96n.0,betti,28,
qd,t96n.0,hansel,37,
qd,t96n.0,thomas,30,
qd,t96n.0,der_bettler,16,
qd,t96n.0,cheristane,13,
qd,t96n.0,hiesel,35,
qd,t96n.0,haushofmeister,17,
qd,t96n.0,senner_und_sennerinnen,38,
qd,t96n.0,pralling,2,
qd,t96n.0,weib,20,
qd,t96n.0,baron_flitterstein,24,
qd,t96n.0,klugheim,22,
qd,t96n.0,sockel,5,
qd,t96n.0,wolf,3,
qd,t96n.0,arzt,27,
qd,t96n.0,pepi,36,
qd,t96n.0,rosa,7,
qd,t96n.0,johann,1,
qd,t96n.0,walter,9,
qd,t96n.0,diener_2.3,18,
qd,t96n.0,valentin,6,
qd,t96n.0,ein_gast,12,
qd,t96n.0,bediente,29,
qd,t96n.0,die_gäste,25,
qd,t96n.0,fritz,0,
qd,t96n.0,chor,15,
qd,t96n.0,amalie,23,
qd,t96n.0,diener_3.3,19,
qd,t96n.0,liese,33,
qd,t96n.0,michael,34,
qd,t96n.0,gärtner,32,
qd,t96n.0,dumont,10,
qd,t96n.0,juwelier,21,
qd,t96n.0,gründling,4,
