corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,t96w.0,1339,1900,_stage,1525,1534,Tisiphone,tisiphone
qd,t96w.0,1339,1900,_stage,1539,1545,Alekto,alekto
qd,t96w.0,2152,2201,_stage,2152,2161,Phalarius,phalarius
qd,t96w.0,2299,4808,phalarius,2315,2318,ich,phalarius
qd,t96w.0,2299,4808,phalarius,2381,2385,mich,phalarius
qd,t96w.0,2485,2533,_stage,2527,2532,Kreon,kreon
qd,t96w.0,2299,4808,phalarius,2549,2554,Kreon,kreon
qd,t96w.0,2299,4808,phalarius,2664,2667,ich,phalarius
qd,t96w.0,2299,4808,phalarius,2686,2690,mein,phalarius
qd,t96w.0,2299,4808,phalarius,2724,2728,Mich,phalarius
qd,t96w.0,2299,4808,phalarius,2745,2751,meinen,phalarius
qd,t96w.0,2299,4808,phalarius,2812,2815,ich,phalarius
qd,t96w.0,2299,4808,phalarius,2904,2907,ich,phalarius
qd,t96w.0,2299,4808,phalarius,3036,3039,ich,phalarius
qd,t96w.0,2299,4808,phalarius,3125,3128,ich,phalarius
qd,t96w.0,2299,4808,phalarius,3163,3166,Ich,phalarius
qd,t96w.0,2299,4808,phalarius,3196,3202,Diener,diener
qd,t96w.0,2299,4808,phalarius,3256,3259,mir,phalarius
qd,t96w.0,2299,4808,phalarius,3269,3274,Kreon,kreon
qd,t96w.0,2299,4808,phalarius,3359,3365,meiner,phalarius
qd,t96w.0,2299,4808,phalarius,3458,3461,Ich,phalarius
qd,t96w.0,2299,4808,phalarius,3565,3570,Kreon,kreon
qd,t96w.0,2299,4808,phalarius,3613,3616,ich,phalarius
qd,t96w.0,2299,4808,phalarius,3740,3743,ich,phalarius
qd,t96w.0,2299,4808,phalarius,3744,3749,Kreon,kreon
qd,t96w.0,2299,4808,phalarius,3769,3772,ich,phalarius
qd,t96w.0,2299,4808,phalarius,3812,3816,mich,phalarius
qd,t96w.0,2299,4808,phalarius,3852,3855,ich,phalarius
qd,t96w.0,2299,4808,phalarius,3939,3942,ich,phalarius
qd,t96w.0,2299,4808,phalarius,3986,3991,meine,phalarius
qd,t96w.0,2299,4808,phalarius,4092,4096,mich,phalarius
qd,t96w.0,2299,4808,phalarius,4252,4255,ich,phalarius
qd,t96w.0,2299,4808,phalarius,4274,4277,ich,phalarius
