corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,t976.0,1642,1907,_Stage,_Stage,Großer,ADJA,groß,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Festsaal,NN,festsaal,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,",","$,",--,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,mit,APPR,mit,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,magischen,ADJA,magisch,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Lampen,NN,lampe,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,von,APPR,von,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,verschiedenen,ADJA,verschieden,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Farben,NN,farbe,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,hell,ADJD,hell,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,beleuchtet,VVPP,beleuchten,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,",","$,",--,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,welche,PWAT,welcher,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,",","$,",--,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,auf,APPR,auf,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Kandelabern,NN,kandelaber,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,angebracht,VVPP,anbringen,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,",","$,",--,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,die,ART,der,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Kulissen,NN,kulisse,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,zieren,VVINF,zieren,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,.,$.,--,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Im,APPRART,in,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Hintergrunde,NN,hintergrunde,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,die,ART,der,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Öffnung,NN,öffnung,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,eines,ART,ein,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,großen,ADJA,groß,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Bogentores,NN,bogentor,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,",","$,",--,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,welches,PRELS,welcher,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,durch,PTKVZ,durch,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,",","$,",--,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,einen,ART,ein,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,schalartigen,ADJA,schalartig,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,mit,APPR,mit,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Gold,NN,gold,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,verbrämten,ADJA,verbrämt,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,Vorhang,NN,vorhang,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,verdeckt,VVFIN,verdecken,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,ist,VAFIN,sein,22763,,
qd,t976.0,1642,1907,_Stage,_Stage,.,$.,--,22763,,
qd,t976.0,1910,2505,_Stage,_Stage,In,APPR,in,22763,,
qd,t976.0,1910,2505,_Stage,_Stage,der,ART,der,22763,,
qd,t976.0,1910,2505,_Stage,_Stage,Mitte,NN,mitte,22763,,
qd,t976.0,1910,2505,_Stage,_Stage,des,ART,der,22763,,
qd,t976.0,1910,2505,_Stage,_Stage,Theaters,NN,theater,22763,,
qd,t976.0,1910,2505,_Stage,_Stage,spielen,VVFIN,spielen,22763,,
