corpus,drama,figure_surface,figure_id,Gender,Age
qd,t977.0,ZORAIDE,zoraide,,
qd,t977.0,SKLAVE,sklave,,
qd,t977.0,STIMME DES STABES,stimme_des_stabes,,
qd,t977.0,MATROSEN,alle_matrosen,,
qd,t977.0,STIMME DER SCHÄRPE,stimme_der_schärpe,,
qd,t977.0,HASSAR,hassar,,
qd,t977.0,ZADI,zadi,,
qd,t977.0,ERSTER HUSAR,erster_husar,,
qd,t977.0,ALLE NYMPHEN,alle_nymphen,,
qd,t977.0,BEDIENTE,bediente,,
qd,t977.0,DIE AMAZONEN,die_amazonen,,
qd,t977.0,QUECKSILBERS DIENER,quecksilbers_diener,,
qd,t977.0,CHOR,chor,,
qd,t977.0,FEE,fee,,
qd,t977.0,VOLK,volk,,
qd,t977.0,QUECKSILBER,quecksilber,,
qd,t977.0,DIE GENIEN,die_genien,,
qd,t977.0,TUTU,tutu,,
qd,t977.0,ANFÜHRER,anführer,,
qd,t977.0,ERSTER MATROSE,erster_matrose,,
qd,t977.0,LEIBARZT,leibarzt,,
qd,t977.0,LIDI,lidi,,
qd,t977.0,EINE WACHE,eine_wache,,
qd,t977.0,STIMME DES HORNES,stimme_des_hornes,,
qd,t977.0,LINDA,linda,,
