corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,t977.0,779,887,_stage,791,794,Fee,fee
qd,t977.0,890,1056,lidi,920,923,Fee,fee
qd,t977.0,1061,1146,fee,1123,1126,Fee,fee
qd,t977.0,1151,1228,lidi,1204,1207,ich,lidi
qd,t977.0,1233,1553,fee,1323,1326,Ich,fee
qd,t977.0,1233,1553,fee,1346,1349,ich,fee
qd,t977.0,1233,1553,fee,1436,1439,ich,fee
qd,t977.0,1233,1553,fee,1482,1485,ich,fee
qd,t977.0,1634,1939,fee,1705,1708,ich,fee
qd,t977.0,1634,1939,fee,1748,1751,ich,fee
qd,t977.0,1634,1939,fee,1803,1808,meine,fee
qd,t977.0,1634,1939,fee,1824,1827,ich,fee
qd,t977.0,1634,1939,fee,1921,1924,ich,fee
qd,t977.0,2134,2530,fee,2140,2144,Lidi,lidi
qd,t977.0,2134,2530,fee,2173,2176,ich,fee
qd,t977.0,2134,2530,fee,2177,2182,meine,fee
qd,t977.0,2134,2530,fee,2199,2202,ich,fee
qd,t977.0,2265,2530,_stage,2384,2395,Quecksilber,quecksilber
qd,t977.0,2583,2746,fee,2594,2598,mich,fee
qd,t977.0,2583,2746,fee,2599,2604,meine,fee
qd,t977.0,2924,3189,lidi,3035,3046,Quecksilber,quecksilber
qd,t977.0,3194,3529,fee,3236,3240,mich,fee
qd,t977.0,3194,3529,fee,3242,3245,Ich,fee
qd,t977.0,3194,3529,fee,3377,3381,Lidi,lidi
qd,t977.0,3579,3722,_stage,3704,3715,Quecksilber,quecksilber
qd,t977.0,3725,6204,quecksilber,4087,4091,mich,quecksilber
qd,t977.0,3725,6204,quecksilber,4134,4138,mich,quecksilber
qd,t977.0,3725,6204,quecksilber,4312,4315,ich,quecksilber
qd,t977.0,3725,6204,quecksilber,4397,4402,meine,quecksilber
qd,t977.0,3725,6204,quecksilber,4449,4453,mich,quecksilber
qd,t977.0,3725,6204,quecksilber,4494,4497,ich,quecksilber
qd,t977.0,3725,6204,quecksilber,4673,4676,ich,quecksilber
qd,t977.0,3725,6204,quecksilber,4764,4767,ich,quecksilber
qd,t977.0,3725,6204,quecksilber,4798,4806,Matrosen,alle_matrosen
qd,t977.0,3725,6204,quecksilber,4980,4983,ich,quecksilber
qd,t977.0,3725,6204,quecksilber,4988,4992,mich,quecksilber
qd,t977.0,3725,6204,quecksilber,4996,5002,meinen,quecksilber
qd,t977.0,3725,6204,quecksilber,5062,5066,mein,quecksilber
qd,t977.0,3725,6204,quecksilber,5086,5089,ich,quecksilber
qd,t977.0,3725,6204,quecksilber,5226,5230,Mein,quecksilber
qd,t977.0,3725,6204,quecksilber,5250,5254,mein,quecksilber
