corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,t9p7.0,636,784,TILL,till,Wohin,PWAV,wohin,20849,,
qd,t9p7.0,636,784,TILL,till,befehlen,VVFIN,befehlen,20849,,
qd,t9p7.0,636,784,TILL,till,Sie,PPER,sie,20849,,
qd,t9p7.0,636,784,TILL,till,Ihnen,PPER,ihnen,20849,,
qd,t9p7.0,636,784,TILL,till,die,ART,der,20849,,
qd,t9p7.0,636,784,TILL,till,Bücher,NN,buch,20849,,
qd,t9p7.0,636,784,TILL,till,zu,PTKZU,zu,20849,,
qd,t9p7.0,636,784,TILL,till,schicken,VVINF,schicken,20849,,
qd,t9p7.0,636,784,TILL,till,",","$,",--,20849,,
qd,t9p7.0,636,784,TILL,till,Herr,NN,herr,20849,,
qd,t9p7.0,636,784,TILL,till,–,XY,–,20849,,
qd,t9p7.0,636,784,TILL,till,–,XY,–,20849,,
qd,t9p7.0,636,784,TILL,till,–,XY,–,20849,,
qd,t9p7.0,636,784,TILL,till,Ich,PPER,ich,20849,till,(0)
qd,t9p7.0,636,784,TILL,till,weiß,VVFIN,weiß,20849,,
qd,t9p7.0,636,784,TILL,till,nicht,PTKNEG,nicht,20849,,
qd,t9p7.0,636,784,TILL,till,",","$,",--,20849,,
qd,t9p7.0,636,784,TILL,till,mit,APPR,mit,20849,,
qd,t9p7.0,636,784,TILL,till,wem,ADJA,wem,20849,,
qd,t9p7.0,636,784,TILL,till,ich,PPER,ich,20849,till,(0)
qd,t9p7.0,636,784,TILL,till,die,ART,der,20849,,
qd,t9p7.0,636,784,TILL,till,Ehre,NN,ehre,20849,,
qd,t9p7.0,636,784,TILL,till,habe,VAFIN,haben,20849,,
qd,t9p7.0,636,784,TILL,till,–,XY,–,20849,,
qd,t9p7.0,636,784,TILL,till,–,XY,–,20849,,
qd,t9p7.0,789,873,BARON,baron,Baron,NE,baron,20849,baron,(1)
qd,t9p7.0,789,873,BARON,baron,Riedberg,NE,riedberg,20849,,
qd,t9p7.0,789,873,BARON,baron,.,$.,--,20849,,
qd,t9p7.0,789,873,BARON,baron,Ich,PPER,ich,20849,baron,(1)
