corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,t9ps.0,441,916,_Stage,_Stage,Im,APPRART,in,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Vordergrunde,NN,vordergrunde,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,links,ADV,links,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,sitzt,VVFIN,sitzen,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,König,NN,könig,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Heinrich,NE,heinrich,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,unter,APPR,unter,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,der,ART,der,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Gerichtseiche,NN,gerichtseich,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,:,$.,--,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,zu,APPR,zu,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,seiner,PPOSAT,sein,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Seite,NN,seite,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Grafen,VVPP,grafe,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,und,KON,und,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Edle,NN,edel,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,vom,APPRART,von,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,sächsischen,ADJA,sächsisch,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Heerbann,NN,heerbann,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,.,$.,--,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Gegenüber,NN,gegenüber,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,brabantische,ADJA,brabantisch,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Grafen,NN,grafe,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,und,KON,und,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Edle,NN,edel,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,",","$,",--,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Reisige,NN,reisige,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,und,KON,und,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Volk,NN,volk,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,",","$,",--,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,an,APPR,an,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,ihrer,PPOSAT,ihr,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Spitze,NN,spitze,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Friedrich,NE,friedrich,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,von,APPR,von,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Telramund,NE,telramund,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,",","$,",--,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,zu,APPR,zu,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,dessen,PRELAT,der,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Seite,NN,seite,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Ortrud,NE,ortrud,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,.,$.,--,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Mannen,NN,Mann,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,und,KON,und,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Knechte,NN,knecht,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,füllen,VVFIN,füllen,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,die,ART,der,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Räume,NN,raum,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,im,APPRART,in,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Hintergrunde,NN,hintergrunde,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,.,$.,--,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Die,ART,der,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Mitte,NN,mitte,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,bildet,VVFIN,bilden,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,einen,ART,ein,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,offenen,ADJA,offen,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Kreis,NN,kreis,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,.,$.,--,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,–,XY,–,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Der,ART,der,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Heerrufer,NN,heerrufer,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,ist,VAFIN,sein,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,aus,APPR,aus,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,dem,ART,der,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Heerbann,NN,heerbann,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,des,ART,der,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Königs,NN,könig,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,in,APPR,in,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,die,ART,der,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Mitte,NN,mitte,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,geschritten,VVPP,schreiden,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,:,$.,--,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,auf,APPR,auf,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,sein,PPOSAT,sein,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Zeichen,NN,zeichen,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,blasen,VVFIN,blasen,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,vier,CARD,vier,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Trompeter,NN,trompeter,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,des,ART,der,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Königs,NN,könig,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,den,ART,der,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,Aufruf,NN,aufruf,14693,,
qd,t9ps.0,441,916,_Stage,_Stage,.,$.,--,14693,,
qd,t9ps.0,1167,1191,,,An,APPR,an,14693,,
qd,t9ps.0,1167,1191,,,die,ART,der,14693,,
qd,t9ps.0,1167,1191,,,Waffen,NN,waffe,14693,,
qd,t9ps.0,1167,1191,,,schlagend,ADJD,schlagend,14693,,
qd,t9ps.0,1167,1191,,,.,$.,--,14693,,
qd,t9ps.0,1238,1260,,,Der,ART,der,14693,,
qd,t9ps.0,1238,1260,,,König,NN,könig,14693,,
qd,t9ps.0,1238,1260,,,erhebt,VVFIN,erheben,14693,,
qd,t9ps.0,1238,1260,,,sich,PRF,sich,14693,,
qd,t9ps.0,1238,1260,,,.,$.,--,14693,,
qd,t9ps.0,1412,1438,,,Feierliche,ADJA,feierlich,14693,,
qd,t9ps.0,1412,1438,,,Aufmerksamkeit,NN,aufmerksamkeit,14693,,
qd,t9ps.0,1412,1438,,,.,$.,--,14693,,
qd,t9ps.0,1984,2001,,,Mit,APPR,mit,14693,,
qd,t9ps.0,1984,2001,,,großer,ADJA,groß,14693,,
