corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tbqn.0,248,877,MUTTER,mutter,Immer,ADV,immer,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,wieder,ADV,wieder,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,möcht,VVFIN,möchen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,ich,PPER,ich,10030,mutter,(0)
qd,tbqn.0,248,877,MUTTER,mutter,durch,APPR,durch,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,das,ART,der,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,ganze,ADJA,ganz,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Haus,NN,haus,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,gehn,CARD,gehn,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Liebes,NE,lieb,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Kind,NN,kind,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,",","$,",--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,du,PPER,du,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,hasts,ADV,hast,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,wirklich,ADJD,wirklich,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,gut,ADJD,gut,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Wenn,KOUS,wenn,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,ich,PPER,ich,10030,mutter,(0)
qd,tbqn.0,248,877,MUTTER,mutter,denk,VVFIN,denk,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,",","$,",--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,unsere,PPOSAT,unser,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Böden,NN,boden,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,in,APPR,in,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,den,ART,der,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,alten,ADJA,alt,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Häusern,NN,haus,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,",","$,",--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,da,ADV,da,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,in,APPR,in,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,der,ART,der,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Spornergasse,NN,spornergasse,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Du,PPER,du,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,weißt,VVFIN,weißen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,ja,ADV,ja,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,:,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,wenn,KOUS,wenn,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,man,PIS,man,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,herunterkommt,VVFIN,herunterkommen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,",","$,",--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,wie,PWAV,wie,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,aus,APPR,aus,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,dem,ART,der,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Kamin,NN,kamin,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,kommt,VVFIN,kommen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,man,PIS,man,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Bei,APPR,bei,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,dir,PPER,dir,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,?,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Strudelteig,ADJD,strudelteig,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,könnt,VVFIN,können,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,man,PIS,man,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,auf,APPR,auf,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,den,ART,der,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Dielen,NN,diel,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,rollen,VVINF,rollen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,",","$,",--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,nicht,PTKNEG,nicht,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,ein,ART,ein,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Stäubchen,NN,stäubchen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Sie,PPER,sie,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,unterbricht,VVFIN,unterbrechen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,sich,PRF,sich,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,plötzlich,ADJD,plötzlich,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Aber,KON,aber,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,das,PDS,der,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,hab,VAFIN,hab,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,ich,PPER,ich,10030,mutter,(0)
qd,tbqn.0,248,877,MUTTER,mutter,dich,PRF,dich,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,fragen,VVINF,fragen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,wollen,VMFIN,wollen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,",","$,",--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Sophie,NE,sophie,10030,sophie,(1)
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Gefällt,VVFIN,gefallen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,dir,PPER,dir,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,das,PDS,der,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,da,PTKVZ,da,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,?,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Sie,PPER,sie,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,weist,VVFIN,weisen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,nach,APPR,nach,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,der,ART,der,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Couchette,NN,couchette,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Ich,PPER,ich,10030,mutter,(0)
qd,tbqn.0,248,877,MUTTER,mutter,kann,VMFIN,können,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,nicht,PTKNEG,nicht,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,daran,PROAV,daran,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,vorübergehn,VVINF,vorübergehn,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Es,PPER,es,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,steht,VVFIN,stehen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,mir,PPER,sich,10030,mutter,(0)
qd,tbqn.0,248,877,MUTTER,mutter,überall,ADV,überall,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,im,APPRART,in,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Weg,NN,weg,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Was,PWS,was,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,ich,PPER,ich,10030,mutter,(0)
qd,tbqn.0,248,877,MUTTER,mutter,mich,PRF,mich,10030,mutter,(0)
qd,tbqn.0,248,877,MUTTER,mutter,herumgestritten,ADJA,herumgestritten,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,hab,VAFIN,hab,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,mit,APPR,mit,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,dem,ART,der,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Tapezier,NN,tapezier,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Er,PPER,er,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,hat,VAFIN,haben,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,halt,ADV,halt,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,immer,ADV,immer,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,behauptet,VVFIN,behaupten,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,",","$,",--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,sowas,PIS,sowas,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,muß,VMFIN,müssen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,schief,ADJD,schief,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,stehen,VVINF,stehen,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,Nicht,PTKNEG,nicht,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,sehn,VVINF,sehn,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,kann,VMFIN,können,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,ichs,ADV,ichs,10030,,
qd,tbqn.0,248,877,MUTTER,mutter,.,$.,--,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,Gott,NN,gott,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,",","$,",--,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,so,ADV,so,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,schlimm,ADJD,schlimm,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,ist,VAFIN,sein,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,das,PDS,der,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,ja,ADV,ja,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,nicht,PTKNEG,nicht,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,.,$.,--,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,Gar,ADV,gar,10030,,
qd,tbqn.0,882,1064,SOPHIE,sophie,so,ADV,so,10030,,
