corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,tgw6.0,frau_ermischer,0,
qd,tgw6.0,maari,1,
qd,tgw6.0,ermischer,2,
qd,tgw6.0,ulbrich,3,
qd,tgw6.0,seifert,4,
qd,tgw6.0,weigel,5,
qd,tgw6.0,neubert,6,
qd,tgw6.0,frau_neubert,7,
qd,tgw6.0,neumerkel,8,
qd,tgw6.0,fränzel,9,
qd,tgw6.0,frau_schönherr,10,
qd,tgw6.0,heinerle,11,
qd,tgw6.0,gertrud,12,
qd,tgw6.0,liesel,13,
qd,tgw6.0,meister_schönherr,14,
qd,tgw6.0,frau_ulbrich,15,
qd,tgw6.0,frau_seifert,16,
qd,tgw6.0,die_waldarbeiter,17,
qd,tgw6.0,die_leute,18,
qd,tgw6.0,ein_bauer,19,
qd,tgw6.0,die_schnitzler,20,
qd,tgw6.0,viele_stimmen,21,
qd,tgw6.0,die_bauern,22,
