corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,th0n.0,672,782,_Stage,_Stage,Der,ART,der,33592,,(0
qd,th0n.0,672,782,_Stage,_Stage,Mann,NN,mann,33592,,0)
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,33592,,
qd,th0n.0,672,782,_Stage,_Stage,Ein,ART,ein,33592,,(4
qd,th0n.0,672,782,_Stage,_Stage,Junge,NN,junge,33592,,4)
qd,th0n.0,672,782,_Stage,_Stage,aus,APPR,aus,33592,,(16
qd,th0n.0,672,782,_Stage,_Stage,der,ART,der,33592,,
qd,th0n.0,672,782,_Stage,_Stage,Menge,NN,menge,33592,,16)|(16)
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,33592,,
qd,th0n.0,672,782,_Stage,_Stage,Eine,ART,ein,33592,,(1|(1
qd,th0n.0,672,782,_Stage,_Stage,Frau,NN,frau,33592,,1)
qd,th0n.0,672,782,_Stage,_Stage,aus,APPR,aus,33592,,(16
qd,th0n.0,672,782,_Stage,_Stage,der,ART,der,33592,,
qd,th0n.0,672,782,_Stage,_Stage,Menge,NN,menge,33592,,1)|16)|(16)
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,33592,,
qd,th0n.0,672,782,_Stage,_Stage,Ein,ART,ein,33592,,(2
qd,th0n.0,672,782,_Stage,_Stage,alter,ADJA,alt,33592,,
qd,th0n.0,672,782,_Stage,_Stage,Mann,NN,mann,33592,,2)
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,33592,,
qd,th0n.0,672,782,_Stage,_Stage,Ein,ART,ein,33592,,(3
qd,th0n.0,672,782,_Stage,_Stage,Herr,NN,herr,33592,,3)
qd,th0n.0,672,782,_Stage,_Stage,mit,APPR,mit,33592,,
qd,th0n.0,672,782,_Stage,_Stage,Zylinder,NN,zylinder,33592,,
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,33592,,
qd,th0n.0,672,782,_Stage,_Stage,Volksmenge,NN,volksmenge,33592,,
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,33592,,
qd,th0n.0,795,818,DER MANN,der_mann,an,APPR,an,33592,,
qd,th0n.0,795,818,DER MANN,der_mann,einer,ART,ein,33592,,
qd,th0n.0,795,818,DER MANN,der_mann,Ecke,NN,ecke,33592,,
qd,th0n.0,795,818,DER MANN,der_mann,",","$,",--,33592,,
qd,th0n.0,795,818,DER MANN,der_mann,schreit,VVFIN,schreien,33592,,
qd,th0n.0,795,818,DER MANN,der_mann,.,$.,--,33592,,
qd,th0n.0,865,884,DER MANN,der_mann,Menge,NN,menge,33592,,(16)
qd,th0n.0,865,884,DER MANN,der_mann,sammelt,VVFIN,sammeln,33592,,
qd,th0n.0,865,884,DER MANN,der_mann,sich,PRF,sich,33592,,
qd,th0n.0,865,884,DER MANN,der_mann,.,$.,--,33592,,
qd,th0n.0,900,914,DIE FFRAU,die_ffrau,aus,APPR,aus,33592,,(16
qd,th0n.0,900,914,DIE FFRAU,die_ffrau,der,ART,der,33592,,
qd,th0n.0,900,914,DIE FFRAU,die_ffrau,Menge,NN,menge,33592,,16)|(16)
qd,th0n.0,900,914,DIE FFRAU,die_ffrau,.,$.,--,33592,,
qd,th0n.0,959,979,DER ALTE MANN,ein_alter_mann,läuft,VVFIN,laufen,33592,,
qd,th0n.0,959,979,DER ALTE MANN,ein_alter_mann,atemlos,ADJD,atemlos,33592,,
qd,th0n.0,959,979,DER ALTE MANN,ein_alter_mann,herzu,PTKVZ,herzu,33592,,
qd,th0n.0,959,979,DER ALTE MANN,ein_alter_mann,.,$.,--,33592,,
qd,th0n.0,1036,1063,EIN HERR,ein_herr,mit,APPR,mit,33592,,
qd,th0n.0,1036,1063,EIN HERR,ein_herr,Zylinder,NN,zylinder,33592,,
qd,th0n.0,1036,1063,EIN HERR,ein_herr,auf,APPR,auf,33592,,
