corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tn4k.0,7030,7060,_Stage,_Stage,Festsaal,NN,festsaal,38256,,
qd,tn4k.0,7030,7060,_Stage,_Stage,des,ART,der,38256,,
qd,tn4k.0,7030,7060,_Stage,_Stage,Gasthofs,NN,gasthof,38256,,
qd,tn4k.0,7030,7060,_Stage,_Stage,zur,APPRART,zu,38256,,
qd,tn4k.0,7030,7060,_Stage,_Stage,Post,NN,post,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Großer,NN,groß,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,",","$,",--,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,sehr,ADV,sehr,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,tiefer,ADJD,tief,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Raum,NN,raum,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,",","$,",--,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,der,ART,der,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,vorne,ADV,vorne,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,an,APPR,an,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,jeder,PIDAT,jeder,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Seitenwand,NN,seitenwand,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,ein,ART,ein,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,breites,ADJA,breit,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Fenster,NN,fenster,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,hat,VAFIN,haben,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,.,$.,--,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,In,APPR,in,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,ziemlicher,ADJA,ziemlich,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Entfernung,NN,entfernung,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,von,APPR,von,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,den,ART,der,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Fenstern,NN,fenster,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,nach,APPR,nach,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,rückwärts,ADV,rückwärts,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,befindet,VVFIN,befinden,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,sich,PRF,sich,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,je,ADV,je,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,eine,ART,ein,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,große,ADJA,groß,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Flügeltüre,NN,flügeltüre,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,mit,APPR,mit,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Milchglas,NE,milchglas,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,",","$,",--,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,von,APPR,von,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,denen,PRELS,der,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,die,ART,der,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,rechte,ADJA,rechter,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,auf,APPR,auf,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,eine,ART,ein,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Veranda,NN,veranda,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,",","$,",--,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,die,ART,der,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,linke,ADJA,linke,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,durch,APPR,durch,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,einen,ART,ein,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Hausgang,NN,hausgang,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,in,APPR,in,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,das,ART,der,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Innere,NN,innerer,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,des,ART,der,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Gasthofs,NN,gasthof,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,führt,VVFIN,führen,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,.,$.,--,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,Je,ADV,je,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,zwei,CARD,zwei,38256,,
qd,tn4k.0,7063,7603,_Stage,_Stage,bronzene,ADJA,bronzen,38256,,
