corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,trwt.0,klettina,28,
qd,trwt.0,der_müller,34,
qd,trwt.0,schabholz,13,
qd,trwt.0,der_erste,31,
qd,trwt.0,dritte_dame,18,
qd,trwt.0,der_zweite,32,
qd,trwt.0,der_dritte,33,
qd,trwt.0,erste_dame,16,
qd,trwt.0,irma,15,
qd,trwt.0,rhamphastus,7,
qd,trwt.0,führiana,27,
qd,trwt.0,ventriculus,9,
qd,trwt.0,der_lebenstrieb,11,
qd,trwt.0,schalk,22,
qd,trwt.0,ronober,24,
qd,trwt.0,innocentia,35,
qd,trwt.0,suffimentum,6,
qd,trwt.0,dritter_offizier,21,
qd,trwt.0,die_unabänderlichkeit,12,
qd,trwt.0,asafötida,5,
qd,trwt.0,lepidanthos,8,
qd,trwt.0,zweite_dame,17,
qd,trwt.0,musarion,25,
qd,trwt.0,sattilka,30,
qd,trwt.0,magrona,29,
qd,trwt.0,waisenkinder,14,
qd,trwt.0,melancholia,37,
qd,trwt.0,fuchs,26,
qd,trwt.0,dichter,0,
qd,trwt.0,erster_offizier,19,
qd,trwt.0,zweiter_offizier,20,
qd,trwt.0,schauspieler,2,
qd,trwt.0,hertha,36,
qd,trwt.0,die_maurergesellen,23,
qd,trwt.0,faustine,10,
qd,trwt.0,bombax,3,
qd,trwt.0,elektra,38,
qd,trwt.0,direktor,1,
qd,trwt.0,praktinski,4,
