corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,tv5b.0,139,160,sie,150,153,ich,sie
qd,tv5b.0,165,328,er,170,173,Ich,er
qd,tv5b.0,165,328,er,181,185,mich,er
qd,tv5b.0,165,328,er,205,208,mir,er
qd,tv5b.0,165,328,er,234,237,ich,er
qd,tv5b.0,165,328,er,273,276,mir,er
qd,tv5b.0,506,541,sie,520,524,mich,sie
qd,tv5b.0,546,663,er,593,596,ich,er
qd,tv5b.0,668,687,sie,674,677,Ich,sie
qd,tv5b.0,692,728,er,697,700,Ich,er
qd,tv5b.0,760,821,er,801,804,mir,er
qd,tv5b.0,850,977,er,876,880,mich,er
qd,tv5b.0,850,977,er,945,948,ich,er
qd,tv5b.0,850,977,er,949,953,mich,er
qd,tv5b.0,982,1051,sie,1018,1021,mir,sie
qd,tv5b.0,982,1051,sie,1029,1032,Ich,sie
qd,tv5b.0,1056,1135,er,1079,1082,ich,er
qd,tv5b.0,1140,1177,sie,1157,1160,ich,sie
qd,tv5b.0,1625,1832,er,1639,1642,mir,er
qd,tv5b.0,1625,1832,er,1662,1667,meine,er
qd,tv5b.0,1625,1832,er,1709,1712,ich,er
qd,tv5b.0,1625,1832,er,1716,1719,mir,er
qd,tv5b.0,1625,1832,er,1767,1770,Ich,er
qd,tv5b.0,2372,2523,sie,2478,2481,Ich,sie
qd,tv5b.0,2528,2811,er,2617,2620,ich,er
qd,tv5b.0,2528,2811,er,2658,2661,Mir,er
qd,tv5b.0,3188,3310,sie,3241,3244,mir,sie
qd,tv5b.0,3188,3310,sie,3246,3249,ich,sie
qd,tv5b.0,3315,4172,er,3372,3375,ich,er
qd,tv5b.0,3315,4172,er,3433,3436,ich,er
qd,tv5b.0,3315,4172,er,3492,3495,ich,er
qd,tv5b.0,3315,4172,er,3520,3523,Ich,er
qd,tv5b.0,3315,4172,er,3545,3548,Mir,er
qd,tv5b.0,3315,4172,er,3628,3634,meiner,er
qd,tv5b.0,3315,4172,er,3656,3659,ich,er
qd,tv5b.0,4177,4229,sie,4218,4221,mir,sie
qd,tv5b.0,4234,5581,er,4257,4260,ich,er
qd,tv5b.0,4234,5581,er,4278,4281,ich,er
qd,tv5b.0,4234,5581,er,4300,4303,ich,er
qd,tv5b.0,4234,5581,er,4388,4391,ich,er
qd,tv5b.0,4234,5581,er,4392,4395,mir,er
qd,tv5b.0,4234,5581,er,4880,4883,Ich,er
qd,tv5b.0,4234,5581,er,5135,5138,ich,er
qd,tv5b.0,4234,5581,er,5139,5143,mich,er
qd,tv5b.0,4234,5581,er,5206,5209,ich,er
qd,tv5b.0,4234,5581,er,5221,5224,mir,er
qd,tv5b.0,5586,5674,sie,5662,5666,Mein,sie
qd,tv5b.0,5679,5836,er,5704,5707,ich,er
qd,tv5b.0,5679,5836,er,5710,5714,mich,er
qd,tv5b.0,5679,5836,er,5747,5750,ich,er
qd,tv5b.0,5679,5836,er,5753,5756,mir,er
qd,tv5b.0,5814,5836,_stage,5814,5816,Er,er
qd,tv5b.0,5841,5865,sie,5861,5864,ich,sie
qd,tv5b.0,5927,5949,sie,5939,5942,ich,sie
qd,tv5b.0,6124,6254,sie,6130,6133,Ich,sie
qd,tv5b.0,6124,6254,sie,6194,6197,mir,sie
qd,tv5b.0,6259,6321,er,6264,6267,Ich,er
qd,tv5b.0,6259,6321,er,6291,6294,ich,er
qd,tv5b.0,6414,6438,er,6430,6433,ich,er
qd,tv5b.0,6523,6553,er,6538,6541,ich,er
qd,tv5b.0,6910,7010,er,6965,6968,Ich,er
qd,tv5b.0,7015,7060,sie,7021,7024,Ich,sie
qd,tv5b.0,7118,7173,sie,7138,7141,mir,sie
qd,tv5b.0,7178,7776,er,7507,7510,Ich,er
qd,tv5b.0,7178,7776,er,7744,7749,meine,er
qd,tv5b.0,7781,7916,sie,7795,7798,mir,sie
qd,tv5b.0,7781,7916,sie,7800,7803,Ich,sie
qd,tv5b.0,7781,7916,sie,7855,7858,mir,sie
qd,tv5b.0,7977,8016,sie,7990,7993,ich,sie
qd,tv5b.0,8754,8836,er,8774,8777,ich,er
qd,tv5b.0,8754,8836,er,8783,8786,mir,er
qd,tv5b.0,8841,8903,sie,8859,8862,ich,sie
qd,tv5b.0,9345,9423,sie,9408,9411,Ich,sie
qd,tv5b.0,9483,9849,sie,9517,9520,mir,sie
qd,tv5b.0,9483,9849,sie,9600,9603,mir,sie
qd,tv5b.0,9483,9849,sie,9655,9658,mir,sie
qd,tv5b.0,9483,9849,sie,9717,9720,mir,sie
qd,tv5b.0,9483,9849,sie,9739,9742,ich,sie
qd,tv5b.0,9980,10060,er,10002,10006,mich,er
qd,tv5b.0,10095,10385,er,10106,10109,ich,er
qd,tv5b.0,10431,10712,er,10445,10448,ich,er
qd,tv5b.0,10431,10712,er,10512,10518,meinem,er
qd,tv5b.0,10431,10712,er,10592,10595,mir,er
qd,tv5b.0,10431,10712,er,10655,10659,mich,er
qd,tv5b.0,10717,11242,sie,10723,10726,Ich,sie
qd,tv5b.0,10717,11242,sie,10817,10820,ich,sie
qd,tv5b.0,10717,11242,sie,10821,10825,mich,sie
qd,tv5b.0,10717,11242,sie,10898,10901,Ich,sie
qd,tv5b.0,10717,11242,sie,10908,10912,mich,sie
qd,tv5b.0,10717,11242,sie,10940,10944,mich,sie
qd,tv5b.0,10717,11242,sie,10986,10989,ich,sie
qd,tv5b.0,10717,11242,sie,11016,11019,ich,sie
qd,tv5b.0,10717,11242,sie,11102,11106,mich,sie
qd,tv5b.0,10717,11242,sie,11108,11111,Ich,sie
qd,tv5b.0,10717,11242,sie,11168,11171,ich,sie
qd,tv5b.0,10717,11242,sie,11238,11241,mir,sie
qd,tv5b.0,11247,11291,er,11276,11279,ich,er
qd,tv5b.0,11296,11633,sie,11321,11324,ich,sie
qd,tv5b.0,11296,11633,sie,11355,11361,meiner,sie
qd,tv5b.0,11296,11633,sie,11383,11386,ich,sie
qd,tv5b.0,11296,11633,sie,11465,11468,ich,sie
qd,tv5b.0,11296,11633,sie,11469,11472,mir,sie
