corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Serr,NE,serr,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,erfreut,VVFIN,erfreuen,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,",","$,",--,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Sie,PPER,sie,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,kennen,VVFIN,kennen,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,zu,PTKZU,zu,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,lernen,VVINF,lernen,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,.,$.,--,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Bitte,NN,bitte,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Pardon,NE,pardon,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,for,FM,--,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,mein,PPOSAT,mein,1450,knoblauch,(0)
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,ausländisches,ADJA,ausländisch,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Akzent,NN,akzent,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,.,$.,--,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Ich,PPER,ich,1450,knoblauch,(0)
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,bin,VAFIN,sein,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,ein,ART,ein,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,deutscher,ADJA,deutsch,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Graff,NN,graff,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,und,KON,und,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,serr,ADJD,serr,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,vorrnehm,VVFIN,vorrnehm,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,",","$,",--,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,spräkke,VVFIN,spräkken,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,wie,KOKOM,wie,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,ein,ART,ein,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Weltmann,NN,weltmann,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,mit,APPR,mit,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,internationales,ADJA,international,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Akzent,NN,akzent,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,.,$.,--,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Jedder,NE,jedder,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,ächte,VVFIN,ächt,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Deutschmann,NE,deutschmann,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,muss,FM,muss,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,speak,FM,speak,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Weltsprak,FM,weltsprak,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,–,FM,–,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,weil,KOUS,weil,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,old,NE,old,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Germany,NE,--,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Weltreich,NE,weltreich,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,.,$.,--,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Disse,NN,diß,1450,,
qd,tv5k.0,938,1551,KNOBLAUCH,knoblauch,Art,NN,Art,1450,,
