corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,tv5t.0,290,393,der_moderne_zeitgeist,362,369,Rinaldo,rinaldo
qd,tv5t.0,708,818,rinaldo,746,749,Ich,rinaldo
qd,tv5t.0,965,1602,rinaldo,1010,1013,Ich,rinaldo
qd,tv5t.0,965,1602,rinaldo,1027,1030,Ich,rinaldo
qd,tv5t.0,965,1602,rinaldo,1123,1126,ich,rinaldo
qd,tv5t.0,965,1602,rinaldo,1174,1177,Ich,rinaldo
qd,tv5t.0,965,1602,rinaldo,1295,1298,ich,rinaldo
qd,tv5t.0,965,1602,rinaldo,1368,1371,ich,rinaldo
qd,tv5t.0,1408,1602,_stage,1462,1469,Clemens,clemens
qd,tv5t.0,1408,1602,_stage,1575,1579,Tine,tine
qd,tv5t.0,1408,1602,_stage,1587,1594,Clemens,clemens
qd,tv5t.0,1607,1787,clemens,1680,1683,Ich,clemens
qd,tv5t.0,1607,1787,clemens,1777,1780,ich,clemens
qd,tv5t.0,1792,2046,tine,1803,1806,ich,tine
qd,tv5t.0,1792,2046,tine,1920,1923,mir,tine
qd,tv5t.0,1792,2046,tine,2020,2027,Clemens,clemens
qd,tv5t.0,2181,2477,clemens,2191,2194,Ich,clemens
qd,tv5t.0,2181,2477,clemens,2230,2233,Mir,clemens
qd,tv5t.0,2181,2477,clemens,2253,2256,ich,clemens
qd,tv5t.0,2181,2477,clemens,2278,2281,Ich,clemens
qd,tv5t.0,2181,2477,clemens,2308,2314,meiner,clemens
qd,tv5t.0,2181,2477,clemens,2334,2340,meinem,clemens
qd,tv5t.0,2181,2477,clemens,2363,2366,Ich,clemens
qd,tv5t.0,2603,2763,tine,2624,2628,mich,tine
qd,tv5t.0,2603,2763,tine,2650,2653,Ich,tine
qd,tv5t.0,2603,2763,tine,2708,2712,Mein,tine
qd,tv5t.0,2603,2763,tine,2725,2728,ich,tine
qd,tv5t.0,2999,3031,clemens,3017,3021,mich,clemens
qd,tv5t.0,3062,3113,clemens,3086,3092,meinem,clemens
qd,tv5t.0,3118,3168,tine,3135,3138,ich,tine
qd,tv5t.0,3118,3168,tine,3140,3143,Ich,tine
qd,tv5t.0,3173,3343,clemens,3238,3259,der moderne Zeitgeist,der_moderne_zeitgeist
qd,tv5t.0,3173,3343,clemens,3308,3312,Tine,tine
qd,tv5t.0,3349,3652,der_moderne_zeitgeist,3517,3520,Ich,der_moderne_zeitgeist
qd,tv5t.0,3349,3652,der_moderne_zeitgeist,3536,3539,ich,der_moderne_zeitgeist
qd,tv5t.0,3349,3652,der_moderne_zeitgeist,3588,3591,ich,der_moderne_zeitgeist
