corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tv65.0,196,360,_Stage,_Stage,Zwei,CARD,zwei,764,,
qd,tv65.0,196,360,_Stage,_Stage,weisse,ADJA,weissen,764,,
qd,tv65.0,196,360,_Stage,_Stage,Wände,NN,wand,764,,
qd,tv65.0,196,360,_Stage,_Stage,stehen,VVFIN,stehen,764,,
qd,tv65.0,196,360,_Stage,_Stage,im,APPRART,in,764,,
qd,tv65.0,196,360,_Stage,_Stage,rechten,ADJA,rechter,764,,
qd,tv65.0,196,360,_Stage,_Stage,Winkel,NN,winkel,764,,
qd,tv65.0,196,360,_Stage,_Stage,zu,APPR,zu,764,,
qd,tv65.0,196,360,_Stage,_Stage,einander,ADV,einander,764,,
qd,tv65.0,196,360,_Stage,_Stage,–,XY,–,764,,
qd,tv65.0,196,360,_Stage,_Stage,so,ADV,so,764,,
qd,tv65.0,196,360,_Stage,_Stage,",","$,",--,764,,
qd,tv65.0,196,360,_Stage,_Stage,dass,KOUS,dass,764,,
qd,tv65.0,196,360,_Stage,_Stage,die,ART,der,764,,
qd,tv65.0,196,360,_Stage,_Stage,Bühne,NN,bühne,764,,
qd,tv65.0,196,360,_Stage,_Stage,mit,APPR,mit,764,,
qd,tv65.0,196,360,_Stage,_Stage,der,ART,der,764,,
qd,tv65.0,196,360,_Stage,_Stage,Lampenreihe,NN,lampenreihe,764,,
qd,tv65.0,196,360,_Stage,_Stage,ein,ART,ein,764,,
qd,tv65.0,196,360,_Stage,_Stage,rechtwinkliges,ADJA,rechtwinklig,764,,
qd,tv65.0,196,360,_Stage,_Stage,Dreieck,NN,dreieck,764,,
qd,tv65.0,196,360,_Stage,_Stage,bildet,VVFIN,bilden,764,,
qd,tv65.0,196,360,_Stage,_Stage,",","$,",--,764,,
qd,tv65.0,196,360,_Stage,_Stage,dessen,PRELAT,der,764,,
qd,tv65.0,196,360,_Stage,_Stage,rechter,ADJA,recht,764,,
qd,tv65.0,196,360,_Stage,_Stage,Winkel,NN,winkel,764,,
qd,tv65.0,196,360,_Stage,_Stage,hinten,ADV,hinten,764,,
qd,tv65.0,196,360,_Stage,_Stage,ist,VAFIN,sein,764,,
qd,tv65.0,196,360,_Stage,_Stage,.,$.,--,764,,
qd,tv65.0,363,493,_Stage,_Stage,In,APPR,in,764,,
qd,tv65.0,363,493,_Stage,_Stage,der,ART,der,764,,
qd,tv65.0,363,493,_Stage,_Stage,Mitte,NN,mitte,764,,
qd,tv65.0,363,493,_Stage,_Stage,von,APPR,von,764,,
qd,tv65.0,363,493,_Stage,_Stage,jeder,PIS,jeder,764,,
qd,tv65.0,363,493,_Stage,_Stage,der,ART,der,764,,
qd,tv65.0,363,493,_Stage,_Stage,beiden,PIDAT,beide,764,,
qd,tv65.0,363,493,_Stage,_Stage,Wände,NN,wand,764,,
qd,tv65.0,363,493,_Stage,_Stage,eine,ART,ein,764,,
qd,tv65.0,363,493,_Stage,_Stage,türartige,ADJA,türartig,764,,
qd,tv65.0,363,493,_Stage,_Stage,Oeffnung,NN,oeffnung,764,,
qd,tv65.0,363,493,_Stage,_Stage,",","$,",--,764,,
qd,tv65.0,363,493,_Stage,_Stage,durch,APPR,durch,764,,
qd,tv65.0,363,493,_Stage,_Stage,die,ART,der,764,,
qd,tv65.0,363,493,_Stage,_Stage,viele,PIDAT,vieler,764,,
qd,tv65.0,363,493,_Stage,_Stage,Leute,NN,leute,764,,
qd,tv65.0,363,493,_Stage,_Stage,aufgeregt,ADJD,aufgeregt,764,,
qd,tv65.0,363,493,_Stage,_Stage,raus-,TRUNC,raus,764,,
qd,tv65.0,363,493,_Stage,_Stage,und,KON,und,764,,
qd,tv65.0,363,493,_Stage,_Stage,reinlaufen,VVINF,reinlaufen,764,,
qd,tv65.0,363,493,_Stage,_Stage,.,$.,--,764,,
qd,tv65.0,363,493,_Stage,_Stage,Es,PPER,es,764,,
qd,tv65.0,363,493,_Stage,_Stage,donnert,VVFIN,donnern,764,,
qd,tv65.0,363,493,_Stage,_Stage,.,$.,--,764,,
qd,tv65.0,496,926,_Stage,_Stage,Und,KON,und,764,,
qd,tv65.0,496,926,_Stage,_Stage,die,ART,der,764,,(3
qd,tv65.0,496,926,_Stage,_Stage,aufgeregten,ADJA,aufgeregt,764,,
qd,tv65.0,496,926,_Stage,_Stage,Leute,NN,leute,764,,3)
qd,tv65.0,496,926,_Stage,_Stage,",","$,",--,764,,
qd,tv65.0,496,926,_Stage,_Stage,die,ART,der,764,,
qd,tv65.0,496,926,_Stage,_Stage,Säcke,NN,sack,764,,
qd,tv65.0,496,926,_Stage,_Stage,",","$,",--,764,,
qd,tv65.0,496,926,_Stage,_Stage,Warenballen,NN,warenballe,764,,
qd,tv65.0,496,926,_Stage,_Stage,und,KON,und,764,,
qd,tv65.0,496,926,_Stage,_Stage,Pretiosen,NN,pretios,764,,
qd,tv65.0,496,926,_Stage,_Stage,mit,APPR,mit,764,,
qd,tv65.0,496,926,_Stage,_Stage,sich,PRF,sich,764,,
qd,tv65.0,496,926,_Stage,_Stage,schleppen,VVFIN,schleppen,764,,
qd,tv65.0,496,926,_Stage,_Stage,und,KON,und,764,,
qd,tv65.0,496,926,_Stage,_Stage,teilweise,ADV,teilweise,764,,
qd,tv65.0,496,926,_Stage,_Stage,hinten,ADV,hinten,764,,
qd,tv65.0,496,926,_Stage,_Stage,zu,PTKZU,zu,764,,
qd,tv65.0,496,926,_Stage,_Stage,verbergen,VVINF,verbergen,764,,
qd,tv65.0,496,926,_Stage,_Stage,suchen,VVFIN,suchen,764,,
qd,tv65.0,496,926,_Stage,_Stage,oder,KON,oder,764,,
qd,tv65.0,496,926,_Stage,_Stage,herumwerfen,VVFIN,herumwerfen,764,,
qd,tv65.0,496,926,_Stage,_Stage,",","$,",--,764,,
qd,tv65.0,496,926,_Stage,_Stage,schreien,VVFIN,schreien,764,,
qd,tv65.0,496,926,_Stage,_Stage,sämtlich,ADJD,sämtlich,764,,
qd,tv65.0,496,926,_Stage,_Stage,in,APPR,in,764,,
qd,tv65.0,496,926,_Stage,_Stage,allen,PIDAT,aller,764,,
qd,tv65.0,496,926,_Stage,_Stage,möglichen,ADJA,möglich,764,,
qd,tv65.0,496,926,_Stage,_Stage,Tonarten,NN,tonart,764,,
qd,tv65.0,496,926,_Stage,_Stage,»,ADJD,»,764,,
qd,tv65.0,496,926,_Stage,_Stage,Die,ART,der,764,,
qd,tv65.0,496,926,_Stage,_Stage,Welt,NN,welt,764,,
qd,tv65.0,496,926,_Stage,_Stage,geht,VVFIN,gehen,764,,
qd,tv65.0,496,926,_Stage,_Stage,unter,APPR,unter,764,,
qd,tv65.0,496,926,_Stage,_Stage,"!",$.,--,764,,
