corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tvb0.0,471,501,_Stage,_Stage,Weltbalkon,NN,weltbalkon,7507,,
qd,tvb0.0,471,501,_Stage,_Stage,des,ART,der,7507,,
qd,tvb0.0,471,501,_Stage,_Stage,Stern-Palastes,NN,stern-palast,7507,,
qd,tvb0.0,471,501,_Stage,_Stage,.,$.,--,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,Rechts,ADV,rechts,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,eine,ART,ein,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,weisse,ADJA,weissen,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,Wand,NN,wand,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,und,KON,und,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,links,ADV,links,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,eine,ART,ein,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,weisse,ADJA,weissen,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,Wand,NN,wand,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,–,XY,–,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,rechtwinklig,ADJD,rechtwinklig,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,zum,APPRART,zu,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,Vordergrunde,NN,vordergrunde,7507,,
qd,tvb0.0,504,587,_Stage,_Stage,.,$.,--,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,Ein,ART,ein,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,Teppich,NN,teppich,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,von,APPR,von,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,hellblauer,ADJA,hellblau,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,Farbe,NN,farbe,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,ohne,APPR,ohne,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,Muster,NN,muster,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,bedeckt,VVFIN,bedeckt,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,den,ART,der,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,ganzen,ADJA,ganz,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,Bühnenboden,NN,bühnenboden,7507,,
qd,tvb0.0,590,666,_Stage,_Stage,.,$.,--,7507,,
qd,tvb0.0,669,732,_Stage,_Stage,Hinten,NN,hinto,7507,,
qd,tvb0.0,669,732,_Stage,_Stage,eine,ART,ein,7507,,
qd,tvb0.0,669,732,_Stage,_Stage,meterhohe,ADJA,meterhoch,7507,,
qd,tvb0.0,669,732,_Stage,_Stage,weisse,NN,weissen,7507,,
qd,tvb0.0,669,732,_Stage,_Stage,einfach,ADV,einfach,7507,,
qd,tvb0.0,669,732,_Stage,_Stage,rechteckige,ADJA,rechteckig,7507,,
qd,tvb0.0,669,732,_Stage,_Stage,Mauerbrüstung,NN,mauerbrüstung,7507,,
qd,tvb0.0,669,732,_Stage,_Stage,.,$.,--,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,Freie,ADJA,frei,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,Eingänge,NN,eingang,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,rechts,ADV,rechts,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,und,KON,und,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,links,ADV,links,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,von,APPR,von,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,der,ART,der,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,Brüstung,NN,brüstung,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,–,XY,–,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,zwischen,APPR,zwischen,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,dieser,PDAT,dieser,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,und,KON,und,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,den,ART,der,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,hinteren,ADJA,hinterer,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,Wandrändern,NN,wandrand,7507,,
qd,tvb0.0,736,832,_Stage,_Stage,.,$.,--,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,Den,ART,der,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,Hintergrund,NN,hintergrund,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,bildet,VVFIN,bilden,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,ein,ART,ein,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,schwarzer,ADJA,schwarz,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,Himmel,NN,himmel,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,mit,APPR,mit,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,vielen,PIDAT,vieler,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,Sternen,NN,stern,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,",","$,",--,7507,,
qd,tvb0.0,835,1051,_Stage,_Stage,die,PRELS,der,7507,,
