corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tvbm.0,299,371,ARABELLA,arabella,liest,VVFIN,lesen,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,auf,APPR,auf,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,einer,ART,ein,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,Gartenbank,NN,gartenbank,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,in,APPR,in,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,einem,ART,ein,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,Buch,NN,buch,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,und,KON,und,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,blickt,VVFIN,blicken,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,plötzlich,ADJD,plötzlich,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,nach,APPR,nach,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,oben,ADV,oben,3683,,
qd,tvbm.0,299,371,ARABELLA,arabella,.,$.,--,3683,,
qd,tvbm.0,839,847,ARABELLA,arabella,einfach,ADV,einfach,3683,,
qd,tvbm.0,839,847,ARABELLA,arabella,.,$.,--,3683,,
qd,tvbm.0,1004,1059,ARABELLA,arabella,Sie,PPER,sie,3683,,
qd,tvbm.0,1004,1059,ARABELLA,arabella,ergreift,VVFIN,ergreifen,3683,,
qd,tvbm.0,1004,1059,ARABELLA,arabella,ein,ART,ein,3683,,
qd,tvbm.0,1004,1059,ARABELLA,arabella,herunterhängendes,ADJA,herunterhängend,3683,,
qd,tvbm.0,1004,1059,ARABELLA,arabella,Tau,NN,tau,3683,,
qd,tvbm.0,1004,1059,ARABELLA,arabella,und,KON,und,3683,,
qd,tvbm.0,1004,1059,ARABELLA,arabella,zieht,VVFIN,ziehen,3683,,
qd,tvbm.0,1004,1059,ARABELLA,arabella,daran,PROAV,daran,3683,,
qd,tvbm.0,1004,1059,ARABELLA,arabella,.,$.,--,3683,,
qd,tvbm.0,1214,1223,ARABELLA,arabella,staunend,ADJD,staunend,3683,,
qd,tvbm.0,1214,1223,ARABELLA,arabella,.,$.,--,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,Nimmt,NE,nehmen,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,den,ART,der,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,Zylinder,NN,zylinder,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,ab,PTKVZ,ab,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,",","$,",--,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,stellt,VVFIN,stellen,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,ihn,PPER,ihn,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,auf,APPR,auf,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,einen,ART,ein,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,Baumstumpf,NN,baumstumpf,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,und,KON,und,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,beginnt,VVFIN,beginnen,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,",","$,",--,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,sich,PRF,sich,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,die,ART,der,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,Handschuhe,NN,handschuh,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,auszuziehen,VVIZU,ausziehen,3683,,
qd,tvbm.0,1753,1853,ARABELLA,arabella,.,$.,--,3683,,
qd,tvbm.0,2102,2188,ARABELLA,arabella,Setzt,VVFIN,setzen,3683,,
qd,tvbm.0,2102,2188,ARABELLA,arabella,sich,PRF,sich,3683,,
qd,tvbm.0,2102,2188,ARABELLA,arabella,auf,APPR,auf,3683,,
qd,tvbm.0,2102,2188,ARABELLA,arabella,einen,ART,ein,3683,,
