corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tvc9.0,627,947,HANNIBAL,hannibal,Aber,KON,aber,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,Käthchen,NN,käthchen,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,"!",$.,--,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,Darüber,PROAV,darüber,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,sind,VAFIN,sein,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,wir,PPER,wir,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,doch,ADV,doch,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,im,APPRART,in,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,Klaren,NN,klar,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,",","$,",--,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,dass,KOUS,dass,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,die,ART,der,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,Frauen,NN,frau,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,überall,ADV,überall,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,die,ART,der,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,erste,ADJA,erster,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,Rolle,NN,rolle,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,spielen,VVINF,spielen,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,sollten,VMFIN,sollen,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,.,$.,--,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,Was,PWS,was,3017,,
qd,tvc9.0,627,947,HANNIBAL,hannibal,ist,VAFIN,sein,3017,,
