corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,Ah,NN,ah,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,",","$,",--,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,sieh,VVIMP,sieh,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,da,PTKVZ,da,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,"!",$.,--,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,Der,ART,der,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,Postbote,NN,postbot,3634,postbote,(1)
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,"!",$.,--,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,Na,ITJ,na,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,?,$.,--,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,Immer,ADV,immer,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,noch,ADV,noch,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,die,ART,der,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,Hand,NN,hand,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,am,APPRART,an,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,Schwert,NN,schwert,3634,,
qd,tvg7.0,1615,1690,KNEETSCHKE,kneetschke,?,$.,--,3634,,
qd,tvg7.0,1695,1743,POSTBOTE,postbote,Zu,APPR,zu,3634,,
qd,tvg7.0,1695,1743,POSTBOTE,postbote,Befehl,NN,befehl,3634,,
qd,tvg7.0,1695,1743,POSTBOTE,postbote,"!",$.,--,3634,,
qd,tvg7.0,1695,1743,POSTBOTE,postbote,Wohnt,NE,wohnen,3634,,
qd,tvg7.0,1695,1743,POSTBOTE,postbote,hier,ADV,hier,3634,,
qd,tvg7.0,1695,1743,POSTBOTE,postbote,Herr,NN,herr,3634,,
qd,tvg7.0,1695,1743,POSTBOTE,postbote,Knutschke,NE,knutschke,3634,,
qd,tvg7.0,1695,1743,POSTBOTE,postbote,?,$.,--,3634,,
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,Nein,PTKANT,nein,3634,,
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,",","$,",--,3634,,
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,mein,PPOSAT,mein,3634,kneetschke,(0)
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,Lieber,ADJD,liebe,3634,,
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,"!",$.,--,3634,,
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,Der,ART,der,3634,,
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,Herr,NN,herr,3634,,
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,wohnt,VVFIN,wohnen,3634,,
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,hier,ADV,hier,3634,,
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,nicht,PTKNEG,nicht,3634,,
qd,tvg7.0,1748,1806,KNEETSCHKE,kneetschke,.,$.,--,3634,,
