corpus,drama,figure_surface,figure_id,Gender,Age
qd,tvgd.0,DER ALTE SCHORNSTEINFEGER,der_alte_schornsteinfeger,,
qd,tvgd.0,RAXER,raxer,,
qd,tvgd.0,DER JUNGE SCHORNSTEINFEGER,der_kleine_schornsteinfeger,,
qd,tvgd.0,VON SCHMALZ,von_schmalz,,
qd,tvgd.0,MILCHMANN,milchmann,,
qd,tvgd.0,PASCHKE,paschke,,
qd,tvgd.0,ZWEITER TOURIST,zweiter_tourist,,
qd,tvgd.0,EIN ZWERG,ein_zwerg,,
qd,tvgd.0,DRITTER TOURIST,dritter_tourist,,
qd,tvgd.0,DIE ANDERN FEEN,die_andern_feen,,
qd,tvgd.0,DIE ZWERGE,die_zwerge,,
qd,tvgd.0,BETTY,betty,,
qd,tvgd.0,ERSTER TOURIST,erster_tourist,,
qd,tvgd.0,QUIWI,quiwi,,
qd,tvgd.0,RÜBEZAHL,rübezahl,,
qd,tvgd.0,RÜFFEL,rüffel,,
qd,tvgd.0,ERSTE FEE,erste_fee,,
