corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,tvgd.0,der_alte_schornsteinfeger,12,
qd,tvgd.0,raxer,1,
qd,tvgd.0,der_junge_schornsteinfeger,11,
qd,tvgd.0,von_schmalz,6,
qd,tvgd.0,milchmann,13,
qd,tvgd.0,paschke,7,
qd,tvgd.0,zweiter_tourist,15,
qd,tvgd.0,ein_zwerg,9,
qd,tvgd.0,dritter_tourist,16,
qd,tvgd.0,die_andern_feen,5,
qd,tvgd.0,die_zwerge,10,
qd,tvgd.0,betty,8,
qd,tvgd.0,erster_tourist,14,
qd,tvgd.0,quiwi,3,
qd,tvgd.0,rübezahl,0,
qd,tvgd.0,rüffel,2,
qd,tvgd.0,erste_fee,4,
