corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,tvgd.0,505,1779,rübezahl,646,649,mir,rübezahl
qd,tvgd.0,505,1779,rübezahl,707,717,Die Zwerge,die_zwerge
qd,tvgd.0,505,1779,rübezahl,808,818,die Zwerge,die_zwerge
qd,tvgd.0,505,1779,rübezahl,1109,1113,mein,rübezahl
qd,tvgd.0,505,1779,rübezahl,1567,1570,mir,rübezahl
qd,tvgd.0,505,1779,rübezahl,1571,1577,meinen,rübezahl
qd,tvgd.0,1831,1855,_stage,1849,1854,Raxer,raxer
qd,tvgd.0,2083,2232,rübezahl,2129,2132,ich,rübezahl
qd,tvgd.0,2465,2713,rübezahl,2616,2619,ich,rübezahl
qd,tvgd.0,2465,2713,rübezahl,2620,2623,mir,rübezahl
qd,tvgd.0,2664,2713,_stage,2664,2674,Die Zwerge,die_zwerge
qd,tvgd.0,2929,3312,rübezahl,3170,3180,Die Zwerge,die_zwerge
qd,tvgd.0,3364,3378,_stage,3372,3377,Quiwi,quiwi
qd,tvgd.0,3542,3615,rüffel,3566,3571,Quiwi,quiwi
qd,tvgd.0,3620,3877,quiwi,3784,3787,Ich,quiwi
qd,tvgd.0,3620,3877,quiwi,3822,3825,mir,quiwi
qd,tvgd.0,3620,3877,quiwi,3828,3831,ich,quiwi
qd,tvgd.0,3882,3984,rüffel,3909,3914,Quiwi,quiwi
qd,tvgd.0,3989,4310,quiwi,4001,4004,ich,quiwi
qd,tvgd.0,3989,4310,quiwi,4100,4103,Mir,quiwi
qd,tvgd.0,3989,4310,quiwi,4146,4149,Mir,quiwi
qd,tvgd.0,3989,4310,quiwi,4173,4177,mich,quiwi
qd,tvgd.0,3989,4310,quiwi,4221,4224,Mir,quiwi
qd,tvgd.0,3989,4310,quiwi,4278,4281,Mir,quiwi
qd,tvgd.0,3989,4310,quiwi,4305,4309,mich,quiwi
qd,tvgd.0,4315,4389,rüffel,4329,4332,ich,rüffel
qd,tvgd.0,4315,4389,rüffel,4368,4371,ich,rüffel
qd,tvgd.0,4394,4522,quiwi,4421,4424,Ich,quiwi
qd,tvgd.0,4394,4522,quiwi,4445,4448,mir,quiwi
qd,tvgd.0,4394,4522,quiwi,4490,4493,ich,quiwi
qd,tvgd.0,4394,4522,quiwi,4494,4498,mich,quiwi
qd,tvgd.0,4552,5547,quiwi,4783,4786,ich,quiwi
qd,tvgd.0,4552,5547,quiwi,4861,4864,ich,quiwi
qd,tvgd.0,4552,5547,quiwi,4903,4906,ich,quiwi
qd,tvgd.0,4552,5547,quiwi,5048,5051,Ich,quiwi
qd,tvgd.0,4552,5547,quiwi,5075,5078,ich,quiwi
qd,tvgd.0,4552,5547,quiwi,5099,5103,mich,quiwi
qd,tvgd.0,4552,5547,quiwi,5180,5183,ich,quiwi
qd,tvgd.0,4552,5547,quiwi,5307,5310,ich,quiwi
qd,tvgd.0,4552,5547,quiwi,5311,5315,mich,quiwi
qd,tvgd.0,4552,5547,quiwi,5349,5352,ich,quiwi
qd,tvgd.0,4552,5547,quiwi,5377,5383,meiner,quiwi
qd,tvgd.0,4552,5547,quiwi,5397,5400,ich,quiwi
qd,tvgd.0,6153,6499,quiwi,6189,6192,Ich,quiwi
qd,tvgd.0,6153,6499,quiwi,6434,6439,Raxer,raxer
qd,tvgd.0,6153,6499,quiwi,6450,6455,Raxer,raxer
qd,tvgd.0,6153,6499,quiwi,6493,6498,meine,quiwi
qd,tvgd.0,6504,6562,rüffel,6518,6521,ich,rüffel
qd,tvgd.0,6504,6562,rüffel,6531,6536,Raxer,raxer
qd,tvgd.0,6567,6675,quiwi,6621,6624,ich,quiwi
qd,tvgd.0,6680,6822,rüffel,6706,6711,Raxer,raxer
qd,tvgd.0,6827,6952,quiwi,6932,6935,ich,quiwi
qd,tvgd.0,6958,7921,rüffel,6967,6970,Ich,rüffel
qd,tvgd.0,6958,7921,rüffel,6981,6986,Raxer,raxer
qd,tvgd.0,6958,7921,rüffel,7136,7139,Ich,rüffel
qd,tvgd.0,6958,7921,rüffel,7206,7209,mir,rüffel
qd,tvgd.0,6958,7921,rüffel,7867,7872,Quiwi,quiwi
qd,tvgd.0,7996,8008,_stage,7996,8001,Quiwi,quiwi
qd,tvgd.0,8011,8105,_stage,8011,8016,Quiwi,quiwi
qd,tvgd.0,8190,8235,quiwi,8223,8226,mir,quiwi
qd,tvgd.0,8240,8504,,8362,8367,Quiwi,quiwi
qd,tvgd.0,8509,8544,quiwi,8528,8531,ich,quiwi
qd,tvgd.0,8598,8756,quiwi,8632,8635,Ich,quiwi
qd,tvgd.0,8598,8756,quiwi,8650,8653,Ich,quiwi
qd,tvgd.0,8598,8756,quiwi,8727,8730,Ich,quiwi
qd,tvgd.0,8806,8957,die_andern_feen,8869,8874,Quiwi,quiwi
qd,tvgd.0,9009,9025,_stage,9009,9014,Quiwi,quiwi
qd,tvgd.0,9028,9118,rübezahl,9075,9080,Quiwi,quiwi
qd,tvgd.0,9123,9387,quiwi,9131,9134,Ich,quiwi
qd,tvgd.0,9123,9387,quiwi,9179,9182,Ich,quiwi
qd,tvgd.0,9123,9387,quiwi,9230,9233,mir,quiwi
qd,tvgd.0,9451,9502,quiwi,9459,9462,Ich,quiwi
qd,tvgd.0,9618,9747,rübezahl,9704,9707,ich,rübezahl
qd,tvgd.0,9854,9945,quiwi,9877,9880,ich,quiwi
qd,tvgd.0,9854,9945,quiwi,9898,9904,meinem,quiwi
qd,tvgd.0,9950,10021,rübezahl,9966,9971,Quiwi,quiwi
qd,tvgd.0,10026,10168,quiwi,10045,10048,ich,quiwi
qd,tvgd.0,10026,10168,quiwi,10079,10082,ich,quiwi
qd,tvgd.0,10456,10605,quiwi,10485,10488,Ich,quiwi
qd,tvgd.0,10456,10605,quiwi,10527,10530,ich,quiwi
qd,tvgd.0,10610,11172,rübezahl,10621,10626,Quiwi,quiwi
qd,tvgd.0,10610,11172,rübezahl,10628,10631,ich,rübezahl
qd,tvgd.0,10610,11172,rübezahl,10658,10661,mir,rübezahl
qd,tvgd.0,10610,11172,rübezahl,10684,10688,mich,rübezahl
qd,tvgd.0,10610,11172,rübezahl,10706,10709,Ich,rübezahl
qd,tvgd.0,10610,11172,rübezahl,10726,10730,mich,rübezahl
qd,tvgd.0,10610,11172,rübezahl,10826,10831,meine,rübezahl
qd,tvgd.0,10610,11172,rübezahl,11001,11004,Ich,rübezahl
qd,tvgd.0,11285,11394,quiwi,11302,11307,Raxer,raxer
qd,tvgd.0,11285,11394,quiwi,11319,11322,mir,quiwi
qd,tvgd.0,11285,11394,quiwi,11346,11349,ich,quiwi
qd,tvgd.0,11445,11532,_stage,11493,11498,Raxer,raxer
qd,tvgd.0,11584,11607,_stage,11584,11589,Quiwi,quiwi
qd,tvgd.0,11584,11607,_stage,11601,11606,Raxer,raxer
qd,tvgd.0,11660,11763,rübezahl,11689,11694,Quiwi,quiwi
qd,tvgd.0,11768,11790,quiwi,11776,11779,Ich,quiwi
qd,tvgd.0,11795,12025,rübezahl,11805,11808,Ich,rübezahl
qd,tvgd.0,11795,12025,rübezahl,11881,11886,Raxer,raxer
qd,tvgd.0,11795,12025,rübezahl,11952,11957,Quiwi,quiwi
qd,tvgd.0,12075,12088,_stage,12075,12080,Quiwi,quiwi
qd,tvgd.0,12075,12088,_stage,12082,12087,Raxer,raxer
qd,tvgd.0,12146,12172,quiwi,12154,12159,Meine,quiwi
qd,tvgd.0,12177,12221,raxer,12192,12195,ich,raxer
qd,tvgd.0,12226,12248,quiwi,12234,12237,Ich,quiwi
qd,tvgd.0,12277,12534,quiwi,12307,12310,mir,quiwi
qd,tvgd.0,12277,12534,quiwi,12339,12342,ich,quiwi
qd,tvgd.0,12277,12534,quiwi,12396,12399,ich,quiwi
qd,tvgd.0,12277,12534,quiwi,12446,12449,ich,quiwi
qd,tvgd.0,12539,12892,raxer,12617,12620,ich,raxer
qd,tvgd.0,12539,12892,raxer,12865,12868,mir,raxer
qd,tvgd.0,12897,13018,quiwi,12937,12940,ich,quiwi
qd,tvgd.0,12897,13018,quiwi,13002,13008,meinem,quiwi
qd,tvgd.0,13023,13206,raxer,13063,13066,Ich,raxer
qd,tvgd.0,13247,13525,raxer,13260,13263,ich,raxer
qd,tvgd.0,13247,13525,raxer,13409,13412,mir,raxer
qd,tvgd.0,13666,13762,raxer,13722,13727,meine,raxer
qd,tvgd.0,13768,13925,quiwi,13776,13779,Ich,quiwi
qd,tvgd.0,13768,13925,quiwi,13791,13794,Ich,quiwi
qd,tvgd.0,13768,13925,quiwi,13857,13860,ich,quiwi
qd,tvgd.0,13768,13925,quiwi,13861,13866,meine,quiwi
qd,tvgd.0,13768,13925,quiwi,13884,13887,mir,quiwi
qd,tvgd.0,14146,14197,quiwi,14163,14166,mir,quiwi
qd,tvgd.0,14390,14428,raxer,14398,14401,Ich,raxer
qd,tvgd.0,14465,14572,raxer,14484,14487,Ich,raxer
qd,tvgd.0,14755,14820,quiwi,14816,14819,mir,quiwi
qd,tvgd.0,15049,15062,_stage,15049,15054,Quiwi,quiwi
qd,tvgd.0,15065,15579,quiwi,15086,15089,ich,quiwi
qd,tvgd.0,15065,15579,quiwi,15405,15408,Ich,quiwi
