corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,twt3.0,931,1099,_Stage,_Stage,Hanna,NE,hanna,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Kennedy,NE,kennedy,36787,,(0)
qd,twt3.0,931,1099,_Stage,_Stage,",","$,",--,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Amme,NN,amme,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,der,ART,der,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Königin,NN,königin,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,von,APPR,von,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Schottland,NE,schottland,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,",","$,",--,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,in,APPR,in,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,heftigem,ADJA,heftig,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Streit,NN,streit,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,mit,APPR,mit,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Paulet,NN,paulet,36787,,(1)
qd,twt3.0,931,1099,_Stage,_Stage,",","$,",--,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,der,PRELS,der,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,im,APPRART,in,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Begriff,NN,begriff,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,ist,VAFIN,sein,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,",","$,",--,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,einen,ART,ein,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Schrank,NN,schrank,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,zu,PTKZU,zu,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,öffnen,VVINF,öffnen,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,.,$.,--,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Drugeon,NE,drugeon,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Drury,NE,drury,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,",","$,",--,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,sein,PPOSAT,sein,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Gehilfe,NN,gehilfe,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,",","$,",--,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,mit,APPR,mit,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,Brecheisen,NN,brecheise,36787,,
qd,twt3.0,931,1099,_Stage,_Stage,.,$.,--,36787,,
qd,twt3.0,1443,1473,PAULET,paulet,Sich,PRF,sich,36787,,
qd,twt3.0,1443,1473,PAULET,paulet,über,APPR,über,36787,,
qd,twt3.0,1443,1473,PAULET,paulet,den,ART,der,36787,,
qd,twt3.0,1443,1473,PAULET,paulet,Schrank,NN,schrank,36787,,
qd,twt3.0,1443,1473,PAULET,paulet,machend,ADJD,machend,36787,,
qd,twt3.0,1443,1473,PAULET,paulet,.,$.,--,36787,,
