corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,tz0c.0,armgard,58,
qd,tz0c.0,volk,59,
qd,tz0c.0,gessler,49,
qd,tz0c.0,sewa,28,
qd,tz0c.0,pfeiffer,12,
qd,tz0c.0,rösselmann,34,
qd,tz0c.0,tell,9,
qd,tz0c.0,mehrere_stimmen,63,
qd,tz0c.0,hirten,2,
qd,tz0c.0,hirte,1,
qd,tz0c.0,mönch,64,
qd,tz0c.0,winkelried,27,
qd,tz0c.0,erster_reiter,10,
qd,tz0c.0,am_bühel,30,
qd,tz0c.0,rudolf_der_harras,48,
qd,tz0c.0,von_der_flüe,31,
qd,tz0c.0,elsbet,45,
qd,tz0c.0,berta,22,
qd,tz0c.0,kinder,62,
qd,tz0c.0,kunz,53,
qd,tz0c.0,hedwig,40,
qd,tz0c.0,knabe,55,
qd,tz0c.0,walter_tell,50,
qd,tz0c.0,meier,29,
qd,tz0c.0,kuoni,5,
qd,tz0c.0,friesshardt,42,
qd,tz0c.0,alpenjäger,3,
qd,tz0c.0,stier_von_uri,61,
qd,tz0c.0,attinghausen,26,
qd,tz0c.0,jost_von_weiler,38,
qd,tz0c.0,wilhelm,41,
qd,tz0c.0,fischer,54,
qd,tz0c.0,ausrufer,21,
qd,tz0c.0,auf_der_mauer,33,
qd,tz0c.0,zweiter,11,
qd,tz0c.0,walter,39,
qd,tz0c.0,stüssi,56,
qd,tz0c.0,mechthild,44,
qd,tz0c.0,wanderer,57,
qd,tz0c.0,zweiter_gesell,18,
qd,tz0c.0,landleute,52,
qd,tz0c.0,gesellen,19,
qd,tz0c.0,noch_drei_landleute,46,
qd,tz0c.0,alter_mann,17,
qd,tz0c.0,walter_fürst,24,
qd,tz0c.0,im_hofe,36,
qd,tz0c.0,johannes_parricida,65,
qd,tz0c.0,weiber,47,
qd,tz0c.0,seppi,7,
qd,tz0c.0,barmherzige_brüder,60,
qd,tz0c.0,baumgarten,8,
qd,tz0c.0,stauffacher,13,
qd,tz0c.0,viele_stimmen,51,
qd,tz0c.0,sigrist,35,
qd,tz0c.0,erster_gesell,16,
qd,tz0c.0,melchthal,23,
qd,tz0c.0,reding,37,
qd,tz0c.0,rudenz,25,
qd,tz0c.0,leuthold,43,
qd,tz0c.0,werni,6,
qd,tz0c.0,konrad_hunn,32,
qd,tz0c.0,fischerknabe,0,
qd,tz0c.0,fronvogt,15,
qd,tz0c.0,ruodi,4,
qd,tz0c.0,meister_steinmetz,20,
qd,tz0c.0,gertrud,14,
