corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,tz0c.0,1324,41872,0,1338,11769,0
qd,tz0c.0,1324,41872,0,11782,20273,0
qd,tz0c.0,1324,41872,0,20287,27097,0
qd,tz0c.0,1324,41872,0,27111,41872,0
qd,tz0c.0,41887,78769,0,41901,51924,0
qd,tz0c.0,41887,78769,0,51938,78769,0
qd,tz0c.0,78784,114147,0,78798,85011,0
qd,tz0c.0,78784,114147,0,85024,92024,0
qd,tz0c.0,78784,114147,0,92037,114147,0
qd,tz0c.0,114163,154470,0,114177,124649,0
qd,tz0c.0,114163,154470,0,124662,138578,0
qd,tz0c.0,114163,154470,0,138591,154470,0
qd,tz0c.0,154485,179809,0,154499,167779,0
qd,tz0c.0,154485,179809,0,167793,178593,0
qd,tz0c.0,154485,179809,0,178606,179809,0
