corpus,drama,figure_surface,figure_id,Gender,Age
qd,tz39.0,KAMMERDIENER 4.1,kammerdiener_4.1,MALE,
qd,tz39.0,FERDINAND,ferdinand,MALE,
qd,tz39.0,KAMMERDIENER 4.9,kammerdiener_4.6-9,MALE,
qd,tz39.0,HOFMARSCHALL,hofmarschall,MALE,
qd,tz39.0,BEDIENTER,bedienter,MALE,
qd,tz39.0,FRAU,frau,FEMALE,
qd,tz39.0,LUISE,luise,FEMALE,
qd,tz39.0,ALLE BEDIENTE,alle_bediente,MALE,
qd,tz39.0,MILLER,miller,MALE,
qd,tz39.0,LADY,lady,FEMALE,
qd,tz39.0,SOPHIE,sophie,FEMALE,
qd,tz39.0,WURM,wurm,MALE,
qd,tz39.0,EIN KAMMERDIENER,ein_kammerdiener_präsident,MALE,
qd,tz39.0,EIN KAMMERDIENER (FÜRST),kammerdiener_fürst,MALE,
qd,tz39.0,PRÄSIDENT,präsident,MALE,
