corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tz6r.0,997,1091,ILLO,illo,Spät,NN,spät,25859,,
qd,tz6r.0,997,1091,ILLO,illo,kommt,VVFIN,kommen,25859,,
qd,tz6r.0,997,1091,ILLO,illo,Ihr,PPOSAT,ihr,25859,,
qd,tz6r.0,997,1091,ILLO,illo,–,NN,–,25859,,
qd,tz6r.0,997,1091,ILLO,illo,Doch,KON,doch,25859,,
qd,tz6r.0,997,1091,ILLO,illo,Ihr,PPOSAT,ihr,25859,,
qd,tz6r.0,997,1091,ILLO,illo,kommt,VVFIN,kommen,25859,,
qd,tz6r.0,997,1091,ILLO,illo,"!",$.,--,25859,,
qd,tz6r.0,997,1091,ILLO,illo,Der,ART,der,25859,,
qd,tz6r.0,997,1091,ILLO,illo,weite,ADJA,weit,25859,,
qd,tz6r.0,997,1091,ILLO,illo,Weg,NN,weg,25859,,
qd,tz6r.0,997,1091,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,997,1091,ILLO,illo,Graf,NN,graf,25859,,
qd,tz6r.0,997,1091,ILLO,illo,Isolan,NE,isolan,25859,,
qd,tz6r.0,997,1091,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,997,1091,ILLO,illo,entschuldigt,VVFIN,entschuldigen,25859,,
qd,tz6r.0,997,1091,ILLO,illo,Euer,NE,euer,25859,,
qd,tz6r.0,997,1091,ILLO,illo,Säumen,NE,säumen,25859,,
qd,tz6r.0,997,1091,ILLO,illo,.,$.,--,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Wir,PPER,wir,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,kommen,VVFIN,kommen,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,auch,ADV,auch,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,mit,APPR,mit,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,leeren,ADJA,leer,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Händen,NN,hand,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,nicht,PTKNEG,nicht,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,"!",$.,--,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Es,PPER,es,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,ward,VVFIN,werden,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,uns,PPER,uns,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,angesagt,VVPP,ansagen,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,bei,APPR,bei,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Donauwerth,NE,donauwerth,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,",","$,",--,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Ein,ART,ein,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,schwedischer,ADJA,schwedisch,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Transport,NN,transport,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,sei,VAFIN,sein,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,unterwegs,ADV,unterwegs,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Mit,APPR,mit,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Proviant,NN,proviant,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,",","$,",--,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,an,APPR,an,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,die,ART,der,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,sechshundert,CARD,sechundern,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Wagen,NN,wagen,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,.,$.,--,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,–,XY,–,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Den,ART,der,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,griffen,ADJD,greifen,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,die,ART,der,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Kroaten,NN,kroate,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,mir,PPER,sich,25859,isolani,(1)
qd,tz6r.0,1097,1328,ISOLANI,isolani,noch,ADV,noch,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,auf,PTKVZ,auf,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,",","$,",--,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,Wir,PPER,wir,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,bringen,VVFIN,bringen,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,ihn,PPER,ihn,25859,,
qd,tz6r.0,1097,1328,ISOLANI,isolani,.,$.,--,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,Er,PPER,er,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,kommt,VVFIN,kommen,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,uns,PPER,uns,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,grad,ADV,grad,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,zu,PTKZU,zu,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,paß,VVINF,paß,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,Die,ART,der,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,stattliche,ADJA,stattlich,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,Versammlung,NN,versammlung,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,hier,ADV,hier,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,zu,PTKZU,zu,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,speisen,VVINF,speisen,25859,,
qd,tz6r.0,1334,1411,ILLO,illo,.,$.,--,25859,,
qd,tz6r.0,1417,1462,BUTTLER,buttler,Es,PPER,es,25859,,
qd,tz6r.0,1417,1462,BUTTLER,buttler,ist,VAFIN,sein,25859,,
qd,tz6r.0,1417,1462,BUTTLER,buttler,schon,ADV,schon,25859,,
qd,tz6r.0,1417,1462,BUTTLER,buttler,lebhaft,ADJD,lebhaft,25859,,
qd,tz6r.0,1417,1462,BUTTLER,buttler,hier,ADV,hier,25859,,
qd,tz6r.0,1417,1462,BUTTLER,buttler,",","$,",--,25859,,
qd,tz6r.0,1417,1462,BUTTLER,buttler,ich,PPER,ich,25859,buttler,(2)
qd,tz6r.0,1417,1462,BUTTLER,buttler,sehs,VVFIN,sehs,25859,,
qd,tz6r.0,1417,1462,BUTTLER,buttler,.,$.,--,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,Ja,PTKANT,ja,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,",","$,",--,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,ja,PTKANT,ja,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,",","$,",--,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,Die,ART,der,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,Kirchen,NN,kirche,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,selber,ADV,selber,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,liegen,VVFIN,liegen,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,voll,ADJD,voll,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,Soldaten,NN,soldat,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,",","$,",--,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,Auch,ADV,auch,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,auf,APPR,auf,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,dem,ART,der,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,Rathaus,NN,rathaus,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,",","$,",--,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,seh,VVFIN,seh,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,ich,PPER,ich,25859,isolani,(1)
qd,tz6r.0,1467,1685,ISOLANI,isolani,",","$,",--,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,habt,VAFIN,haben,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,ihr,PPER,ihr,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,euch,PRF,euch,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,Schon,ADV,schon,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,ziemlich,ADV,ziemlich,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,eingerichtet,VVPP,einrichten,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,–,XY,–,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,Nun,ADV,nun,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,"!",$.,--,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,nun,ADV,nun,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,"!",$.,--,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,der,ART,der,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,Soldat,NN,soldat,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,Behilft,NN,behilft,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,und,KON,und,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,schickt,VVFIN,schicken,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,sich,PRF,sich,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,",","$,",--,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,wie,PWAV,wie,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,er,PPER,er,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,kann,VMFIN,können,25859,,
qd,tz6r.0,1467,1685,ISOLANI,isolani,"!",$.,--,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Von,APPR,von,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,dreißig,CARD,dreißig,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Regimentern,NN,regimentern,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,haben,VAFIN,haben,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,sich,PRF,sich,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Die,ART,der,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Obersten,ADJA,oberer,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,zusammen,ADV,zusammen,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,schon,ADV,schon,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,gefunden,VVPP,finden,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Den,ART,der,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Terzky,NE,terzky,25859,terzky,(14)
qd,tz6r.0,1691,1973,ILLO,illo,trefft,VVFIN,treffen,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Ihr,PPOSAT,ihr,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,hier,ADV,hier,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,den,ART,der,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Tiefenbach,NE,tiefenbach,25859,tiefenbach,(17)
qd,tz6r.0,1691,1973,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Colalto,NE,colalto,25859,colalto,(18)
qd,tz6r.0,1691,1973,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Götz,NE,götz,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Maradas,NE,maradas,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Hinnersam,NE,hinnersam,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Auch,ADV,auch,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Sohn,NN,sohn,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,und,KON,und,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Vater,NN,vater,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Piccolomini,NE,piccolomini,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,",","$,",--,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,–,XY,–,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Ihr,PPOSAT,ihr,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,werdet,ADJD,werden,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,manchen,PIAT,mancher,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,alten,ADJA,alt,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Freund,NN,freund,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,begrüßen,VVINF,begrüßen,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,.,$.,--,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Nur,ADV,nur,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Gallas,NE,gallas,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,fehlt,VVFIN,fehlen,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,uns,PPER,uns,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,noch,ADV,noch,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,und,KON,und,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,Altringer,NN,altringer,25859,,
qd,tz6r.0,1691,1973,ILLO,illo,.,$.,--,25859,,
qd,tz6r.0,1979,2012,BUTTLER,buttler,Auf,APPR,auf,25859,,
qd,tz6r.0,1979,2012,BUTTLER,buttler,Gallas,NE,gallas,25859,,
qd,tz6r.0,1979,2012,BUTTLER,buttler,wartet,VVFIN,warten,25859,,
qd,tz6r.0,1979,2012,BUTTLER,buttler,nicht,PTKNEG,nicht,25859,,
qd,tz6r.0,1979,2012,BUTTLER,buttler,.,$.,--,25859,,
qd,tz6r.0,2017,2049,ILLO,illo,Wieso,NE,wieso,25859,,
qd,tz6r.0,2017,2049,ILLO,illo,?,$.,--,25859,,
qd,tz6r.0,2017,2049,ILLO,illo,Wißt,VMFIN,wißen,25859,,
qd,tz6r.0,2017,2049,ILLO,illo,Ihr,PPOSAT,ihr,25859,,
qd,tz6r.0,2017,2049,ILLO,illo,–,XY,–,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,Max,NE,max,25859,max,(5)
qd,tz6r.0,2054,2443,ISOLANI,isolani,Piccolomini,NE,piccolomini,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,hier,ADV,hier,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,?,$.,--,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,O,NE,O,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,"!",$.,--,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,führt,VVFIN,führen,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,mich,PPER,mich,25859,isolani,(1)
qd,tz6r.0,2054,2443,ISOLANI,isolani,zu,PTKZU,zu,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,ihm,PPER,ihm,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,.,$.,--,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,Ich,PPER,ich,25859,isolani,(1)
qd,tz6r.0,2054,2443,ISOLANI,isolani,seh,VVFIN,seh,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,ihn,PPER,ihn,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,noch,ADV,noch,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,–,VVFIN,–,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,es,PPER,es,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,sind,VAFIN,sein,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,jetzt,ADV,jetzt,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,zehen,VVFIN,zehen,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,Jahr,NN,jahr,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,–,XY,–,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,Als,KOUS,als,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,wir,PPER,wir,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,bei,APPR,bei,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,Dessau,NE,dessau,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,mit,APPR,mit,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,dem,ART,der,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,Mansfeld,NN,mansfeld,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,schlugen,VVFIN,schlagen,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,",","$,",--,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,Den,ART,der,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,Rappen,NN,rappe,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,sprengen,VVINF,sprengen,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,von,APPR,von,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,der,ART,der,25859,,
qd,tz6r.0,2054,2443,ISOLANI,isolani,Brücke,NN,brücke,25859,,
