corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tz9d.0,1005,1072,_Stage,_Stage,Thibaut,NE,thibaut,34384,,(0)
qd,tz9d.0,1005,1072,_Stage,_Stage,d,FM,D,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,',$[,--,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,Arc,NE,arc,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,.,$.,--,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,Seine,PPOSAT,sein,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,drei,CARD,drei,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,Töchter,NN,tochter,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,.,$.,--,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,Drei,CARD,drei,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,junge,ADJA,jung,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,Schäfer,NE,schäfer,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,",","$,",--,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,ihre,PPOSAT,ihr,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,Freier,NN,freier,34384,,
qd,tz9d.0,1005,1072,_Stage,_Stage,.,$.,--,34384,,
qd,tz9d.0,2049,2071,THIBAUT,thibaut,Zu,APPR,zu,34384,,
qd,tz9d.0,2049,2071,THIBAUT,thibaut,dem,ART,der,34384,,
qd,tz9d.0,2049,2071,THIBAUT,thibaut,ersten,ADJA,erster,34384,,
qd,tz9d.0,2049,2071,THIBAUT,thibaut,Schäfer,NE,schäfer,34384,,
qd,tz9d.0,2049,2071,THIBAUT,thibaut,.,$.,--,34384,,
qd,tz9d.0,2224,2239,THIBAUT,thibaut,Zu,APPR,zu,34384,,
qd,tz9d.0,2224,2239,THIBAUT,thibaut,dem,ART,der,34384,,
qd,tz9d.0,2224,2239,THIBAUT,thibaut,zweiten,ADJA,zweiter,34384,,
qd,tz9d.0,2224,2239,THIBAUT,thibaut,.,$.,--,34384,,
qd,tz9d.0,2652,2669,LOUISON,louison,Johanna,NE,johanna,34384,,(6)
qd,tz9d.0,2652,2669,LOUISON,louison,umarmend,ADJD,umarmend,34384,,
qd,tz9d.0,2652,2669,LOUISON,louison,.,$.,--,34384,,
qd,tz9d.0,2832,2849,MARGOT,margot,Johanna,NE,johanna,34384,,(6)
qd,tz9d.0,2832,2849,MARGOT,margot,umarmend,ADJD,umarmend,34384,,
qd,tz9d.0,2832,2849,MARGOT,margot,.,$.,--,34384,,
qd,tz9d.0,3048,3095,THIBAUT,thibaut,Die,ART,der,34384,,
qd,tz9d.0,3048,3095,THIBAUT,thibaut,zwei,CARD,zwei,34384,,
qd,tz9d.0,3048,3095,THIBAUT,thibaut,Paare,NN,paar,34384,,
qd,tz9d.0,3048,3095,THIBAUT,thibaut,gehen,VVFIN,gehen,34384,,
qd,tz9d.0,3048,3095,THIBAUT,thibaut,Arm,NN,arm,34384,,
qd,tz9d.0,3048,3095,THIBAUT,thibaut,in,APPR,in,34384,,
qd,tz9d.0,3048,3095,THIBAUT,thibaut,Arm,NN,arm,34384,,
qd,tz9d.0,3048,3095,THIBAUT,thibaut,geschlungen,VVPP,geschlung,34384,,
qd,tz9d.0,3048,3095,THIBAUT,thibaut,ab,PTKVZ,ab,34384,,
qd,tz9d.0,3048,3095,THIBAUT,thibaut,.,$.,--,34384,,
qd,tz9d.0,3145,3171,_Stage,_Stage,Thibaut,NE,thibaut,34384,,(0)
qd,tz9d.0,3145,3171,_Stage,_Stage,.,$.,--,34384,,
qd,tz9d.0,3145,3171,_Stage,_Stage,Raimond,NE,raimond,34384,,(4)
qd,tz9d.0,3145,3171,_Stage,_Stage,.,$.,--,34384,,
qd,tz9d.0,3145,3171,_Stage,_Stage,Johanna,NE,johanna,34384,,(6)
qd,tz9d.0,3145,3171,_Stage,_Stage,.,$.,--,34384,,
qd,tz9d.0,6066,6110,RAIMOND,raimond,auf,APPR,auf,34384,,
qd,tz9d.0,6066,6110,RAIMOND,raimond,das,ART,der,34384,,
qd,tz9d.0,6066,6110,RAIMOND,raimond,Heiligenbild,NN,heiligenbild,34384,,
qd,tz9d.0,6066,6110,RAIMOND,raimond,in,APPR,in,34384,,
qd,tz9d.0,6066,6110,RAIMOND,raimond,der,ART,der,34384,,
