corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tzgk.0,3402,3466,_Stage,_Stage,Leonore,NE,leonore,37319,,(0)
qd,tzgk.0,3402,3466,_Stage,_Stage,maskiert,VVFIN,maskieren,37319,,
qd,tzgk.0,3402,3466,_Stage,_Stage,.,$.,--,37319,,
qd,tzgk.0,3402,3466,_Stage,_Stage,Rosa,ADJA,rosa,37319,,(2)
qd,tzgk.0,3402,3466,_Stage,_Stage,",","$,",--,37319,,
qd,tzgk.0,3402,3466,_Stage,_Stage,Arabella,NE,arabella,37319,,(1)
qd,tzgk.0,3402,3466,_Stage,_Stage,fliehen,VVFIN,fliehen,37319,,
qd,tzgk.0,3402,3466,_Stage,_Stage,zerstört,VVPP,zerstören,37319,,
qd,tzgk.0,3402,3466,_Stage,_Stage,auf,APPR,auf,37319,,
qd,tzgk.0,3402,3466,_Stage,_Stage,die,ART,der,37319,,
qd,tzgk.0,3402,3466,_Stage,_Stage,Bühne,NN,bühne,37319,,
qd,tzgk.0,3402,3466,_Stage,_Stage,.,$.,--,37319,,
qd,tzgk.0,3478,3497,LEONORE,leonore,reißt,VVFIN,reißen,37319,,
qd,tzgk.0,3478,3497,LEONORE,leonore,die,ART,der,37319,,
qd,tzgk.0,3478,3497,LEONORE,leonore,Maske,NN,maske,37319,,(12)
qd,tzgk.0,3478,3497,LEONORE,leonore,ab,PTKVZ,ab,37319,,
qd,tzgk.0,3478,3497,LEONORE,leonore,.,$.,--,37319,,
qd,tzgk.0,3642,3653,LEONORE,leonore,aufstehend,ADJD,aufstehend,37319,,
qd,tzgk.0,3642,3653,LEONORE,leonore,.,$.,--,37319,,
qd,tzgk.0,4788,4810,LEONORE,leonore,in,APPR,in,37319,,
qd,tzgk.0,4788,4810,LEONORE,leonore,Tiefsinn,NN,tiefsinn,37319,,
qd,tzgk.0,4788,4810,LEONORE,leonore,versunken,VVPP,versunken,37319,,
qd,tzgk.0,4788,4810,LEONORE,leonore,.,$.,--,37319,,
qd,tzgk.0,5197,5240,LEONORE,leonore,Pause,NN,pause,37319,,
qd,tzgk.0,5197,5240,LEONORE,leonore,.,$.,--,37319,,
qd,tzgk.0,5197,5240,LEONORE,leonore,Die,ART,der,37319,,
qd,tzgk.0,5197,5240,LEONORE,leonore,Musik,NN,musik,37319,,
qd,tzgk.0,5197,5240,LEONORE,leonore,läßt,VVFIN,lassen,37319,,
qd,tzgk.0,5197,5240,LEONORE,leonore,sich,PRF,sich,37319,,
qd,tzgk.0,5197,5240,LEONORE,leonore,von,APPR,von,37319,,
qd,tzgk.0,5197,5240,LEONORE,leonore,neuem,ADJA,neu,37319,,
qd,tzgk.0,5197,5240,LEONORE,leonore,hören,VVFIN,hören,37319,,
qd,tzgk.0,5197,5240,LEONORE,leonore,.,$.,--,37319,,
qd,tzgk.0,5254,5266,LEONORE,leonore,aufgefahren,VVIZU,auffahren,37319,,
qd,tzgk.0,5254,5266,LEONORE,leonore,.,$.,--,37319,,
qd,tzgk.0,5818,5841,LEONORE,leonore,schwermütig,ADJD,schwermütig,37319,,
qd,tzgk.0,5818,5841,LEONORE,leonore,schwärmend,ADJD,schwärmend,37319,,
qd,tzgk.0,5818,5841,LEONORE,leonore,.,$.,--,37319,,
qd,tzgk.0,6647,6658,LEONORE,leonore,begeistert,ADJD,begeistern,37319,,
qd,tzgk.0,6647,6658,LEONORE,leonore,.,$.,--,37319,,
qd,tzgk.0,7477,7486,ARABELLA,arabella,erstaunt,VVPP,erstaunen,37319,,
qd,tzgk.0,7477,7486,ARABELLA,arabella,.,$.,--,37319,,
qd,tzgk.0,8499,8518,LEONORE,leonore,zusammenschreckend,ADJD,zusammenschreckend,37319,,
qd,tzgk.0,8499,8518,LEONORE,leonore,.,$.,--,37319,,
qd,tzgk.0,8715,8768,_Stage,_Stage,Gianettino,NN,gianettino,37319,,(3)
qd,tzgk.0,8715,8768,_Stage,_Stage,Doria,NE,doria,37319,,
qd,tzgk.0,8715,8768,_Stage,_Stage,maskiert,VVFIN,maskieren,37319,,
qd,tzgk.0,8715,8768,_Stage,_Stage,im,APPRART,in,37319,,
qd,tzgk.0,8715,8768,_Stage,_Stage,grünen,ADJA,grün,37319,,
qd,tzgk.0,8715,8768,_Stage,_Stage,Mantel,NN,mantel,37319,,
qd,tzgk.0,8715,8768,_Stage,_Stage,.,$.,--,37319,,
qd,tzgk.0,8715,8768,_Stage,_Stage,Ein,ART,ein,37319,,
qd,tzgk.0,8715,8768,_Stage,_Stage,Mohr,NN,mohr,37319,,(4)
qd,tzgk.0,8715,8768,_Stage,_Stage,.,$.,--,37319,,
qd,tzgk.0,8771,8789,_Stage,_Stage,Beide,PIS,beide,37319,,
qd,tzgk.0,8771,8789,_Stage,_Stage,im,APPRART,in,37319,,
qd,tzgk.0,8771,8789,_Stage,_Stage,Gespräch,NN,gespräch,37319,,
qd,tzgk.0,8771,8789,_Stage,_Stage,.,$.,--,37319,,
qd,tzgk.0,9184,9192,GIANETTINO,gianettino,hämisch,ADJD,hämisch,37319,,
qd,tzgk.0,9184,9192,GIANETTINO,gianettino,.,$.,--,37319,,
qd,tzgk.0,9367,9390,MOHR,mohr,bläst,VVFIN,blasen,37319,,
qd,tzgk.0,9367,9390,MOHR,mohr,durch,APPR,durch,37319,,
qd,tzgk.0,9367,9390,MOHR,mohr,die,ART,der,37319,,
qd,tzgk.0,9367,9390,MOHR,mohr,Finger,NN,finger,37319,,
qd,tzgk.0,9367,9390,MOHR,mohr,.,$.,--,37319,,
qd,tzgk.0,9836,9873,MOHR,mohr,indem,KOUS,indem,37319,,
qd,tzgk.0,9836,9873,MOHR,mohr,er,PPER,er,37319,,
qd,tzgk.0,9836,9873,MOHR,mohr,den,ART,der,37319,,
qd,tzgk.0,9836,9873,MOHR,mohr,Wechsel,NN,wechsel,37319,,
qd,tzgk.0,9836,9873,MOHR,mohr,vom,APPRART,von,37319,,
qd,tzgk.0,9836,9873,MOHR,mohr,Boden,NN,boden,37319,,
qd,tzgk.0,9836,9873,MOHR,mohr,nimmt,VVFIN,nehmen,37319,,
qd,tzgk.0,9836,9873,MOHR,mohr,.,$.,--,37319,,
qd,tzgk.0,10004,10059,_Stage,_Stage,Calcagno,NE,calcagno,37319,,(5)
qd,tzgk.0,10004,10059,_Stage,_Stage,",","$,",--,37319,,
qd,tzgk.0,10004,10059,_Stage,_Stage,hinter,APPR,hinter,37319,,
