corpus,drama,figure_surface,figure_id,Gender,Age
qd,v0nx.0,BUTTLER,buttler,,
qd,v0nx.0,NEUBRUNN,neubrunn,,
qd,v0nx.0,TERZKY,terzky,,
qd,v0nx.0,ZWEITER BEDIENTER,zweiter_bedienter,,
qd,v0nx.0,KAMMERDIENER_1.7,kammerdiener_1.7,,
qd,v0nx.0,OCTAVIO,octavio,,
qd,v0nx.0,ADJUTANT,adjutant,,
qd,v0nx.0,BEDIENTER,bedienter,,
qd,v0nx.0,SENI,seni,,
qd,v0nx.0,KAMMERDIENER_5.7,kammerdiener_5.4,,
qd,v0nx.0,PAGE,page,,
qd,v0nx.0,THEKLA,thekla,,
qd,v0nx.0,KAMMERFRAU,kammerfrau,,
qd,v0nx.0,GRÄFIN,gräfin,,
qd,v0nx.0,WALLENSTEIN,wallenstein,,
qd,v0nx.0,ISOLANI,isolani,,
qd,v0nx.0,GORDON,gordon,,
qd,v0nx.0,ZWEITER KÜRASSIER,zweiter_kürassier,,
qd,v0nx.0,MAX,max,,
qd,v0nx.0,GEFREITER,gefreiter,,
qd,v0nx.0,DEVEROUX,deveroux,,
qd,v0nx.0,NEUMANN,neumann,,
qd,v0nx.0,WRANGEL,wrangel,,
qd,v0nx.0,STALLMEISTER,stallmeister,,
qd,v0nx.0,DRITTER KÜRASSIER,dritter_kürassier,,
qd,v0nx.0,ILLO,illo,,
qd,v0nx.0,ERSTER BEDIENTER,erster_bedienter,,
qd,v0nx.0,HERZOGIN,herzogin,,
qd,v0nx.0,BÜRGERMEISTER,bürgermeister,,
qd,v0nx.0,GERALDIN,geraldin,,
qd,v0nx.0,HAUPTMANN,hauptmann,,
qd,v0nx.0,MACDONALD,macdonald,,
