corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,v183.0,286,325,_Stage,_Stage,Frizzens,NE,frizzen,6985,,
qd,v183.0,286,325,_Stage,_Stage,Zimmer,NN,zimmer,6985,,
qd,v183.0,286,325,_Stage,_Stage,in,APPR,in,6985,,
qd,v183.0,286,325,_Stage,_Stage,Doktor,NE,doktor,6985,,
qd,v183.0,286,325,_Stage,_Stage,Fausts,NE,faust,6985,,
qd,v183.0,286,325,_Stage,_Stage,Hause,NN,haus,6985,,
qd,v183.0,286,325,_Stage,_Stage,.,$.,--,6985,,
qd,v183.0,334,352,FRIZ,friz,auf-,TRUNC,auf,6985,,
qd,v183.0,334,352,FRIZ,friz,und,KON,und,6985,,
qd,v183.0,334,352,FRIZ,friz,abgehend,ADJD,abgehend,6985,,
qd,v183.0,334,352,FRIZ,friz,.,$.,--,6985,,
qd,v183.0,1325,1357,_Stage,_Stage,Rosalinde,NN,rosalinde,6985,,(1)
qd,v183.0,1325,1357,_Stage,_Stage,in,APPR,in,6985,,
qd,v183.0,1325,1357,_Stage,_Stage,Mannokleidern,NN,mannokleid,6985,,
qd,v183.0,1325,1357,_Stage,_Stage,Friz,NE,friz,6985,,(0)
qd,v183.0,1325,1357,_Stage,_Stage,.,$.,--,6985,,
qd,v183.0,3865,3877,ROSALINDE,rosalinde,verächtlich,ADJD,verächtlich,6985,,
qd,v183.0,3865,3877,ROSALINDE,rosalinde,.,$.,--,6985,,
qd,v183.0,4294,4315,_Stage,_Stage,Doktor,NE,doktor,6985,,
qd,v183.0,4294,4315,_Stage,_Stage,Fausts,NE,faust,6985,,
qd,v183.0,4294,4315,_Stage,_Stage,Zimmer,NN,zimmer,6985,,
qd,v183.0,4294,4315,_Stage,_Stage,.,$.,--,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,nachdenkend,ADJD,nachdenkend,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,",","$,",--,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,in,APPR,in,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,einem,ART,ein,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,Stul,NN,stul,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,",","$,",--,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,eine,ART,ein,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,lange,ADJA,lang,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,Pause,NN,pause,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,",","$,",--,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,sich,PRF,sich,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,aufhebend,ADJD,aufhebend,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,–,VVFIN,–,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,die,ART,der,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,Hand,NN,hand,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,zum,APPRART,zu,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,Himmel,NN,himmel,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,gehoben,VVPP,heben,6985,,
qd,v183.0,4332,4423,FAUST,doktor_faust,.,$.,--,6985,,
qd,v183.0,5038,5062,_Stage,_Stage,Doktor,PROAV,doktor,6985,,(2
