corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,v1sm.0,155,30917,0,169,2763,0
qd,v1sm.0,155,30917,0,2777,10447,0
qd,v1sm.0,155,30917,0,10461,16175,0
qd,v1sm.0,155,30917,0,16189,16641,0
qd,v1sm.0,155,30917,0,16655,25436,0
qd,v1sm.0,155,30917,0,25450,26588,0
qd,v1sm.0,155,30917,0,26602,30917,0
qd,v1sm.0,30933,60061,0,30947,32389,0
qd,v1sm.0,30933,60061,0,32400,45418,0
qd,v1sm.0,30933,60061,0,45431,51056,0
qd,v1sm.0,30933,60061,0,51069,60061,0
qd,v1sm.0,60076,77138,0,60090,61056,0
qd,v1sm.0,60076,77138,0,61069,62083,0
qd,v1sm.0,60076,77138,0,62096,62995,0
qd,v1sm.0,60076,77138,0,63009,77138,0
qd,v1sm.0,77153,96501,0,77167,83324,0
qd,v1sm.0,77153,96501,0,83337,83901,0
qd,v1sm.0,77153,96501,0,83914,85873,0
qd,v1sm.0,77153,96501,0,85886,96501,0
qd,v1sm.0,96516,109494,0,96530,100262,0
qd,v1sm.0,96516,109494,0,100276,104559,0
qd,v1sm.0,96516,109494,0,104573,107939,0
qd,v1sm.0,96516,109494,0,107953,109494,0
