corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,v3mq.0,137,175,_Stage,_Stage,König,NN,könig,17217,,
qd,v3mq.0,137,175,_Stage,_Stage,in,APPR,in,17217,,
qd,v3mq.0,137,175,_Stage,_Stage,Dännemark,NE,dännemark,17217,,
qd,v3mq.0,137,175,_Stage,_Stage,",","$,",--,17217,,
qd,v3mq.0,137,175,_Stage,_Stage,Norwegen,NE,norwegen,17217,,
qd,v3mq.0,137,175,_Stage,_Stage,etc,NE,etc,17217,,
qd,v3mq.0,137,175,_Stage,_Stage,.,$.,--,17217,,
qd,v3mq.0,137,175,_Stage,_Stage,etc,PTKVZ,etc,17217,,
qd,v3mq.0,137,175,_Stage,_Stage,.,$.,--,17217,,
qd,v3mq.0,9069,9084,_Stage,_Stage,Ulfo,NE,ulfo,17217,,(0)
qd,v3mq.0,9069,9084,_Stage,_Stage,",","$,",--,17217,,
qd,v3mq.0,9069,9084,_Stage,_Stage,Estrithe,NE,estrithe,17217,,(1)
qd,v3mq.0,9069,9084,_Stage,_Stage,.,$.,--,17217,,
qd,v3mq.0,13940,13948,ULFO,ulfo,Geht,VVFIN,gehen,17217,,
qd,v3mq.0,13940,13948,ULFO,ulfo,ab,PTKVZ,ab,17217,,
qd,v3mq.0,13940,13948,ULFO,ulfo,.,$.,--,17217,,
qd,v3mq.0,13999,14017,_Stage,_Stage,Gunilde,NN,gunilde,17217,,(2)
qd,v3mq.0,13999,14017,_Stage,_Stage,",","$,",--,17217,,
qd,v3mq.0,13999,14017,_Stage,_Stage,Estrithe,NE,estrithe,17217,,(1)
qd,v3mq.0,13999,14017,_Stage,_Stage,.,$.,--,17217,,
qd,v3mq.0,19346,19364,_Stage,_Stage,Godewin,NE,godewin,17217,,(3)
qd,v3mq.0,19346,19364,_Stage,_Stage,",","$,",--,17217,,
qd,v3mq.0,19346,19364,_Stage,_Stage,Estrithe,NE,estrithe,17217,,(1)
qd,v3mq.0,19346,19364,_Stage,_Stage,.,$.,--,17217,,
qd,v3mq.0,24648,24663,_Stage,_Stage,Canut,NE,canut,17217,,(4)
qd,v3mq.0,24648,24663,_Stage,_Stage,",","$,",--,17217,,
qd,v3mq.0,24648,24663,_Stage,_Stage,Godewin,NE,godewin,17217,,(3)
qd,v3mq.0,24648,24663,_Stage,_Stage,.,$.,--,17217,,
qd,v3mq.0,25740,25765,_Stage,_Stage,Estrithe,NE,estrithe,17217,,(1)
qd,v3mq.0,25740,25765,_Stage,_Stage,",","$,",--,17217,,
qd,v3mq.0,25740,25765,_Stage,_Stage,Canut,NE,canut,17217,,(4)
qd,v3mq.0,25740,25765,_Stage,_Stage,",","$,",--,17217,,
qd,v3mq.0,25740,25765,_Stage,_Stage,Godewin,NE,godewin,17217,,(3)
qd,v3mq.0,25740,25765,_Stage,_Stage,.,$.,--,17217,,
qd,v3mq.0,30254,30272,_Stage,_Stage,Godewin,NE,godewin,17217,,(3)
qd,v3mq.0,30254,30272,_Stage,_Stage,",","$,",--,17217,,
qd,v3mq.0,30254,30272,_Stage,_Stage,Estrithe,NE,estrithe,17217,,(1)
qd,v3mq.0,30254,30272,_Stage,_Stage,.,$.,--,17217,,
