corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,v3rz.0,906,1149,EDUARD,eduard,Ja,PTKANT,ja,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,",","$,",--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,nun,ADV,nun,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,wären,VAFIN,sein,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,wir,PPER,wir,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,zu,APPR,zu,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,Hause,NN,haus,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,.,$.,--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,Tritt,NN,treten,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,ein,PTKVZ,ein,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,",","$,",--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,Georg,NE,georg,6740,georg,(1)
qd,v3rz.0,906,1149,EDUARD,eduard,",","$,",--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,ich,PPER,ich,6740,eduard,(0)
qd,v3rz.0,906,1149,EDUARD,eduard,heiße,VVFIN,heißen,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,dich,PRF,dich,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,willkommen,ADJD,willkommen,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,.,$.,--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,Ich,PPER,ich,6740,eduard,(0)
qd,v3rz.0,906,1149,EDUARD,eduard,kann,VMFIN,können,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,dir,PRF,dir,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,gar,ADV,gar,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,nicht,PTKNEG,nicht,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,sagen,VVINF,sagen,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,",","$,",--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,wie,PWAV,wie,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,sehr,ADV,sehr,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,ich,PPER,ich,6740,eduard,(0)
qd,v3rz.0,906,1149,EDUARD,eduard,den,ART,der,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,Zufall,NN,zufall,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,preise,ADJD,preisen,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,",","$,",--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,wie,PWAV,wie,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,sehr,ADV,sehr,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,ich,PPER,ich,6740,eduard,(0)
qd,v3rz.0,906,1149,EDUARD,eduard,mich,PRF,mich,6740,eduard,(0)
qd,v3rz.0,906,1149,EDUARD,eduard,freue,VVFIN,freuen,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,.,$.,--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,.,$.,--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,.,$.,--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,Er,PPER,er,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,legt,VVFIN,legen,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,Hut,NN,hut,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,und,KON,und,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,Überzieher,NN,überzieher,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,auf,APPR,auf,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,das,ART,der,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,Sofa,NN,sofa,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,.,$.,--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,So,ADV,so,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,.,$.,--,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,–,ITJ,–,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,Willst,VAFIN,willst,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,du,PPER,du,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,nicht,PTKNEG,nicht,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,ablegen,VVINF,ablegen,6740,,
qd,v3rz.0,906,1149,EDUARD,eduard,?,$.,--,6740,,
qd,v3rz.0,1154,1233,GEORG,georg,Danke,NN,danke,6740,,
qd,v3rz.0,1154,1233,GEORG,georg,",","$,",--,6740,,
qd,v3rz.0,1154,1233,GEORG,georg,danke,VVFIN,danken,6740,,
qd,v3rz.0,1154,1233,GEORG,georg,.,$.,--,6740,,
qd,v3rz.0,1238,1715,EDUARD,eduard,Ja,PTKANT,ja,6740,,
qd,v3rz.0,1238,1715,EDUARD,eduard,",","$,",--,6740,,
qd,v3rz.0,1238,1715,EDUARD,eduard,du,PPER,du,6740,,
qd,v3rz.0,1238,1715,EDUARD,eduard,hast,VAFIN,haben,6740,,
