corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,v3t6.0,der_klavierspieler,5,
qd,v3t6.0,erster_skandalmacher,24,
qd,v3t6.0,viele,26,
qd,v3t6.0,held,7,
qd,v3t6.0,dichter,20,
qd,v3t6.0,direktor,4,
qd,v3t6.0,der_dichter,6,
qd,v3t6.0,zweiter_bürger,11,
qd,v3t6.0,zweiter_skandalmacher,25,
qd,v3t6.0,kanzelist,21,
qd,v3t6.0,tod,23,
qd,v3t6.0,kellner,3,
qd,v3t6.0,bräutigam,22,
qd,v3t6.0,heiterer,15,
qd,v3t6.0,graf,28,
qd,v3t6.0,der_wohlwollende,0,
qd,v3t6.0,der_naive,2,
qd,v3t6.0,der_räsoneur,13,
qd,v3t6.0,der_bissige,1,
qd,v3t6.0,ernster,16,
qd,v3t6.0,liesl,8,
qd,v3t6.0,herzog,9,
qd,v3t6.0,erstes_mädel,12,
qd,v3t6.0,die_marionetten,30,
qd,v3t6.0,erster_bürger,18,
qd,v3t6.0,meister,27,
qd,v3t6.0,der_diener,14,
qd,v3t6.0,der_unbekannte,31,
qd,v3t6.0,der_herr_im_parkett,29,
qd,v3t6.0,herzogin,10,
qd,v3t6.0,zweites_mädel,19,
qd,v3t6.0,die_frau,17,
