corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,v3t6.0,2020,2251,_stage,2189,2195,Andere,andere
qd,v3t6.0,2020,2251,_stage,2218,2229,der Bissige,der_bissige
qd,v3t6.0,2020,2251,_stage,2234,2250,der Wohlwollende,der_wohlwollende
qd,v3t6.0,2363,2440,der_wohlwollende,2404,2407,Ich,der_wohlwollende
qd,v3t6.0,2508,2605,der_naive,2587,2594,Kellner,kellner
qd,v3t6.0,2647,2953,_stage,2721,2739,Der Klavierspieler,der_klavierspieler
qd,v3t6.0,2647,2953,_stage,2771,2783,der Direktor,der_direktor
qd,v3t6.0,2647,2953,_stage,2775,2783,Direktor,der_direktor
qd,v3t6.0,2958,4886,der_direktor,2969,2974,Meine,der_direktor
qd,v3t6.0,2958,4886,der_direktor,3442,3448,Herzog,herzog
qd,v3t6.0,2958,4886,der_direktor,3789,3795,andere,andere
qd,v3t6.0,2958,4886,der_direktor,3863,3868,Liesl,liesl
qd,v3t6.0,2958,4886,der_direktor,4010,4019,Kanzelist,kanzelist
qd,v3t6.0,2958,4886,der_direktor,4264,4271,Dichter,dichter
qd,v3t6.0,2958,4886,der_direktor,4513,4516,Tod,tod
qd,v3t6.0,2958,4886,der_direktor,4546,4549,Tod,tod
qd,v3t6.0,2958,4886,der_direktor,4802,4807,meine,der_direktor
qd,v3t6.0,4942,5055,der_bissige,4956,4959,Ich,der_bissige
qd,v3t6.0,5060,5118,der_wohlwollende,5084,5087,ich,der_wohlwollende
qd,v3t6.0,5175,5208,_stage,5189,5197,Direktor,der_direktor
qd,v3t6.0,5457,5752,der_dichter,5513,5516,Ich,der_dichter
qd,v3t6.0,5457,5752,der_dichter,5540,5544,mein,der_dichter
qd,v3t6.0,5845,6116,held,5913,5916,Ich,held
qd,v3t6.0,5845,6116,held,5965,5969,mein,held
qd,v3t6.0,5845,6116,held,5982,5986,mich,held
qd,v3t6.0,5845,6116,held,6002,6005,Ich,held
qd,v3t6.0,6121,6246,liesl,6129,6132,Ich,liesl
qd,v3t6.0,6121,6246,liesl,6202,6206,mich,liesl
qd,v3t6.0,6252,6358,herzog,6261,6264,Ich,herzog
qd,v3t6.0,6252,6358,herzog,6324,6330,Herzog,herzog
qd,v3t6.0,6364,6483,herzogin,6375,6378,Mir,herzogin
qd,v3t6.0,6364,6483,herzogin,6415,6419,mein,herzogin
qd,v3t6.0,7020,7058,der_wohlwollende,7039,7042,Mir,der_wohlwollende
qd,v3t6.0,7152,7165,_stage,7156,7164,Direktor,der_direktor
qd,v3t6.0,7274,7510,_stage,7415,7419,Held,held
qd,v3t6.0,7274,7510,_stage,7458,7463,Liesl,liesl
qd,v3t6.0,7571,7593,held,7577,7581,Mein,held
qd,v3t6.0,7598,7639,liesl,7618,7621,ich,liesl
qd,v3t6.0,7644,7675,held,7662,7666,mich,held
qd,v3t6.0,7680,7707,liesl,7687,7690,Ich,liesl
qd,v3t6.0,7763,7849,liesl,7807,7810,ich,liesl
qd,v3t6.0,7902,7932,liesl,7923,7926,ich,liesl
qd,v3t6.0,7959,8002,liesl,7981,7984,Ich,liesl
qd,v3t6.0,8141,8187,held,8155,8158,mir,held
qd,v3t6.0,8192,8265,liesl,8210,8213,ich,liesl
qd,v3t6.0,8344,8411,der_bissige,8385,8388,mir,der_bissige
qd,v3t6.0,8416,8604,held,8526,8529,ich,held
qd,v3t6.0,9042,9161,der_bissige,9103,9106,ich,der_bissige
qd,v3t6.0,9211,9280,der_bissige,9225,9228,Ich,der_bissige
qd,v3t6.0,9211,9280,der_bissige,9254,9257,ich,der_bissige
qd,v3t6.0,9285,9368,der_räsoneur,9300,9303,Ich,der_räsoneur
qd,v3t6.0,9862,10335,held,9882,9885,ich,held
qd,v3t6.0,9862,10335,held,9890,9893,mir,held
qd,v3t6.0,9862,10335,held,9925,9928,ich,held
qd,v3t6.0,9862,10335,held,9988,9991,Ich,held
qd,v3t6.0,9862,10335,held,10000,10004,Held,held
qd,v3t6.0,9862,10335,held,10044,10047,ich,held
qd,v3t6.0,9862,10335,held,10079,10082,ich,held
qd,v3t6.0,9862,10335,held,10220,10223,ich,held
qd,v3t6.0,9862,10335,held,10239,10245,meiner,held
qd,v3t6.0,9862,10335,held,10258,10261,ich,held
qd,v3t6.0,9862,10335,held,10326,10329,ich,held
qd,v3t6.0,10341,10429,der_räsoneur,10369,10372,ich,der_räsoneur
qd,v3t6.0,10341,10429,der_räsoneur,10406,10409,ich,der_räsoneur
qd,v3t6.0,10435,10526,held,10442,10445,Ich,held
qd,v3t6.0,10634,10752,_stage,10634,10641,Ernster,ernster
qd,v3t6.0,10634,10752,_stage,10688,10696,Heiterer,heiterer
qd,v3t6.0,10757,10839,heiterer,10807,10811,Mich,heiterer
qd,v3t6.0,10845,10917,ernster,10880,10883,ich,ernster
qd,v3t6.0,10845,10917,ernster,10900,10903,ich,ernster
qd,v3t6.0,11090,11132,der_bissige,11113,11116,mir,der_bissige
qd,v3t6.0,11257,11270,_stage,11261,11269,Direktor,der_direktor
qd,v3t6.0,11244,11314,der_dichter,11273,11276,Mir,der_dichter
qd,v3t6.0,11319,11436,der_direktor,11330,11333,Ich,der_direktor
qd,v3t6.0,11319,11436,der_direktor,11417,11420,ich,der_direktor
qd,v3t6.0,11441,11546,der_dichter,11501,11504,Ich,der_dichter
qd,v3t6.0,11607,11701,_stage,11607,11618,Der Dichter,der_dichter
qd,v3t6.0,11607,11701,_stage,11611,11618,Dichter,dichter
qd,v3t6.0,11706,11786,held,11713,11716,Ich,held
qd,v3t6.0,11706,11786,held,11736,11739,mir,held
qd,v3t6.0,11706,11786,held,11771,11775,mich,held
qd,v3t6.0,11829,11853,held,11839,11842,Tod,tod
qd,v3t6.0,12072,12085,_stage,12076,12084,Direktor,der_direktor
qd,v3t6.0,12230,12320,der_dichter,12270,12273,Ich,der_dichter
qd,v3t6.0,12368,12434,ernster,12378,12381,Ich,ernster
qd,v3t6.0,12461,12495,ernster,12474,12480,meinen,ernster
qd,v3t6.0,12570,12658,heiterer,12590,12593,ich,heiterer
qd,v3t6.0,12570,12658,heiterer,12599,12602,ich,heiterer
qd,v3t6.0,12779,12852,held,12824,12828,mich,held
qd,v3t6.0,12885,13206,held,13010,13013,ich,held
qd,v3t6.0,12885,13206,held,13081,13084,mir,held
qd,v3t6.0,12885,13206,held,13109,13112,ich,held
qd,v3t6.0,12885,13206,held,13145,13148,ich,held
qd,v3t6.0,12885,13206,held,13172,13175,ich,held
qd,v3t6.0,13356,13474,held,13362,13370,Herzogin,herzogin
qd,v3t6.0,13401,13474,_stage,13401,13408,Ernster,ernster
qd,v3t6.0,13401,13474,_stage,13413,13421,Heiterer,heiterer
qd,v3t6.0,13503,13535,ernster,13512,13534,Die Herzogin von Lawin,herzogin
qd,v3t6.0,13503,13535,ernster,13516,13524,Herzogin,herzogin
qd,v3t6.0,14415,14659,held,14422,14425,Ich,held
qd,v3t6.0,14415,14659,held,14435,14443,Herzogin,herzogin
qd,v3t6.0,14415,14659,held,14467,14470,mir,held
qd,v3t6.0,14415,14659,held,14498,14502,Mich,held
qd,v3t6.0,14415,14659,held,14516,14519,ich,held
qd,v3t6.0,14415,14659,held,14562,14570,Herzogin,herzogin
qd,v3t6.0,14415,14659,held,14583,14586,mir,held
qd,v3t6.0,14415,14659,held,14625,14628,ich,held
qd,v3t6.0,14415,14659,held,14634,14642,Herzogin,herzogin
qd,v3t6.0,14415,14659,held,14649,14652,ich,held
qd,v3t6.0,14693,14764,heiterer,14712,14715,ich,heiterer
qd,v3t6.0,14770,14894,held,14781,14787,Herzog,herzog
qd,v3t6.0,14770,14894,held,14844,14847,ich,held
qd,v3t6.0,14863,14894,_stage,14863,14870,Ernster,ernster
qd,v3t6.0,14863,14894,_stage,14875,14883,heiterer,heiterer
qd,v3t6.0,14965,15008,der_bissige,14979,14983,Mich,der_bissige
qd,v3t6.0,15013,15072,der_naive,15025,15028,Ich,der_naive
qd,v3t6.0,15077,15165,die_frau,15152,15155,ich,die_frau
qd,v3t6.0,15230,15341,der_dichter,15271,15279,Direktor,der_direktor
qd,v3t6.0,15230,15341,der_dichter,15281,15284,Ich,der_dichter
qd,v3t6.0,15230,15341,der_dichter,15327,15330,mir,der_dichter
qd,v3t6.0,15346,15418,der_bissige,15403,15406,ich,der_bissige
qd,v3t6.0,15482,15554,der_bissige,15529,15540,der Bissige,der_bissige
qd,v3t6.0,15482,15554,der_bissige,15546,15549,ich,der_bissige
qd,v3t6.0,15560,15631,held,15571,15576,meine,held
qd,v3t6.0,15677,15878,held,15702,15710,Herzogin,herzogin
qd,v3t6.0,15677,15878,held,15717,15720,ich,held
qd,v3t6.0,15677,15878,held,15752,15755,ich,held
qd,v3t6.0,15677,15878,held,15790,15793,ich,held
qd,v3t6.0,15677,15878,held,15832,15835,ich,held
qd,v3t6.0,15677,15878,held,15852,15858,meinen,held
qd,v3t6.0,15884,16053,der_räsoneur,15925,15928,ich,der_räsoneur
qd,v3t6.0,16390,16783,held,16456,16461,meine,held
qd,v3t6.0,16390,16783,held,16510,16513,ich,held
qd,v3t6.0,16390,16783,held,16562,16565,ich,held
qd,v3t6.0,16390,16783,held,16651,16660,Kanzelist,kanzelist
qd,v3t6.0,16788,16896,der_diener,16826,16829,ich,der_diener
qd,v3t6.0,16788,16896,der_diener,16885,16888,mir,der_diener
qd,v3t6.0,16901,17129,herzogin,16966,16969,Ich,herzogin
qd,v3t6.0,16901,17129,herzogin,16974,16996,die Herzogin von Lawin,herzogin
qd,v3t6.0,16901,17129,herzogin,16978,16986,Herzogin,herzogin
qd,v3t6.0,16901,17129,herzogin,17030,17036,Herzog,herzog
qd,v3t6.0,17242,17432,herzogin,17340,17343,Ich,herzogin
qd,v3t6.0,17242,17432,herzogin,17412,17415,mir,herzogin
qd,v3t6.0,17609,17689,held,17658,17666,Herzogin,herzogin
qd,v3t6.0,17695,18378,herzogin,17717,17720,ich,herzogin
qd,v3t6.0,17695,18378,herzogin,17727,17730,ich,herzogin
qd,v3t6.0,17695,18378,herzogin,17756,17759,ich,herzogin
qd,v3t6.0,17695,18378,herzogin,17793,17796,mir,herzogin
qd,v3t6.0,17695,18378,herzogin,17854,17861,Dichter,dichter
qd,v3t6.0,17695,18378,herzogin,17875,17878,ich,herzogin
