corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,v3t6.0,784,2016,_Stage,_Stage,Im,APPRART,in,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Wurstelprater,NN,wurstelprater,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,.,$.,--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,–,XY,–,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Abend,NN,abend,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,.,$.,--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,–,XY,–,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Den,ART,der,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,erhöhten,ADJA,erhöht,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Hintergrund,NN,hintergrund,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,der,ART,der,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Bühne,NN,bühne,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,nimmt,VVFIN,nehmen,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,ein,ART,ein,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,großes,ADJA,groß,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Marionettentheater,NN,marionettentheater,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,ein,PTKVZ,ein,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,",","$,",--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,dessen,PRELAT,der,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Vorhang,NN,vorhang,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,heruntergelassen,VVPP,heruntergelassen,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,ist,VAFIN,sein,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,und,KON,und,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,das,PDS,der,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,die,ART,der,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Aufschrift,NN,aufschrift,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,trägt,VVFIN,tragen,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,:,$.,--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,»,XY,»,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Zum,APPRART,zu,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,großen,ADJA,groß,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Wurstel,NN,wurstel,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,«,PTKVZ,«,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,.,$.,--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Seitlich,ADJD,seitlich,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,links,ADV,links,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,",","$,",--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,schief,ADJD,schief,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,gestellt,VVPP,stellen,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,",","$,",--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,ein,ART,ein,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,schmales,ADJA,schmal,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,",","$,",--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,hohes,ADJA,hoch,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Wursteltheater,NN,wursteltheater,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,alter,ADJA,alt,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Konstruktion,NN,konstruktion,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,.,$.,--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Weiter,ADV,weiter,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,vorn,ADV,vorn,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,links,ADV,links,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,",","$,",--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,in,APPR,in,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,die,ART,der,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Kulisse,NN,kulisse,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,hinein,PTKVZ,hinein,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,",","$,",--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,ein,ART,ein,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Ringelspiel,NN,ringelspiel,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,.,$.,--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Seitlich,ADJD,seitlich,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,rechts,ADV,rechts,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,",","$,",--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,schief,ADJD,schief,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,von,APPR,von,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,rückwärts,ADV,rückwärts,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,nach,APPR,nach,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,vorn,ADV,vorn,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,",","$,",--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,ein,ART,ein,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Staketgitter,NN,staketgitter,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,",","$,",--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,dahinter,PROAV,dahinter,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,ein,ART,ein,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Gasthausgarten,NN,gasthausgarten,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,",","$,",--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,dessen,PRELAT,der,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Fortsetzung,NN,fortsetzung,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,rechts,ADV,rechts,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,in,APPR,in,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,der,ART,der,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,Kulisse,NN,kulisse,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,gedacht,VVPP,denken,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,ist,VAFIN,sein,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,;,$.,--,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,rechts,ADV,rechts,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,vorn,ADV,vorn,7163,,
qd,v3t6.0,784,2016,_Stage,_Stage,hinter,APPR,hinter,7163,,
