corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,v3tw.0,schwester,1,
qd,v3tw.0,diener_elisabetinum,22,
qd,v3tw.0,kulka,19,
qd,v3tw.0,löwenstein,13,
qd,v3tw.0,bernhardi,3,
qd,v3tw.0,amtsdiener,21,
qd,v3tw.0,oskar,2,
qd,v3tw.0,cyprian,8,
qd,v3tw.0,diener_bernhardi,10,
qd,v3tw.0,pflugfelder,16,
qd,v3tw.0,wenger,17,
qd,v3tw.0,schreimann,15,
qd,v3tw.0,adler,7,
qd,v3tw.0,pfarrer,9,
qd,v3tw.0,feuermann,11,
qd,v3tw.0,hochroitzpointner,0,
qd,v3tw.0,filitz,12,
qd,v3tw.0,hofrat,20,
qd,v3tw.0,flint,14,
qd,v3tw.0,ebenwald,5,
qd,v3tw.0,goldenthal,18,
qd,v3tw.0,kurt,4,
qd,v3tw.0,tugendvetter,6,
