corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,v3vz.0,2526,2758,genia,2615,2619,Herr,herr
qd,v3vz.0,2763,2926,stubenmädchen,2851,2854,ich,stubenmädchen
qd,v3vz.0,4291,4368,frau_wahl,4323,4333,Frau Genia,genia
qd,v3vz.0,4291,4368,frau_wahl,4328,4333,Genia,genia
qd,v3vz.0,4429,4757,frau_wahl,4556,4559,Ich,frau_wahl
qd,v3vz.0,4429,4757,frau_wahl,4577,4581,Erna,erna
qd,v3vz.0,4429,4757,frau_wahl,4675,4681,meiner,frau_wahl
qd,v3vz.0,4429,4757,frau_wahl,4696,4699,Ich,frau_wahl
qd,v3vz.0,5221,5270,genia,5253,5256,ich,genia
qd,v3vz.0,5445,5496,_stage,5482,5487,Genia,genia
qd,v3vz.0,5660,5733,genia,5678,5684,meinen,genia
qd,v3vz.0,5807,5833,genia,5825,5828,ich,genia
qd,v3vz.0,5807,5833,genia,5829,5832,mir,genia
qd,v3vz.0,5838,5954,erna,5845,5848,Ich,erna
qd,v3vz.0,5838,5954,erna,5854,5858,mich,erna
qd,v3vz.0,6008,6134,erna,6027,6030,ich,erna
qd,v3vz.0,6008,6134,erna,6088,6091,ich,erna
qd,v3vz.0,6178,6230,_stage,6178,6182,Erna,erna
qd,v3vz.0,6178,6230,_stage,6200,6210,Frau Genia,genia
qd,v3vz.0,6178,6230,_stage,6205,6210,Genia,genia
qd,v3vz.0,6298,6399,erna,6331,6334,ich,erna
qd,v3vz.0,6460,6618,erna,6483,6495,Doktor Mauer,doktor_mauer
qd,v3vz.0,6460,6618,erna,6490,6495,Mauer,doktor_mauer
qd,v3vz.0,6460,6618,erna,6519,6530,Herr Natter,natter
qd,v3vz.0,6460,6618,erna,6519,6523,Herr,herr
qd,v3vz.0,6460,6618,erna,6524,6530,Natter,natter
qd,v3vz.0,6460,6618,erna,6545,6548,ich,erna
qd,v3vz.0,6460,6618,erna,6589,6598,Stanzides,stanzides
qd,v3vz.0,6642,6817,erna,6679,6683,mein,erna
qd,v3vz.0,6642,6817,erna,6685,6688,ich,erna
qd,v3vz.0,6822,6974,frau_wahl,6846,6856,Frau Genia,genia
qd,v3vz.0,6822,6974,frau_wahl,6851,6856,Genia,genia
qd,v3vz.0,6822,6974,frau_wahl,6862,6866,mein,frau_wahl
qd,v3vz.0,6822,6974,frau_wahl,6903,6907,Erna,erna
qd,v3vz.0,7045,7130,genia,7066,7070,Herr,herr
qd,v3vz.0,7045,7130,genia,7075,7081,Aigner,doktor_von_aigner
qd,v3vz.0,7341,7445,genia,7377,7380,Ich,genia
qd,v3vz.0,7341,7445,genia,7432,7435,mir,genia
qd,v3vz.0,7517,7597,genia,7568,7572,mich,genia
qd,v3vz.0,7602,7856,otto,7609,7614,Meine,otto
qd,v3vz.0,7602,7856,otto,7707,7716,Frau Wahl,frau_wahl
qd,v3vz.0,7602,7856,otto,7721,7725,Erna,erna
qd,v3vz.0,7602,7856,otto,7773,7776,Ich,otto
qd,v3vz.0,8180,8354,frau_wahl,8319,8322,Ich,frau_wahl
qd,v3vz.0,8834,8975,otto,8855,8858,ich,otto
qd,v3vz.0,9037,9179,genia,9084,9087,ich,genia
qd,v3vz.0,9037,9179,genia,9102,9106,mein,genia
qd,v3vz.0,9207,9636,genia,9469,9472,mir,genia
qd,v3vz.0,9207,9636,genia,9473,9482,Friedrich,friedrich
qd,v3vz.0,9685,9941,genia,9728,9737,Friedrich,friedrich
qd,v3vz.0,10404,10526,genia,10470,10473,ich,genia
qd,v3vz.0,10561,10590,genia,10577,10586,Friedrich,friedrich
qd,v3vz.0,10694,10772,otto,10712,10715,Ich,otto
qd,v3vz.0,10836,11062,erna,10915,10918,ich,erna
qd,v3vz.0,10836,11062,erna,10946,10952,meinem,erna
qd,v3vz.0,10836,11062,erna,11027,11030,mir,erna
qd,v3vz.0,11067,11296,doktor_mauer,11277,11282,meine,doktor_mauer
qd,v3vz.0,11333,11748,doktor_mauer,11404,11413,Frau Wahl,frau_wahl
qd,v3vz.0,11333,11748,doktor_mauer,11437,11441,Erna,erna
qd,v3vz.0,11333,11748,doktor_mauer,11455,11459,Herr,herr
qd,v3vz.0,11333,11748,doktor_mauer,11473,11478,Genia,genia
qd,v3vz.0,11333,11748,doktor_mauer,11484,11493,Friedrich,friedrich
qd,v3vz.0,11333,11748,doktor_mauer,11521,11531,Frau Genia,genia
qd,v3vz.0,11333,11748,doktor_mauer,11526,11531,Genia,genia
qd,v3vz.0,11333,11748,doktor_mauer,11567,11570,Ich,doktor_mauer
qd,v3vz.0,11333,11748,doktor_mauer,11627,11630,mir,doktor_mauer
qd,v3vz.0,11333,11748,doktor_mauer,11687,11690,ich,doktor_mauer
qd,v3vz.0,11753,11940,frau_wahl,11801,11806,Mauer,doktor_mauer
qd,v3vz.0,11753,11940,frau_wahl,11859,11863,Herr,herr
qd,v3vz.0,12070,12297,frau_wahl,12116,12121,Gustl,gustl_wahl
qd,v3vz.0,12070,12297,frau_wahl,12126,12130,Otto,otto
qd,v3vz.0,12070,12297,frau_wahl,12148,12152,mein,frau_wahl
qd,v3vz.0,12302,12346,erna,12313,12316,ich,erna
qd,v3vz.0,12351,12589,doktor_mauer,12424,12428,Mich,doktor_mauer
qd,v3vz.0,12351,12589,doktor_mauer,12472,12477,Genia,genia
qd,v3vz.0,12351,12589,doktor_mauer,12483,12486,ich,doktor_mauer
qd,v3vz.0,12351,12589,doktor_mauer,12527,12530,ich,doktor_mauer
qd,v3vz.0,12351,12589,doktor_mauer,12548,12551,mir,doktor_mauer
qd,v3vz.0,12351,12589,doktor_mauer,12562,12571,Friedrich,friedrich
qd,v3vz.0,12708,12833,frau_wahl,12720,12723,Ich,frau_wahl
qd,v3vz.0,12708,12833,frau_wahl,12746,12755,Friedrich,friedrich
qd,v3vz.0,12884,12903,_stage,12887,12891,Otto,otto
qd,v3vz.0,12877,13106,genia,12917,12923,meines,genia
qd,v3vz.0,13117,13126,_stage,13120,13125,Genia,genia
qd,v3vz.0,13111,13183,otto,13158,13162,Herr,herr
qd,v3vz.0,13284,13292,_stage,13287,13291,Otto,otto
qd,v3vz.0,13333,13506,otto,13350,13353,mir,otto
qd,v3vz.0,13333,13506,otto,13437,13441,mein,otto
qd,v3vz.0,13686,13851,erna,13754,13758,Herr,herr
qd,v3vz.0,13856,14062,otto,13916,13919,mir,otto
qd,v3vz.0,13856,14062,otto,13959,13963,mein,otto
qd,v3vz.0,13856,14062,otto,13971,13974,Ich,otto
qd,v3vz.0,13856,14062,otto,14024,14029,meine,otto
qd,v3vz.0,14182,14251,erna,14227,14230,ich,erna
qd,v3vz.0,14256,14509,frau_wahl,14348,14353,Mauer,doktor_mauer
qd,v3vz.0,14567,14716,frau_wahl,14657,14667,Frau Genia,genia
