corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,v3vz.0,794,833,_Stage,_Stage,Veranda,NE,veranda,43178,,
qd,v3vz.0,794,833,_Stage,_Stage,der,ART,der,43178,,
qd,v3vz.0,794,833,_Stage,_Stage,Villa,NN,villa,43178,,
qd,v3vz.0,794,833,_Stage,_Stage,Hofreiter,NN,hofreiter,43178,,
qd,v3vz.0,794,833,_Stage,_Stage,und,KON,und,43178,,
qd,v3vz.0,794,833,_Stage,_Stage,Garten,NN,garten,43178,,
qd,v3vz.0,794,833,_Stage,_Stage,.,$.,--,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Rechts,ADV,rechts,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,die,ART,der,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Veranda,NN,veranda,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,",","$,",--,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,geräumig,ADJD,geräumig,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,",","$,",--,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,mit,APPR,mit,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Balustrade,NN,balustrade,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,",","$,",--,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,die,PRELS,der,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,auch,ADV,auch,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,beiderseits,ADV,beiderseits,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,längs,ADV,längs,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,der,ART,der,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,sechs,CARD,sechs,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,in,APPR,in,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,den,ART,der,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Vorgarten,NN,vorgart,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,führenden,ADJA,führend,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Stufen,NN,stufe,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,weiterläuft,VVFIN,weiterlaufen,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,.,$.,--,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Doppeltür,NN,doppeltür,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,von,APPR,von,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,der,ART,der,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Veranda,NN,veranda,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,zum,APPRART,zu,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Gartensalon,NN,gartensalon,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,steht,VVFIN,stehen,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,offen,ADJD,offen,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,.,$.,--,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,–,XY,–,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Vor,APPR,vor,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,der,ART,der,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Veranda,NN,veranda,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Rasenplatz,NN,rasenplatz,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,mit,APPR,mit,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Rosensträuchern,NN,rosensträucher,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,in,APPR,in,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Blüte,NN,blüte,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,.,$.,--,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,–,XY,–,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Ein,ART,ein,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,grüner,ADJA,grün,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,",","$,",--,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,ziemlich,ADV,ziemlich,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,hoher,ADJA,hoch,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Holzzaun,NN,holzzaun,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,schließt,VVFIN,schließen,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,den,ART,der,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Garten,NN,garten,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,ein,PTKVZ,ein,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,",","$,",--,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,der,ART,der,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Zaun,NN,zaun,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,biegt,VVFIN,biegen,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,rückwärts,ADV,rückwärts,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,im,APPRART,in,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,rechten,ADJA,rechter,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Winkel,NN,winkel,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,um,PTKVZ,um,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,und,KON,und,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,läuft,VVFIN,laufen,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,hinter,APPR,hinter,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,der,ART,der,43178,,
qd,v3vz.0,836,1940,_Stage,_Stage,Villa,NN,villa,43178,,
