corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,v3w3.0,186,219,dirne,200,204,mein,dirne
qd,v3w3.0,275,314,dirne,303,306,mir,dirne
qd,v3w3.0,319,357,soldat,332,335,ich,soldat
qd,v3w3.0,362,435,dirne,403,406,mir,dirne
qd,v3w3.0,362,435,dirne,408,411,Ich,dirne
qd,v3w3.0,440,491,soldat,449,452,Ich,soldat
qd,v3w3.0,440,491,soldat,469,472,Ich,soldat
qd,v3w3.0,496,563,dirne,549,552,mir,dirne
qd,v3w3.0,671,733,soldat,702,705,Ich,soldat
qd,v3w3.0,671,733,soldat,715,719,mein,soldat
qd,v3w3.0,765,813,soldat,778,782,mich,soldat
qd,v3w3.0,765,813,soldat,800,803,ich,soldat
qd,v3w3.0,818,847,dirne,826,829,Ich,dirne
qd,v3w3.0,958,1047,dirne,977,980,mir,dirne
qd,v3w3.0,958,1047,dirne,1037,1040,mir,dirne
qd,v3w3.0,1052,1115,soldat,1089,1092,mir,soldat
qd,v3w3.0,1120,1154,dirne,1128,1131,Ich,dirne
qd,v3w3.0,1284,1367,dirne,1315,1318,ich,dirne
qd,v3w3.0,1446,1528,soldat,1505,1508,ich,soldat
qd,v3w3.0,1662,1711,soldat,1679,1682,mir,soldat
qd,v3w3.0,1662,1711,soldat,1696,1699,mir,soldat
qd,v3w3.0,1716,1787,dirne,1743,1746,mir,dirne
qd,v3w3.0,1716,1787,dirne,1768,1771,ich,dirne
qd,v3w3.0,1792,1860,soldat,1801,1804,Mir,soldat
qd,v3w3.0,1792,1860,soldat,1818,1821,ich,soldat
qd,v3w3.0,1792,1860,soldat,1848,1851,mir,soldat
qd,v3w3.0,1915,1954,soldat,1936,1939,mir,soldat
qd,v3w3.0,2000,2027,soldat,2014,2017,ich,soldat
qd,v3w3.0,2032,2132,dirne,2092,2095,mir,dirne
qd,v3w3.0,2272,2377,dirne,2284,2287,mir,dirne
qd,v3w3.0,2272,2377,dirne,2330,2333,mir,dirne
qd,v3w3.0,2646,2696,dirne,2678,2681,ich,dirne
qd,v3w3.0,2701,2737,soldat,2710,2713,Ich,soldat
qd,v3w3.0,2742,2785,dirne,2760,2763,ich,dirne
qd,v3w3.0,3371,3429,soldat,3380,3383,Ich,soldat
qd,v3w3.0,3371,3429,soldat,3403,3406,ich,soldat
qd,v3w3.0,3471,3525,soldat,3516,3519,ich,soldat
qd,v3w3.0,3530,3556,dirne,3538,3541,Ich,dirne
qd,v3w3.0,3561,3617,soldat,3592,3595,ich,soldat
qd,v3w3.0,3672,3736,dirne,3719,3722,mir,dirne
qd,v3w3.0,3741,3809,soldat,3767,3770,ich,soldat
qd,v3w3.0,3983,4215,_stage,4189,4195,Soldat,soldat
qd,v3w3.0,4218,4306,stubenmädchen,4249,4252,mir,stubenmädchen
qd,v3w3.0,4345,4408,stubenmädchen,4391,4394,Ich,stubenmädchen
qd,v3w3.0,4449,4540,stubenmädchen,4527,4531,mich,stubenmädchen
