corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,vhgn.0,434,31364,0,448,1096,0
qd,vhgn.0,434,31364,0,1109,2533,0
qd,vhgn.0,434,31364,0,2546,3105,0
qd,vhgn.0,434,31364,0,3118,3940,0
qd,vhgn.0,434,31364,0,3953,10341,0
qd,vhgn.0,434,31364,0,10354,11658,0
qd,vhgn.0,434,31364,0,11671,13476,0
qd,vhgn.0,434,31364,0,13489,17168,0
qd,vhgn.0,434,31364,0,17181,19817,0
qd,vhgn.0,434,31364,0,19830,20207,0
qd,vhgn.0,434,31364,0,20220,20487,0
qd,vhgn.0,434,31364,0,20500,22965,0
qd,vhgn.0,434,31364,0,22978,28128,0
qd,vhgn.0,434,31364,0,28142,28738,0
qd,vhgn.0,434,31364,0,28752,31364,0
qd,vhgn.0,31380,53694,0,31394,34338,0
qd,vhgn.0,31380,53694,0,34352,34703,0
qd,vhgn.0,31380,53694,0,34717,35316,0
qd,vhgn.0,31380,53694,0,35330,36103,0
qd,vhgn.0,31380,53694,0,36116,39037,0
qd,vhgn.0,31380,53694,0,39050,40398,0
qd,vhgn.0,31380,53694,0,40412,42294,0
qd,vhgn.0,31380,53694,0,42308,42991,0
qd,vhgn.0,31380,53694,0,43004,44538,0
qd,vhgn.0,31380,53694,0,44552,45385,0
qd,vhgn.0,31380,53694,0,45398,46522,0
qd,vhgn.0,31380,53694,0,46536,53694,0
qd,vhgn.0,53709,84330,0,53723,54115,0
qd,vhgn.0,53709,84330,0,54128,58573,0
qd,vhgn.0,53709,84330,0,58587,59037,0
qd,vhgn.0,53709,84330,0,59050,60925,0
qd,vhgn.0,53709,84330,0,60938,61220,0
qd,vhgn.0,53709,84330,0,61234,62357,0
qd,vhgn.0,53709,84330,0,62370,63170,0
qd,vhgn.0,53709,84330,0,63184,64147,0
qd,vhgn.0,53709,84330,0,64161,64315,0
qd,vhgn.0,53709,84330,0,64328,65138,0
qd,vhgn.0,53709,84330,0,65151,66674,0
qd,vhgn.0,53709,84330,0,66688,66793,0
qd,vhgn.0,53709,84330,0,66806,67881,0
qd,vhgn.0,53709,84330,0,67895,68163,0
qd,vhgn.0,53709,84330,0,68176,68805,0
qd,vhgn.0,53709,84330,0,68818,69270,0
qd,vhgn.0,53709,84330,0,69284,71077,0
qd,vhgn.0,53709,84330,0,71090,73119,0
qd,vhgn.0,53709,84330,0,73133,74041,0
qd,vhgn.0,53709,84330,0,74054,74850,0
qd,vhgn.0,53709,84330,0,74863,77634,0
qd,vhgn.0,53709,84330,0,77647,79071,0
qd,vhgn.0,53709,84330,0,79085,84330,0
