corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vhgn.0,1147,1238,_Stage,_Stage,Wagner,NE,wagner,16345,,(0)
qd,vhgn.0,1147,1238,_Stage,_Stage,",","$,",--,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,Sophie,NE,sophie,16345,,(3)
qd,vhgn.0,1147,1238,_Stage,_Stage,",","$,",--,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,die,ART,der,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,Fritz,NE,fritz,16345,,(1)
qd,vhgn.0,1147,1238,_Stage,_Stage,hineinläßt,VVFIN,hineinlassen,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,und,KON,und,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,gleich,ADV,gleich,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,zurückgeht,VVFIN,zurückgehen,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,.,$.,--,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,Fritz,NE,fritz,16345,,(1)
qd,vhgn.0,1147,1238,_Stage,_Stage,in,APPR,in,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,sehr,ADV,sehr,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,dürftigem,ADJA,dürftig,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,Anzuge,NN,anzuge,16345,,
qd,vhgn.0,1147,1238,_Stage,_Stage,.,$.,--,16345,,
qd,vhgn.0,1838,1861,FRITZ,fritz,freudig,ADJD,freudig,16345,,
qd,vhgn.0,1838,1861,FRITZ,fritz,herumspringend,ADJD,herumspringend,16345,,
qd,vhgn.0,1838,1861,FRITZ,fritz,.,$.,--,16345,,
qd,vhgn.0,2584,2604,_Stage,_Stage,Vorige,NN,vorige,16345,,
qd,vhgn.0,2584,2604,_Stage,_Stage,",","$,",--,16345,,
qd,vhgn.0,2584,2604,_Stage,_Stage,Mad,NE,mad,16345,,(2)
qd,vhgn.0,2584,2604,_Stage,_Stage,.,$.,--,16345,,
qd,vhgn.0,2584,2604,_Stage,_Stage,Wagner,NE,wagner,16345,,(0)
qd,vhgn.0,2584,2604,_Stage,_Stage,.,$.,--,16345,,
qd,vhgn.0,2960,2973,FRITZ,fritz,schmeichelnd,ADJD,schmeichelnd,16345,,
qd,vhgn.0,2960,2973,FRITZ,fritz,.,$.,--,16345,,
qd,vhgn.0,3078,3087,WAGNER,wagner,seufzend,ADJD,seufzend,16345,,
qd,vhgn.0,3078,3087,WAGNER,wagner,.,$.,--,16345,,
qd,vhgn.0,3156,3171,_Stage,_Stage,Vorige,NN,vorige,16345,,
qd,vhgn.0,3156,3171,_Stage,_Stage,",","$,",--,16345,,
qd,vhgn.0,3156,3171,_Stage,_Stage,Sophie,NE,sophie,16345,,(3)
qd,vhgn.0,3156,3171,_Stage,_Stage,.,$.,--,16345,,
qd,vhgn.0,3342,3355,SOPHIE,sophie,sehr,ADV,sehr,16345,,
qd,vhgn.0,3342,3355,SOPHIE,sophie,gerührt,VVPP,rühren,16345,,
qd,vhgn.0,3342,3355,SOPHIE,sophie,.,$.,--,16345,,
qd,vhgn.0,3395,3447,FRITZ,fritz,der,ART,der,16345,,
qd,vhgn.0,3395,3447,FRITZ,fritz,Sophien,NN,sophie,16345,,
qd,vhgn.0,3395,3447,FRITZ,fritz,entgegen,PTKVZ,entgegen,16345,,
qd,vhgn.0,3395,3447,FRITZ,fritz,lief,VVFIN,laufen,16345,,
qd,vhgn.0,3395,3447,FRITZ,fritz,",","$,",--,16345,,
qd,vhgn.0,3395,3447,FRITZ,fritz,und,KON,und,16345,,
qd,vhgn.0,3395,3447,FRITZ,fritz,mit,APPR,mit,16345,,
qd,vhgn.0,3395,3447,FRITZ,fritz,ihr,PPOSAT,ihr,16345,,
qd,vhgn.0,3395,3447,FRITZ,fritz,zurückkehrte,ADJA,zurückkehren,16345,,
qd,vhgn.0,3395,3447,FRITZ,fritz,.,$.,--,16345,,
qd,vhgn.0,3707,3738,SOPHIE,sophie,nimmt,VVFIN,nehmen,16345,,
qd,vhgn.0,3707,3738,SOPHIE,sophie,das,ART,der,16345,,
qd,vhgn.0,3707,3738,SOPHIE,sophie,Kind,NN,kind,16345,,
