corpus,drama,figure_surface,figure_id,Gender,Age
qd,vmvc.0,ZWEITER BÜRGER 2,zweiter_bürger_2,,
qd,vmvc.0,ERSTER BÜRGER 1,erster_bürger_1,,
qd,vmvc.0,VOLUMNIUS,volumnius,,
qd,vmvc.0,DRITTER BÜRGER,dritter_bürger_1,,
qd,vmvc.0,VIERTER BÜRGER,vierter_bürger_1,,
qd,vmvc.0,POPILIUS,popilius,,
qd,vmvc.0,CINNA,cinna,,
qd,vmvc.0,CATO,cato,,
qd,vmvc.0,PORTIA,portia,,
qd,vmvc.0,ZWEITER SOLDAT,zweiter_soldat,,
qd,vmvc.0,FLAVIUS,flavius,,
qd,vmvc.0,DIENER 4,diener_4,,
qd,vmvc.0,CASSIUS,cassius,,
qd,vmvc.0,CLITUS,clitus,,
qd,vmvc.0,TITINIUS,titinius,,
qd,vmvc.0,PUBLIUS,publius,,
qd,vmvc.0,PINDARUS,pindarus,,
qd,vmvc.0,DECIUS,decius,,
qd,vmvc.0,CLAUDIUS,claudius,,
qd,vmvc.0,LIGARIUS,ligarius,,
qd,vmvc.0,STRATO,strato,,
qd,vmvc.0,BOTE,bote,,
qd,vmvc.0,VARRO,varro,,
qd,vmvc.0,ZWEITER BÜRGER 1,zweiter_bürger_1,,
qd,vmvc.0,DIENER 1,diener_1,,
qd,vmvc.0,DARDANIUS,dardanius,,
qd,vmvc.0,BÜRGER,bürger_pl,,
qd,vmvc.0,MESSALA,messala,,
qd,vmvc.0,ERSTER SOLDAT,erster_soldat,,
qd,vmvc.0,GEIST,geist,,
qd,vmvc.0,METELLUS,metellus,,
qd,vmvc.0,ERSTER BÜRGER 2,erster_bürger_2,,
qd,vmvc.0,OCTAVIUS,octavius,,
qd,vmvc.0,DIENER 2,diener_2,,
qd,vmvc.0,ARTEMIDORUS,artemidorus,,
qd,vmvc.0,ANTONIUS,antonius,,
qd,vmvc.0,BRUTUS,brutus,,
qd,vmvc.0,CÄSAR,cäsar,,
qd,vmvc.0,CASCA,casca,,
qd,vmvc.0,LUCIUS,lucius,,
qd,vmvc.0,DIENER 3,diener_3,,
qd,vmvc.0,LEPIDUS,lepidus,,
qd,vmvc.0,CICERO,cicero,,
qd,vmvc.0,POET,ein_poet,,
qd,vmvc.0,TREBONIUS,trebonius,,
qd,vmvc.0,MARULLUS,marullus,,
qd,vmvc.0,WAHRSAGER,wahrsager,,
qd,vmvc.0,CALPURNIA,calpurnia,,
qd,vmvc.0,LUCILIUS,lucilius,,
