corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vmvc.0,930,947,_Stage,_Stage,Rom,NE,rom,25891,,
qd,vmvc.0,930,947,_Stage,_Stage,.,$.,--,25891,,
qd,vmvc.0,930,947,_Stage,_Stage,Eine,ART,ein,25891,,
qd,vmvc.0,930,947,_Stage,_Stage,Straße,NN,straße,25891,,
qd,vmvc.0,930,947,_Stage,_Stage,.,$.,--,25891,,
qd,vmvc.0,951,995,_Stage,_Stage,Flavius,NE,flavius,25891,,(42)
qd,vmvc.0,951,995,_Stage,_Stage,",","$,",--,25891,,
qd,vmvc.0,951,995,_Stage,_Stage,Marullus,NE,marullus,25891,,(47)
qd,vmvc.0,951,995,_Stage,_Stage,und,KON,und,25891,,
qd,vmvc.0,951,995,_Stage,_Stage,ein,ART,ein,25891,,
qd,vmvc.0,951,995,_Stage,_Stage,Haufe,NN,haufe,25891,,
qd,vmvc.0,951,995,_Stage,_Stage,von,APPR,von,25891,,
qd,vmvc.0,951,995,_Stage,_Stage,Bürgern,NN,bürger,25891,,
qd,vmvc.0,951,995,_Stage,_Stage,.,$.,--,25891,,
qd,vmvc.0,3902,3916,FLAVIUS,flavius,Die,ART,der,25891,,
qd,vmvc.0,3902,3916,FLAVIUS,flavius,Bürger,NN,bürger,25891,,
qd,vmvc.0,3902,3916,FLAVIUS,flavius,ab,PTKVZ,ab,25891,,
qd,vmvc.0,3902,3916,FLAVIUS,flavius,.,$.,--,25891,,
qd,vmvc.0,4586,4595,FLAVIUS,flavius,Beide,PIDAT,beide,25891,,
qd,vmvc.0,4586,4595,FLAVIUS,flavius,ab,PTKVZ,ab,25891,,
qd,vmvc.0,4586,4595,FLAVIUS,flavius,.,$.,--,25891,,
qd,vmvc.0,4643,4666,_Stage,_Stage,Ein,ART,ein,25891,,
qd,vmvc.0,4643,4666,_Stage,_Stage,öffentlicher,ADJA,öffentlich,25891,,
qd,vmvc.0,4643,4666,_Stage,_Stage,Platz,NN,platz,25891,,
qd,vmvc.0,4643,4666,_Stage,_Stage,.,$.,--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,In,APPR,in,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,einem,ART,ein,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,feierlichen,ADJA,feierlich,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Aufzuge,NN,aufzuge,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,mit,APPR,mit,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Musik,NN,musik,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,kommen,VVFIN,kommen,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Cäsar,NE,cäsar,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,;,$.,--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Antonius,NN,antonius,25891,,(33)
qd,vmvc.0,4670,4875,_Stage,_Stage,",","$,",--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,zum,APPRART,zu,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Wettlauf,NN,wettlauf,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,gerüstet,VVPP,rüsten,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,;,$.,--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Calpurnia,NE,calpurnia,25891,,(46)
qd,vmvc.0,4670,4875,_Stage,_Stage,",","$,",--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Portia,NE,portia,25891,,(13)
qd,vmvc.0,4670,4875,_Stage,_Stage,",","$,",--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Decius,NE,decius,25891,,(32)
qd,vmvc.0,4670,4875,_Stage,_Stage,",","$,",--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Cicero,NE,cicero,25891,,(28)
qd,vmvc.0,4670,4875,_Stage,_Stage,",","$,",--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Brutus,NE,brutus,25891,,(26)
qd,vmvc.0,4670,4875,_Stage,_Stage,",","$,",--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Cassius,NE,cassius,25891,,(34)
qd,vmvc.0,4670,4875,_Stage,_Stage,und,KON,und,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Casca,NE,casca,25891,,(38)
qd,vmvc.0,4670,4875,_Stage,_Stage,;,$.,--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,hinter,APPR,hinter,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,ihnen,PPER,ihnen,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,ein,ART,ein,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,großes,ADJA,groß,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Gedränge,NN,gedränge,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,",","$,",--,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,darunter,PROAV,darunter,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,ein,ART,ein,25891,,
qd,vmvc.0,4670,4875,_Stage,_Stage,Wahrsager,NN,wahrsager,25891,,(41)
qd,vmvc.0,4670,4875,_Stage,_Stage,.,$.,--,25891,,
qd,vmvc.0,4936,4956,CASCA,casca,Die,ART,der,25891,,
qd,vmvc.0,4936,4956,CASCA,casca,Musik,NN,musik,25891,,
qd,vmvc.0,4936,4956,CASCA,casca,hält,VVFIN,halten,25891,,
qd,vmvc.0,4936,4956,CASCA,casca,inne,PTKVZ,inne,25891,,
qd,vmvc.0,4936,4956,CASCA,casca,.,$.,--,25891,,
qd,vmvc.0,5482,5488,CÄSAR,cäsar,Musik,NN,musik,25891,,
qd,vmvc.0,5482,5488,CÄSAR,cäsar,.,$.,--,25891,,
qd,vmvc.0,5594,5614,CASCA,casca,Die,ART,der,25891,,
qd,vmvc.0,5594,5614,CASCA,casca,Musik,NN,musik,25891,,
qd,vmvc.0,5594,5614,CASCA,casca,hält,VVFIN,halten,25891,,
qd,vmvc.0,5594,5614,CASCA,casca,inne,PTKVZ,inne,25891,,
qd,vmvc.0,5594,5614,CASCA,casca,.,$.,--,25891,,
qd,vmvc.0,6202,6254,CÄSAR,cäsar,Ein,ART,ein,25891,,
qd,vmvc.0,6202,6254,CÄSAR,cäsar,Marsch,NN,marsch,25891,,
qd,vmvc.0,6202,6254,CÄSAR,cäsar,.,$.,--,25891,,
qd,vmvc.0,6202,6254,CÄSAR,cäsar,Alle,PIDAT,aller,25891,,
qd,vmvc.0,6202,6254,CÄSAR,cäsar,bis,APPR,bis,25891,,
qd,vmvc.0,6202,6254,CÄSAR,cäsar,auf,APPR,auf,25891,,
qd,vmvc.0,6202,6254,CÄSAR,cäsar,Brutus,NN,brutus,25891,,(26)
qd,vmvc.0,6202,6254,CÄSAR,cäsar,und,KON,und,25891,,
qd,vmvc.0,6202,6254,CÄSAR,cäsar,Cassius,NE,cassius,25891,,(34)
qd,vmvc.0,6202,6254,CÄSAR,cäsar,gehn,CARD,gehn,25891,,
qd,vmvc.0,6202,6254,CÄSAR,cäsar,ab,PTKVZ,ab,25891,,
qd,vmvc.0,6202,6254,CÄSAR,cäsar,.,$.,--,25891,,
qd,vmvc.0,8666,8696,CASSIUS,cassius,Trompeten,NN,trompete,25891,,
qd,vmvc.0,8666,8696,CASSIUS,cassius,und,KON,und,25891,,
qd,vmvc.0,8666,8696,CASSIUS,cassius,Freudengeschrei,NN,freudengeschrei,25891,,
qd,vmvc.0,8666,8696,CASSIUS,cassius,.,$.,--,25891,,
qd,vmvc.0,11059,11084,CASSIUS,cassius,Jubelgeschrei,NN,jubelgeschrei,25891,,
qd,vmvc.0,11059,11084,CASSIUS,cassius,.,$.,--,25891,,
qd,vmvc.0,11059,11084,CASSIUS,cassius,Trompeten,NN,trompete,25891,,
qd,vmvc.0,11059,11084,CASSIUS,cassius,.,$.,--,25891,,
qd,vmvc.0,11829,11843,CASSIUS,cassius,Jubelgeschrei,NN,jubelgeschrei,25891,,
qd,vmvc.0,11829,11843,CASSIUS,cassius,.,$.,--,25891,,
qd,vmvc.0,13126,13159,CASSIUS,cassius,Cäsar,NE,cäsar,25891,,
qd,vmvc.0,13126,13159,CASSIUS,cassius,und,KON,und,25891,,
qd,vmvc.0,13126,13159,CASSIUS,cassius,sein,PPOSAT,sein,25891,,
qd,vmvc.0,13126,13159,CASSIUS,cassius,Zug,NN,zug,25891,,
qd,vmvc.0,13126,13159,CASSIUS,cassius,kommen,VVFIN,kommen,25891,,
qd,vmvc.0,13126,13159,CASSIUS,cassius,zurück,PTKVZ,zurück,25891,,
qd,vmvc.0,13126,13159,CASSIUS,cassius,.,$.,--,25891,,
qd,vmvc.0,14814,14861,CÄSAR,cäsar,Cäsar,NE,cäsar,25891,,
qd,vmvc.0,14814,14861,CÄSAR,cäsar,und,KON,und,25891,,
qd,vmvc.0,14814,14861,CÄSAR,cäsar,sein,PPOSAT,sein,25891,,
