corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,vmw0.0,green,15,
qd,vmw0.0,lord_marschall,25,
qd,vmw0.0,bolingbroke,6,
qd,vmw0.0,abt,0,
qd,vmw0.0,surrey,33,
qd,vmw0.0,exton,9,
qd,vmw0.0,berkley,5,
qd,vmw0.0,herzogin_von_york,20,
qd,vmw0.0,hauptmann,17,
qd,vmw0.0,percy,28,
qd,vmw0.0,salisbury,30,
qd,vmw0.0,northumberland,27,
qd,vmw0.0,stallknecht,32,
qd,vmw0.0,norfolk,26,
qd,vmw0.0,erster_geselle,14,
qd,vmw0.0,ross,29,
qd,vmw0.0,aumerle,1,
qd,vmw0.0,gefangenwärter,13,
qd,vmw0.0,gärtner,16,
qd,vmw0.0,erster_herold,18,
qd,vmw0.0,erstes_fräulein,11,
qd,vmw0.0,herzogin_von_gloster,21,
qd,vmw0.0,bagot,2,
qd,vmw0.0,bushy,7,
qd,vmw0.0,königin,23,
qd,vmw0.0,willoughby,34,
qd,vmw0.0,gaunt,12,
qd,vmw0.0,fitzwater,10,
qd,vmw0.0,scroop,31,
qd,vmw0.0,carlisle,8,
qd,vmw0.0,zweiter_herold,19,
qd,vmw0.0,ein_lord,24,
qd,vmw0.0,bedienter_1,3,
qd,vmw0.0,york,35,
qd,vmw0.0,könig_richard,22,
qd,vmw0.0,bedienter_2,4,
