corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vmw8.0,1672,1722,WARWICK,warwick,Mich,PPER,mich,30972,warwick,(46)
qd,vmw8.0,1672,1722,WARWICK,warwick,wundert,VVFIN,wundern,30972,,
qd,vmw8.0,1672,1722,WARWICK,warwick,',$[,--,30972,,
qd,vmw8.0,1672,1722,WARWICK,warwick,s,PPER,--,30972,,
qd,vmw8.0,1672,1722,WARWICK,warwick,",","$,",--,30972,,
qd,vmw8.0,1672,1722,WARWICK,warwick,wie,PWAV,wie,30972,,
qd,vmw8.0,1672,1722,WARWICK,warwick,der,ART,der,30972,,
qd,vmw8.0,1672,1722,WARWICK,warwick,König,NN,könig,30972,,
qd,vmw8.0,1672,1722,WARWICK,warwick,uns,PPER,uns,30972,,
qd,vmw8.0,1672,1722,WARWICK,warwick,entkam,VVFIN,entkommen,30972,,
qd,vmw8.0,1672,1722,WARWICK,warwick,.,$.,--,30972,,
qd,vmw8.0,1727,2086,YORK,york,Da,KOUS,da,30972,,
qd,vmw8.0,1727,2086,YORK,york,wir,PPER,wir,30972,,
qd,vmw8.0,1727,2086,YORK,york,die,ART,der,30972,,
qd,vmw8.0,1727,2086,YORK,york,nord,FM,nord,30972,,
qd,vmw8.0,1727,2086,YORK,york,',$[,--,30972,,
qd,vmw8.0,1727,2086,YORK,york,sche,ADJA,sch,30972,,
qd,vmw8.0,1727,2086,YORK,york,Reiterei,NN,reiterei,30972,,
qd,vmw8.0,1727,2086,YORK,york,verfolgten,ADJA,verfolgen,30972,,
qd,vmw8.0,1727,2086,YORK,york,",","$,",--,30972,,
qd,vmw8.0,1727,2086,YORK,york,Stahl,NN,stahl,30972,,
qd,vmw8.0,1727,2086,YORK,york,er,PPER,er,30972,,
qd,vmw8.0,1727,2086,YORK,york,davon,PROAV,davon,30972,,
qd,vmw8.0,1727,2086,YORK,york,sich,PRF,sich,30972,,
qd,vmw8.0,1727,2086,YORK,york,und,KON,und,30972,,
qd,vmw8.0,1727,2086,YORK,york,verließ,VVFIN,verlassen,30972,,
qd,vmw8.0,1727,2086,YORK,york,sein,PPOSAT,sein,30972,,
qd,vmw8.0,1727,2086,YORK,york,Volk,NN,volk,30972,,
qd,vmw8.0,1727,2086,YORK,york,;,$.,--,30972,,
qd,vmw8.0,1727,2086,YORK,york,Worauf,NN,worauf,30972,,
qd,vmw8.0,1727,2086,YORK,york,der,ART,der,30972,,
qd,vmw8.0,1727,2086,YORK,york,große,ADJA,groß,30972,,
qd,vmw8.0,1727,2086,YORK,york,Lord,NN,lord,30972,,
qd,vmw8.0,1727,2086,YORK,york,Northumberland,NE,northumberland,30972,northumberland,(29)
qd,vmw8.0,1727,2086,YORK,york,",","$,",--,30972,,
qd,vmw8.0,1727,2086,YORK,york,Des,ART,der,30972,,
qd,vmw8.0,1727,2086,YORK,york,krieg,ADJD,krieg,30972,,
qd,vmw8.0,1727,2086,YORK,york,',$[,--,30972,,
qd,vmw8.0,1727,2086,YORK,york,risch,ADJD,risch,30972,,
qd,vmw8.0,1727,2086,YORK,york,Ohr,NN,ohr,30972,,
qd,vmw8.0,1727,2086,YORK,york,nie,ADV,nie,30972,,
qd,vmw8.0,1727,2086,YORK,york,Rückzug,NN,rückzug,30972,,
qd,vmw8.0,1727,2086,YORK,york,dulden,VVINF,dulden,30972,,
